revenue_start,revenue_end,size_of_band,base_rate
0,2500000,2500000,0.7388
2500000,5000000,2500000,0.6392
5000000,7500000,2500000,0.6036
7500000,10000000,2500000,0.5807
10000000,12500000,2500000,0.5625
12500000,15000000,2500000,0.5459
15000000,20000000,5000000,0.5285
20000000,25000000,5000000,0.5103
25000000,35000000,10000000,0.4929
35000000,45000000,10000000,0.2364
45000000,55000000,10000000,0.1669
55000000,65000000,10000000,0.1508
65000000,75000000,10000000,0.1379
75000000,100000000,25000000,0.1222
100000000,125000000,25000000,0.1083
125000000,150000000,25000000,0.0958
150000000,175000000,25000000,0.0879
175000000,200000000,25000000,0.0827
200000000,225000000,25000000,0.0783
225000000,250000000,25000000,0.0758
250000000,300000000,50000000,0.0712
300000000,350000000,50000000,0.0647
350000000,400000000,50000000,0.0595
400000000,450000000,50000000,0.0544
450000000,500000000,50000000,0.0505
500000000,550000000,50000000,0.0399
550000000,600000000,50000000,0.0371
600000000,650000000,50000000,0.0348
650000000,700000000,50000000,0.0324
700000000,750000000,50000000,0.0301
750000000,800000000,50000000,0.0282
800000000,850000000,50000000,0.0261
850000000,900000000,50000000,0.0244
900000000,950000000,50000000,0.0227
950000000,1000000000,50000000,0.0208
1000000000,5000000000,4000000000,0.0208
