ratio_pol_agg_to_sum_individual,life_science,nutra
0.25,1.59500839506247,1.47913955591147
0.5,1.46104448940729,1.35490741234886
0.75,1.38795901705926,1.28713120913445
1.0,1.33833214084356,1.24110946036234
1.25,1.30106381339127,1.20654847780703
1.5,1.27138507839526,1.17902574436066
1.75,1.24682086878181,1.1562459933503
2.0,1.22592633708336,1.13686933775834
2.25,1.20778689253273,1.12004762695094
2.5,1.19178815660597,1.10521111372186
2.75,1.17749818211927,1.09195922954264
3.0,1.16460212275641,1.08
3.25,1.15286365887344,1.07375
3.5,1.14210104802635,1.0675
3.75,1.13217162815948,1.06125
4.0,1.12296143691755,1.055
4.25,1.11437805019843,1.04875
4.5,1.10634551465428,1.0425
4.75,1.09880068179413,1.03625
5.0,1.09169050403765,1.03
5.25,1.08497000570056,1.029
5.5,1.07860073689774,1.028
5.75,1.07254957908203,1.027
6.0,1.06678781069277,1.026
6.25,1.06129036797323,1.025
6.5,1.05603525413984,1.024
6.75,1.05100306265857,1.023
7.0,1.04617658924599,1.022
7.25,1.04154051355078,1.021
7.5,1.03708113606569,1.02
7.75,1.03278615919197,1.019
8.0,1.02864450388113,1.018
8.25,1.02464615515665,1.017
8.5,1.02078203124134,1.016
8.75,1.01704387210422,1.015
9.0,1.0134241440797,1.014
9.25,1.00991595786507,1.013
9.5,1.00651299771335,1.012
9.75,1.00320946004216,1.011
10.0,1.0,1.0
100000000000.0,1.0,1.0
