ingredient_label,ingredient_name
"1,3 Dimethylamylamine (DMAA)",dimethylamylamine_dmaa
Aconite,aconite
Aegeline,aegeline
"AMP Citrate, 1,3-dimethylbutylamine citrate,1,3-dimethylbutylamine HCL, Methylpentanamine",amp_citrate_1_3_dimethylbutylamine_citrate_1_3_dimethylbutylamine_hcl_methylpentanamine
Androsteredione,androsteredione
Aristolochic acid,aristolochic_acid
Bitter orange/ Synephrine,bitter_orange_synephrine
Chaparral,chaparral
Colloidal silver,colloidal_silver
Comfrey,comfrey
Dendrobium,dendrobium
Ephedra/ephedrine,ephedra_ephedrine
Germander,germander
Jin Bu Huan,jin_bu_huan
Kava/kava-kava,kava_kava_kava
Lobelia,lobelia
Over-The-Counter drugs (OTC),over_the_counter_drugs_otc
Pennyroyal Oil,pennyroyal_oil
"Picamilon, N-nicotinoyl-GABA, pycamilon, pikamilon",picamilon_n_nicotinoyl_gaba_pycamilon_pikamilon
R-Beta- Methylphenylethylamine/ N-Methyl-Beta-Methylphenylethylamine,r_beta_methylphenylethylamine_n_methyl_beta_methylphenylethylamine
Stephania,stephania
Tiratricol,tiratricol
"Vinpocetine, Cavinton, Intelectol, ethyl apovincaminate",vinpocetine_cavinton_intelectol_ethyl_apovincaminate
Yohimbe,yohimbe
