lev,biosecure,nutragard,general_liability
0,0.0,0.0,0.0
10000,0.158489319246111,0.248684554,1.029729058
50000,0.228652525963663,0.344580163,1.178246083
25000,0.301708816827258,0.4409993,1.304666191
100000,0.398107170553497,0.56439808,1.444650565
250000,0.574349177498517,0.782036435,1.653011398
500000,0.757858283255199,1.000862956,1.830371528
1000000,1.0,1.280920698,2.026761543
1500000,1.17607902252467,1.479788294,2.151270819
2000000,1.31950791077289,1.639343153,2.244223256
2500000,1.44269990590721,1.774858369,2.319079792
3000000,1.55184557391536,1.893857139,2.382091775
3500000,1.65054442394899,2.000672653,2.436701525
4000000,1.74110112659225,2.098058044,2.48501756
4500000,1.82509302567962,2.187885348,2.52842992
5000000,1.90365393871588,2.271492623,2.56790584
5500000,1.97763015588923,2.349873627,2.604146839
6000000,2.04767251107922,2.423789185,2.637678705
6500000,2.11429383114116,2.493836364,2.668906183
7000000,2.17790642448278,2.560493418,2.698147816
7500000,2.23884746347021,2.624150114,2.72565903
8000000,2.29739670999407,2.685128826,2.751647928
8500000,2.35378922418018,2.743699619,2.776286417
9000000,2.40822468528069,2.800091271,2.799718224
9500000,2.46087436431789,2.854499504,2.822064794
10000000,2.51188643150958,2.907093223,2.84342972
10500000,2.56139005885592,2.958019333,2.863902112
11000000,2.60949863527887,3.007406507,2.883559203
11500000,2.65631231757015,3.05536816,2.902468395
12000000,2.70192007704123,3.102004841,2.920688875
12500000,2.74640135826529,3.147406159,2.938272914
13000000,2.78982743588909,3.19165236,2.955266911
13500000,2.83226253388471,3.234815624,2.971712256
14000000,2.87376475602814,3.276961143,2.98764603
14500000,2.91438686499899,3.318148018,3.003101592
15000000,2.95417693906278,3.359226773,3.018109064
15500000,2.99317892898186,3.374096664,3.032695742
16000000,3.0314331330208,3.388557132,3.046886445
16500000,3.06897660425825,3.402631732,3.060703806
17000000,3.10584350159773,3.416341996,3.074168525
17500000,3.14206539367602,3.429707667,3.087299589
18000000,3.17767152314644,3.442746889,3.100114452
18500000,3.21268903745392,3.455476379,3.112629202
19000000,3.24714319113567,3.467911574,3.124858701
19500000,3.28105752381295,3.480066762,3.136816706
20000000,3.31445401733999,3.491955188,3.14851598
20500000,3.34735323500749,3.503589163,3.159968383
21000000,3.37977444523543,3.514980142,3.17118496
21500000,3.41173573180939,3.526138811,3.182176012
22000000,3.44325409240155,3.537075147,3.192951162
22500000,3.47434552685788,3.547798485,3.203519418
23000000,3.50502511651729,3.558317571,3.213889219
23500000,3.53530709564755,3.568640612,3.224068488
