number_of_participants_lower,number_of_participants_higher,discount
0.0,200.0,1.0
201.0,239.98799759952,1.0
240.98799759952,279.97599519904,1.0
280.97599519904,319.96399279856,1.0
320.96399279856,419.933986797359,0.85
420.933986797359,519.903980796159,0.7
520.903980796159,619.873974794959,0.65
620.873974794959,719.843968793759,0.6
720.843968793759,819.813962792559,0.633
820.813962792559,919.783956791358,0.67
920.783956791358,1119.72394478896,0.5
1120.72394478896,1319.66393278656,0.475
1320.66393278656,1719.54390878176,0.45
1720.54390878176,2119.42388477696,0.3
2120.42388477696,2319.36387277456,0.267
2320.36387277456,3119.12382476495,0.2
3120.12382476495,4118.82376475295,0.15
4119.82376475295,5118.52370474095,0.1
5119.52370474095,6118.22364472895,0.095
6119.22364472895,8117.62352470494,0.09
8118.62352470494,10117.0234046809,0.08
10118.0234046809,14115.8231646329,0.07
14116.8231646329,20114.0228045609,0.066
20115.0228045609,40108.0216043209,0.06
40109.0216043209,60102.0204040808,0.05
60103.0204040808,80096.0192038408,0.0486111111111111
80097.0192038408,100090.018003601,0.0472222222222222
100091.018003601,120084.016803361,0.0458333333333333
120085.016803361,140078.015603121,0.0444444444444444
140079.015603121,160072.014402881,0.0430555555555556
160073.014402881,180066.013202641,0.0416666666666667
180067.013202641,200060.012002401,0.0402777777777778
200061.012002401,220054.01080216,0.0388888888888889
220055.01080216,240048.00960192,0.0375
240049.00960192,260042.00840168,0.0361111111111111
260043.00840168,280036.00720144,0.0347222222222222
280037.00720144,300030.0060012,0.0333333333333333
300031.0060012,320024.00480096,0.0319444444444444
320025.00480096,340018.00360072,0.0305555555555556
340019.00360072,360012.00240048,0.0291666666666667
360013.00240048,380006.00120024,0.0277777777777778
380007.00120024,400000.0,0.0263888888888889
400001.0,100000000000.0,0.025
