revenue_lower,revenue_upper,life_sciences,nutra
0,2000000,1.0,1.0
2000001,3000000,1.0,0.85
3000001,4000000,1.0,0.7
4000001,5000000,1.0,0.65
5000001,7500000,0.85,0.6
7500001,10000000,0.7,0.55
10000001,12500000,0.65,0.5
12500001,15000000,0.6,0.475
15000001,17500000,0.633,0.45
17500001,20000000,0.67,0.4
20000001,25000000,0.5,0.35
25000001,30000000,0.475,0.3
30000001,40000000,0.45,0.28
40000001,50000000,0.3,0.24
50000001,55000000,0.267,0.2
55000001,75000000,0.2,0.19
75000001,100000000,0.15,0.15
100000001,125000000,0.1,0.1
125000001,150000000,0.095,0.095
150000001,200000000,0.09,0.09
200000001,250000000,0.08,0.08
250000001,350000000,0.07,0.07
350000001,500000000,0.066,0.066
500000001,1000000000,0.06,0.06
1000000001,1500000000,0.05,0.05
1500000001,2000000000,0.0486111111111111,0.0486111111111111
2000000001,2500000000,0.0472222222222222,0.0472222222222222
2500000001,3000000000,0.0458333333333333,0.0458333333333333
3000000001,3500000000,0.0444444444444444,0.0444444444444444
3500000001,4000000000,0.0430555555555556,0.0430555555555556
4000000001,4500000000,0.0416666666666667,0.0416666666666667
4500000001,5000000000,0.0402777777777778,0.0402777777777778
5000000001,5500000000,0.0388888888888889,0.0388888888888889
5500000001,6000000000,0.0375,0.0375
6000000001,6500000000,0.0361111111111111,0.0361111111111111
6500000001,7000000000,0.0347222222222222,0.0347222222222222
7000000001,7500000000,0.0333333333333333,0.0333333333333333
7500000001,8000000000,0.0319444444444444,0.0319444444444444
8000000001,8500000000,0.0305555555555556,0.0305555555555556
8500000001,9000000000,0.0291666666666667,0.0291666666666667
9000000001,9500000000,0.0277777777777778,0.0277777777777778
9500000001,10000000000,0.0263888888888889,0.0263888888888889
10000000001,100000000000000,0.025,0.025
