class_exposure_measure,product,class,exposure_measure_agg_group,exposure_measure,base_rate,format,formatted_base_rate
Alternative/Holistic Medicine // Receipts,Misc Med,Alternative/Holistic Medicine,Receipts,Receipts,0.002,4 decimal places,0.002
Alternative/Holistic Medicine // Visits - Acupuncture,Misc Med,Alternative/Holistic Medicine,Visits,Visits - Acupuncture,0.35,2 decimal places,0.35
"Alternative/Holistic Medicine // Visits - Pet, Dance, Music, Energy Therapies",Misc Med,Alternative/Holistic Medicine,Visits,"Visits - Pet, Dance, Music, Energy Therapies",0.25,2 decimal places,0.25
Alternative/Holistic Medicine // Visits - Equine,Misc Med,Alternative/Holistic Medicine,Visits,Visits - Equine,1.5,2 decimal places,1.5
Alternative/Holistic Medicine // Doctors,Misc Med,Alternative/Holistic Medicine,Doctors,Doctors,5000.0,Number with comma separator,"5,000"
Alternative/Holistic Medicine // Naturopaths,Misc Med,Alternative/Holistic Medicine,Doctors,Naturopaths,2500.0,Number with comma separator,"2,500"
Alternative/Holistic Medicine // Acupuncturists,Misc Med,Alternative/Holistic Medicine,People,Acupuncturists,1000.0,Number with comma separator,"1,000"
Ambulance  - Ground // Receipts,Misc Med,Ambulance  - Ground,Receipts,Receipts,0.0035,4 decimal places,0.0035
Ambulance  - Ground // Receipts - Dispatch Only,Misc Med,Ambulance  - Ground,Receipts,Receipts - Dispatch Only,0.002,4 decimal places,0.002
Ambulance  - Ground // Runs - Dispatch Only,Misc Med,Ambulance  - Ground,Runs,Runs - Dispatch Only,0.4,4 decimal places,0.4
Ambulance  - Ground // Runs - Emergency,Misc Med,Ambulance  - Ground,Runs,Runs - Emergency,1.75,2 decimal places,1.75
Ambulance  - Ground // Runs - Non-Emergency ,Misc Med,Ambulance  - Ground,Runs,Runs - Non-Emergency ,0.9,2 decimal places,0.9
Ambulance  - Ground // Runs - Paratransit/Wheelchair ,Misc Med,Ambulance  - Ground,Runs,Runs - Paratransit/Wheelchair ,0.5,2 decimal places,0.5
Ambulance  - Ground // Units - Ambulance,Misc Med,Ambulance  - Ground,Autos,Units - Ambulance,1500.0,Number with comma separator,"1,500"
Ambulance  - Ground // Units - Wheelchair Van,Misc Med,Ambulance  - Ground,Autos,Units - Wheelchair Van,750.0,Number with comma separator,750
Ambulance  - Ground // Paramedics,Misc Med,Ambulance  - Ground,People,Paramedics,500.0,Number with comma separator,500
Ambulance  - Ground // EMT,Misc Med,Ambulance  - Ground,People,EMT,300.0,Number with comma separator,300
Ambulance - Air // Receipts,Misc Med,Ambulance - Air,Receipts,Receipts,0.005,4 decimal places,0.005
Ambulance - Air // Runs - Emergency,Misc Med,Ambulance - Air,Runs,Runs - Emergency,60.0,0 decimal places,60
Ambulance - Air // Runs - Non-Emergency ,Misc Med,Ambulance - Air,Runs,Runs - Non-Emergency ,35.0,0 decimal places,35
Ambulance - Air // Runs - Ground Ambulance Emergency ,Misc Med,Ambulance - Air,Runs,Runs - Ground Ambulance Emergency ,1.75,2 decimal places,1.75
Ambulance - Air // Runs - Ground Ambulance Non-Emergency ,Misc Med,Ambulance - Air,Runs,Runs - Ground Ambulance Non-Emergency ,0.9,2 decimal places,0.9
Ambulance - Air // Runs - Ground Ambulance Paratransit/Wheelchair ,Misc Med,Ambulance - Air,Runs,Runs - Ground Ambulance Paratransit/Wheelchair ,0.5,2 decimal places,0.5
Ambulance - Air // Doctors,Misc Med,Ambulance - Air,Doctors,Doctors,5000.0,Number with comma separator,"5,000"
Ambulance - Air // Paramedics,Misc Med,Ambulance - Air,People,Paramedics,500.0,Number with comma separator,500
Ambulance - Air // EMT,Misc Med,Ambulance - Air,People,EMT,300.0,Number with comma separator,300
Banking - Blood/Cord Blood/Sperm // Receipts,Misc Med,Banking - Blood/Cord Blood/Sperm,Receipts,Receipts,0.01,4 decimal places,0.01
Banking - Blood/Cord Blood/Sperm // Blood Donations,Misc Med,Banking - Blood/Cord Blood/Sperm,Units,Blood Donations,2.0,2 decimal places,2
Banking - Blood/Cord Blood/Sperm // Units - Blood Sold,Misc Med,Banking - Blood/Cord Blood/Sperm,Units,Units - Blood Sold,1.0,2 decimal places,1
Banking - Blood/Cord Blood/Sperm // Units - Eggs,Misc Med,Banking - Blood/Cord Blood/Sperm,Units,Units - Eggs,3.0,2 decimal places,3
Banking - Blood/Cord Blood/Sperm // Units - Sperm,Misc Med,Banking - Blood/Cord Blood/Sperm,Units,Units - Sperm,1.75,2 decimal places,1.75
Banking - Blood/Cord Blood/Sperm // Units - Cord Blood,Misc Med,Banking - Blood/Cord Blood/Sperm,Units,Units - Cord Blood,0.5,2 decimal places,0.5
Banking - Blood/Cord Blood/Sperm // Mid-Level Providers NP/PA,Misc Med,Banking - Blood/Cord Blood/Sperm,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Banking - Blood/Cord Blood/Sperm // Nurses,Misc Med,Banking - Blood/Cord Blood/Sperm,People,Nurses,450.0,Number with comma separator,450
Banking - Blood/Cord Blood/Sperm // Phlebotomists,Misc Med,Banking - Blood/Cord Blood/Sperm,People,Phlebotomists,375.0,Number with comma separator,375
Banking - Blood/Cord Blood/Sperm // Medical Assistants/Technicians,Misc Med,Banking - Blood/Cord Blood/Sperm,People,Medical Assistants/Technicians,175.0,Number with comma separator,175
Banking - Organ/Tissue // Receipts - Procurement Organ,Misc Med,Banking - Organ/Tissue,Receipts,Receipts - Procurement Organ,0.0033,4 decimal places,0.0033
