venue_label,factor,venue_name
Asia,0.225,asia
Australia,0.6,australia
Brazil,0.21,brazil
Canada,0.5,canada
Chile,0.23,chile
China,0.2,china
Colombia,0.21,colombia
France,0.41,france
Germany,0.55,germany
Hong Kong,0.24,hong_kong
Ireland,0.65,ireland
Island Economies,0.45,island_economies
Israel,0.5,israel
Italy,0.75,italy
Malaysia,0.175,malaysia
Mexico,0.175,mexico
Middle East,0.305,middle_east
Netherlands,0.45,netherlands
Peru,0.2,peru
Puerto Rico,1.3,puerto_rico_international
ROW - High,0.75,row_high
ROW - Low,0.25,row_low
ROW - Medium,0.5,row_medium
Singapore,0.24,singapore
South Africa,0.3,south_africa
Spain,0.3,spain
Taiwan,0.22,taiwan
Thailand,0.175,thailand
UK,0.55,uk
USA,1.06984126984127,usa
