venue_label,factor,venue_name
Alaska,1.0,alaska
Alabama,1.25,alabama
Arkansas,1.25,arkansas
Arizona,1.2,arizona
"California (Counties: Los Angeles, Orange, San Diego)",1.3,california_counties
California (Rest of State),1.2,california_rest
Colorado,1.0,colorado
Connecticut,1.0,connecticut
District of Columbia,1.25,district_of_columbia
Delaware,1.0,delaware
"Florida (Counties: Miami-Dade, Broward, Palm)",1.5,florida_counties
Florida (Rest of State),1.1,florida_rest
Georgia,1.0,georgia
Hawaii,1.1,hawaii
Iowa,0.75,iowa
Idaho,0.75,idaho
Illinois (County: Cook),1.5,illinois_counties
Illinois (Rest of State),1.15,illinois_rest
Indiana,1.0,indiana
International,1.0,international
Kansas,0.9,kansas
Kentucky,1.35,kentucky
Louisiana,1.3,louisiana
Massachusetts,0.9,massachusetts
Maryland (County: Baltimore),1.25,maryland_counties
Maryland (Rest of State),1.0,maryland_rest
Maine,0.75,maine
Michigan (Rest of State),1.0,michigan_rest
Michigan (County: Wayne),1.3,michigan_counties
Minnesota (County: Hennepin),0.75,minnesota_counties
Minnesota (Rest of State),0.75,minnesota_rest
Missouri (Rest of State),1.0,missouri_rest
Missouri (County: St Louis),1.1,missouri_counties
Mississippi,1.25,mississippi
Montana,0.9,montana
North Carolina,0.95,north_carolina
North Dakota,0.75,north_dakota
Nebraska,0.75,nebraska
New Hampshire,0.75,new_hampshire
New Jersey,1.05,new_jersey
New Mexico,2.0,new_mexico
Nevada,1.05,nevada
"New York City (Boroughs: Bronx, Brooklyn, Manhattan, Queens, Staten Island)",1.5,new_york_city_counties
New York (Rest of State),1.0,new_york_rest
Ohio (County: Cuyahoga),1.2,ohio_counties
Ohio (Rest of State),1.0,ohio_rest
Oklahoma,0.85,oklahoma
Oregon,1.1,oregon
Pennsylvania (County: Philadelphia),1.5,pennsylvania_counties
Pennsylvania (Rest of State),1.0,pennsylvania_rest
Puerto Rico,1.3,puerto_rico_usa
Rhode Island,0.85,rhode_island
South Carolina,1.25,south_carolina
South Dakota,0.75,south_dakota
Tennessee,1.0,tennessee
Texas (Rest of State),0.9,texas_rest
"Texas (Counties: Cameron, Hidalgo, Starr, Willacy)",1.25,texas_counties
Utah,0.95,utah
Virginia,0.95,virginia
Vermont,1.0,vermont
Washington,0.95,washington
Wisconsin,1.0,wisconsin
West Virginia,1.5,west_virginia
Wyoming,1.0,wyoming
