Name,Mode,CDS level,Coverage,Relative path,Rater Defined?,Type,Default,Label hx
cover_type,input,cds/layers/coverages,death,/death/cover_type,Y,str,,Deaths covered
accidental_death_adj,input,cds/layers/coverages,death,/death/accidental_death_adj,Y,str,,Accidental death adjustment
sick_affluence,input,cds/layers/coverages,death,/death/sick_affluence,Y,bool,False,Sickness - affluence correction
sick_weight_to_nationality,input,cds/layers/coverages,death,/death/sick_weight_to_nationality,Y,float,,Sickness rate - weight to nationality
accidental_death_rate,input,cds/layers/coverages,death,/death/accidental_death_rate,Y,str,,Proportion of deaths which are accidents
model_premium_pre_uw_adj,output,cds/layers/coverages,death,/death/model_premium_pre_uw_adj,Y,float,,Modelled Premium
model_rate_pre_uw_adj,output,cds/layers/coverages,death,/death/model_rate_pre_uw_adj,Y,float,,Modelled Rate per mille of death benefit
uw_adj,input,cds/layers/coverages,death,/death/uw_adj,Y,float,,U/W Risk Adjustment
model_rate,output,cds/layers/coverages,death,/death/model_rate,Y,float,,U/W Adj modelled Rate per mille
model_premium,output,cds/layers/coverages,death,/death/model_premium,N,float,,U/W Adj modelled Premium
model_premium_post_exp,output,cds/layers/coverages,death,/death/model_premium_post_exp,Y,float,,Premium post experience
model_rate_post_exp,output,cds/layers/coverages,death,/death/model_rate_post_exp,Y,float,,Premium Rate per mille
quoted_rate,input,cds/layers/coverages,death,/death/quoted_rate,Y,float,,Commercial Rate per mille of death benefit
commercial_adj,output,cds/layers/coverages,death,/death/commercial_adj,Y,float,,Implied Commercial Adjustment
quoted_premium,output,cds/layers/coverages,death,/death/quoted_premium,N,float,,Commercially Achieved Premium
is_covered,input,cds/layers/coverages,additional_death,/additional_death/is_covered,Y,bool,False,Additional death benefit?
model_premium_pre_uw_adj,output,cds/layers/coverages,additional_death,/additional_death/model_premium_pre_uw_adj,Y,float,,Modelled Premium
model_rate_pre_uw_adj,output,cds/layers/coverages,additional_death,/additional_death/model_rate_pre_uw_adj,Y,float,,Modelled Rate per mille of death benefit
uw_adj,input,cds/layers/coverages,additional_death,/additional_death/uw_adj,Y,float,,U/W Risk Adjustment
model_rate,output,cds/layers/coverages,additional_death,/additional_death/model_rate,Y,float,,U/W Adj modelled Rate per mille
model_premium,output,cds/layers/coverages,additional_death,/additional_death/model_premium,N,float,,U/W Adj modelled Premium
model_premium_post_exp,output,cds/layers/coverages,additional_death,/additional_death/model_premium_post_exp,Y,float,,Premium post experience
model_rate_post_exp,output,cds/layers/coverages,additional_death,/additional_death/model_rate_post_exp,Y,float,,Premium Rate per mille
quoted_rate,input,cds/layers/coverages,additional_death,/additional_death/quoted_rate,Y,float,,Commercial Rate per mille of death benefit
commercial_adj,output,cds/layers/coverages,additional_death,/additional_death/commercial_adj,Y,float,,Implied Commercial Adjustment
quoted_premium,output,cds/layers/coverages,additional_death,/additional_death/quoted_premium,N,float,,Commercially Achieved Premium
is_covered,input,cds/layers/coverages,terminal_illness,/terminal_illness/is_covered,Y,bool,False,Terminal illness?
model_premium_pre_uw_adj,output,cds/layers/coverages,terminal_illness,/terminal_illness/model_premium_pre_uw_adj,Y,float,,Modelled Premium
model_rate_pre_uw_adj,output,cds/layers/coverages,terminal_illness,/terminal_illness/model_rate_pre_uw_adj,Y,float,,Modelled Rate per mille of death benefit
