Age,Non-Smoker
20,0.06884
21,0.06983
22,0.07081
23,0.07179
24,0.07278
25,0.07376
26,0.0727
27,0.07164
28,0.07059
29,0.06953
30,0.06849
31,0.06802
32,0.06757
33,0.06712
34,0.06667
35,0.06622
36,0.06666
37,0.06711
38,0.06756
39,0.06801
40,0.06845
41,0.06705
42,0.06564
43,0.06423
44,0.06283
45,0.06141
46,0.06031
47,0.0592
48,0.05809
49,0.05698
50,0.05588
51,0.05321
52,0.05055
53,0.04787
54,0.04521
55,0.04254
56,0.04358
57,0.04462
58,0.04567
59,0.04671
60,0.04775
61,0.04683
62,0.04591
63,0.04499
64,0.04408
65,0.04316
66,0.04676
67,0.05036
68,0.05395
69,0.05754
70,0.06114
71,0.07117
72,0.08121
73,0.09124
74,0.10127
