Age,1,2,3,4,5
20,0.11341,0.12505,0.1328,0.13758,0.14112
21,0.11686,0.12934,0.13743,0.1424,0.14613
22,0.12031,0.13363,0.14206,0.14723,0.15114
23,0.12376,0.13792,0.14669,0.15206,0.15615
24,0.12721,0.14221,0.15132,0.15688,0.16116
25,0.13066,0.1465,0.15595,0.16171,0.16617
26,0.13356,0.15009,0.16038,0.16701,0.1722
27,0.13646,0.15367,0.16481,0.17231,0.17823
28,0.13937,0.15726,0.16924,0.17762,0.18425
29,0.14227,0.16085,0.17366,0.18292,0.19028
30,0.14518,0.16443,0.17809,0.18822,0.19631
31,0.15108,0.17212,0.18729,0.19899,0.20881
32,0.15699,0.17981,0.19649,0.20977,0.22131
33,0.1629,0.1875,0.20569,0.22054,0.2338
34,0.16881,0.19519,0.21489,0.23131,0.2463
35,0.17472,0.20288,0.22408,0.24208,0.2588
36,0.19014,0.22277,0.24754,0.26827,0.28717
37,0.20557,0.24266,0.271,0.29446,0.31553
38,0.22099,0.26255,0.29446,0.32065,0.3439
39,0.23642,0.28244,0.31791,0.34684,0.37227
40,0.25184,0.30233,0.34137,0.37303,0.40063
41,0.27611,0.33207,0.37489,0.40912,0.43867
42,0.30038,0.36182,0.40841,0.44522,0.4767
43,0.32464,0.39156,0.44193,0.48131,0.51473
44,0.34891,0.42131,0.47545,0.5174,0.55276
45,0.37317,0.45105,0.50897,0.5535,0.5908
46,0.40007,0.48626,0.55174,0.6032,0.64664
47,0.42696,0.52146,0.59451,0.6529,0.70249
48,0.45385,0.55667,0.63729,0.7026,0.75834
49,0.48074,0.59187,0.68006,0.7523,0.81419
50,0.50764,0.62708,0.72283,0.802,0.87003
51,0.5595,0.69329,0.80148,0.89243,0.97182
52,0.61137,0.75949,0.88012,0.98286,1.0736
53,0.66323,0.8257,0.95876,1.07329,1.17539
54,0.7151,0.89191,1.0374,1.16371,1.27718
55,0.76696,0.95811,1.11605,1.25414,1.37896
56,0.85495,1.07552,1.25524,1.41353,1.55518
57,0.94294,1.19294,1.39442,1.57292,1.73141
58,1.03094,1.31035,1.53361,1.73231,1.90763
59,1.11893,1.42776,1.6728,1.8917,2.08386
60,1.20692,1.54517,1.81199,2.05108,2.26008
61,1.32881,1.71306,2.01761,2.28467,2.51942
62,1.4507,1.88094,2.22324,2.51826,2.77875
63,1.57259,2.04882,2.42887,2.75184,3.03809
64,1.69449,2.2167,2.6345,2.98543,3.29743
65,1.81638,2.38458,2.84012,3.21902,3.55676
66,1.98784,2.64052,3.17382,3.62479,4.03089
67,2.1593,2.89646,3.50751,4.03056,4.50502
68,2.33076,3.15239,3.8412,4.43634,4.97914
69,2.50221,3.40833,4.1749,4.84211,5.45327
70,2.67367,3.66426,4.50859,5.24789,5.9274
71,3.14686,4.31373,5.35345,6.28121,0
72,3.62006,4.9632,6.1983,0,0
73,4.09325,5.61267,0,0,0
74,4.56644,0,0,0,0
