Age,1,2,3,4,5
20,0.16761,0.16832,0.16974,0.17132,0.17289
21,0.17273,0.17356,0.17512,0.1771,0.1793
22,0.17785,0.1788,0.1805,0.18288,0.1857
23,0.18297,0.18404,0.18588,0.18866,0.1921
24,0.18809,0.18928,0.19126,0.19445,0.19851
25,0.19322,0.19452,0.19664,0.20023,0.20491
26,0.20576,0.20834,0.21152,0.21591,0.2211
27,0.2183,0.22216,0.22641,0.23159,0.23729
28,0.23085,0.23598,0.24129,0.24728,0.25347
29,0.24339,0.24979,0.25618,0.26296,0.26966
30,0.25594,0.26361,0.27106,0.27864,0.28584
31,0.26903,0.28122,0.29263,0.30441,0.31628
32,0.28212,0.29882,0.31421,0.33019,0.34671
33,0.29521,0.31643,0.33578,0.35596,0.37714
34,0.3083,0.33403,0.35735,0.38173,0.40757
35,0.3214,0.35163,0.37893,0.4075,0.43801
36,0.36691,0.40764,0.4425,0.47704,0.51256
37,0.41242,0.46365,0.50607,0.54658,0.58712
38,0.45793,0.51965,0.56964,0.61613,0.66167
39,0.50344,0.57566,0.63321,0.68567,0.73623
40,0.54895,0.63166,0.69678,0.75521,0.81078
41,0.6172,0.71515,0.78942,0.85407,0.91442
42,0.68545,0.79864,0.88207,0.95293,1.01806
43,0.75371,0.88213,0.97471,1.05179,1.12169
44,0.82196,0.96562,1.06736,1.15065,1.22533
45,0.89021,1.04912,1.16,1.24952,1.32897
46,0.96659,1.15017,1.28008,1.38638,1.48068
47,1.04297,1.25122,1.40016,1.52324,1.6324
48,1.11935,1.35227,1.52023,1.6601,1.78411
49,1.19573,1.45332,1.64031,1.79697,1.93582
50,1.27211,1.55437,1.76039,1.93383,2.08754
51,1.41651,1.7415,1.97951,2.18254,2.36482
52,1.56092,1.92862,2.19863,2.43126,2.6421
53,1.70532,2.11575,2.41774,2.67997,2.91938
54,1.84972,2.30287,2.63686,2.92869,3.19667
55,1.99413,2.48999,2.85598,3.1774,3.47395
56,2.25072,2.83503,3.25855,3.63247,3.97311
57,2.5073,3.18006,3.66112,4.08754,4.47227
58,2.76389,3.5251,4.06369,4.54261,4.97143
59,3.02048,3.87013,4.46627,4.99768,5.47059
60,3.27706,4.21517,4.86884,5.45274,5.96976
61,3.66789,4.7497,5.50648,6.16498,6.75052
62,4.05872,5.28423,6.14413,6.87722,7.53129
63,4.44955,5.81876,6.78177,7.58946,8.31206
64,4.84038,6.3533,7.41942,8.3017,9.09282
65,5.23121,6.88783,8.05706,9.01394,9.87359
66,5.84241,7.76528,9.14903,10.29759,11.33592
67,6.45362,8.64274,10.24099,11.58123,12.79824
68,7.06482,9.52019,11.33296,12.86488,14.26057
69,7.67602,10.39765,12.42492,14.14852,15.72289
70,8.28723,11.2751,13.51689,15.43217,17.18522
71,9.73181,13.33046,16.02453,18.29782,0
72,11.17639,15.38581,18.53216,0,0
73,12.62098,17.44116,0,0,0
74,14.06556,0,0,0,0
