Location and Nationality,Sex,Age Attained,q(Natural only),q(Non-natural only),"Pure risk rate",Code
United Kingdom,M,17,0.056429474,0.101346803,0.157776277,United KingdomM17
United Kingdom,M,18,0.062520873,0.103007883,0.165528756,United KingdomM18
United Kingdom,M,19,0.069020116,0.104642045,0.173662161,United KingdomM19
United Kingdom,M,20,0.075949894,0.106245313,0.182195207,United KingdomM20
United Kingdom,M,21,0.083334016,0.107813516,0.191147533,United KingdomM21
United Kingdom,M,22,0.091197452,0.109342287,0.200539739,United KingdomM22
United Kingdom,M,23,0.097409625,0.10842638,0.205836005,United KingdomM23
United Kingdom,M,24,0.103819978,0.107452169,0.211272146,United KingdomM24
United Kingdom,M,25,0.110432892,0.106418964,0.216851856,United KingdomM25
United Kingdom,M,26,0.117252798,0.105326129,0.222578927,United KingdomM26
United Kingdom,M,27,0.12428417,0.104173079,0.228457249,United KingdomM27
United Kingdom,M,28,0.133156647,0.104231389,0.237388036,United KingdomM28
United Kingdom,M,29,0.142455424,0.104212519,0.246667943,United KingdomM29
United Kingdom,M,30,0.152197245,0.104113373,0.256310618,United KingdomM30
United Kingdom,M,31,0.162399392,0.103930849,0.266330241,United KingdomM31
United Kingdom,M,32,0.1730797,0.103661849,0.276741549,United KingdomM32
United Kingdom,M,33,0.187580728,0.105166979,0.292747708,United KingdomM33
United Kingdom,M,34,0.203082946,0.106596683,0.309679629,United KingdomM34
United Kingdom,M,35,0.219648033,0.107942826,0.327590858,United KingdomM35
United Kingdom,M,36,0.237341129,0.109196907,0.346538036,United KingdomM36
United Kingdom,M,37,0.25623101,0.110350069,0.366581079,United KingdomM37
United Kingdom,M,38,0.282057543,0.113677171,0.395734714,United KingdomM38
United Kingdom,M,39,0.310237218,0.116969675,0.427206893,United KingdomM39
United Kingdom,M,40,0.340970305,0.120211702,0.461182006,United KingdomM40
United Kingdom,M,41,0.374473192,0.123385917,0.497859109,United KingdomM41
United Kingdom,M,42,0.410979625,0.12647346,0.537453086,United KingdomM42
United Kingdom,M,43,0.454901409,0.130648476,0.585549885,United KingdomM43
United Kingdom,M,44,0.503192686,0.134758192,0.637950877,United KingdomM44
United Kingdom,M,45,0.556265836,0.138775411,0.695041247,United KingdomM45
