Age,0,1,2,3,4,5
17,0.000037,0.000056,0.000075,0.000093,0.000112,0.000179
18,0.000038,0.000057,0.000077,0.000096,0.000115,0.000184
19,0.000039,0.000059,0.000078,0.000098,0.000118,0.000188
20,0.00004,0.000061,0.000081,0.000101,0.000122,0.000194
21,0.000041,0.000062,0.000083,0.000104,0.000125,0.000199
22,0.000043,0.000064,0.000086,0.000108,0.000129,0.000206
23,0.000044,0.000066,0.000089,0.000111,0.000134,0.000213
24,0.000046,0.000069,0.000092,0.000115,0.000139,0.000221
25,0.000048,0.000072,0.000096,0.00012,0.000144,0.00023
26,0.00005,0.000075,0.0001,0.000126,0.000151,0.000241
27,0.000052,0.000079,0.000105,0.000132,0.000158,0.000252
28,0.000055,0.000083,0.00011,0.000138,0.000166,0.000265
29,0.000058,0.000087,0.000117,0.000146,0.000175,0.000279
30,0.000063,0.000094,0.000125,0.000156,0.000187,0.000295
31,0.00007,0.000103,0.000135,0.000168,0.000201,0.000313
32,0.000078,0.000113,0.000148,0.000183,0.000218,0.000333
33,0.000089,0.000126,0.000163,0.000201,0.000238,0.000355
34,0.000101,0.00014,0.00018,0.00022,0.00026,0.000375
35,0.000112,0.000153,0.000195,0.000237,0.000279,0.000394
36,0.000124,0.000168,0.000213,0.000257,0.000301,0.000416
37,0.000138,0.000185,0.000232,0.000278,0.000325,0.00044
38,0.000154,0.000203,0.000253,0.000303,0.000352,0.000467
39,0.000172,0.000224,0.000277,0.00033,0.000383,0.000498
40,0.000191,0.000248,0.000304,0.000361,0.000417,0.000532
41,0.000214,0.000275,0.000335,0.000396,0.000457,0.000571
42,0.000239,0.000304,0.00037,0.000435,0.0005,0.000614
43,0.000268,0.000338,0.000409,0.000479,0.00055,0.000663
44,0.0003,0.000376,0.000453,0.000529,0.000605,0.000718
45,0.000337,0.00042,0.000502,0.000585,0.000668,0.00078
46,0.000378,0.000468,0.000559,0.000649,0.000739,0.00085
47,0.000425,0.000523,0.000622,0.00072,0.000819,0.000928
48,0.000477,0.000585,0.000692,0.0008,0.000908,0.001015
49,0.000536,0.000654,0.000773,0.000891,0.001009,0.001114
50,0.000602,0.000732,0.000862,0.000993,0.001123,0.001225
51,0.000676,0.000819,0.000963,0.001106,0.001249,0.001349
52,0.000759,0.000917,0.001076,0.001234,0.001392,0.001489
53,0.000852,0.001027,0.001202,0.001377,0.001552,0.001647
54,0.000956,0.00115,0.001343,0.001537,0.001731,0.001824
55,0.00107,0.001285,0.0015,0.001715,0.00193,0.002022
56,0.001198,0.001436,0.001675,0.001914,0.002152,0.002246
57,0.001338,0.001603,0.001869,0.002134,0.002399,0.002497
58,0.001492,0.001787,0.002082,0.002378,0.002673,0.002779
59,0.00166,0.001989,0.002318,0.002647,0.002976,0.003096
60,0.001844,0.00221,0.002577,0.002944,0.003311,0.003453
61,0.002041,0.002451,0.00286,0.003269,0.003679,0.003853
62,0.002253,0.00271,0.003168,0.003625,0.004082,0.004303
63,0.002479,0.00299,0.003501,0.004012,0.004523,0.004809
64,0.002716,0.003288,0.003859,0.00443,0.005002,0.005377
65,0.002963,0.003602,0.004241,0.00488,0.005519,0.006015
66,0.003215,0.00393,0.004646,0.005361,0.006076,0.006732
67,0.003468,0.004269,0.00507,0.005871,0.006672,0.007538
68,0.003714,0.004611,0.005508,0.006405,0.007302,0.008442
69,0.003974,0.004979,0.005984,0.006989,0.007994,0.009458
70,0.004285,0.005411,0.006537,0.007663,0.00879,0.010599
71,0.004704,0.005967,0.007229,0.008491,0.009754,0.01188
72,0.005236,0.006651,0.008066,0.009481,0.010896,0.013318
73,0.00587,0.007456,0.009043,0.010629,0.012216,0.014931
74,0.006582,0.008361,0.01014,0.011919,0.013698,0.016742
75,0.007381,0.009376,0.01137,0.013365,0.01536,0.018774
76,0.008277,0.010514,0.012751,0.014988,0.017225,0.021053
77,0.009281,0.01179,0.014299,0.016807,0.019316,0.023609
78,0.010407,0.01322,0.016033,0.018846,0.021659,0.026473
79,0.01167,0.014824,0.017978,0.021132,0.024286,0.029684
80,0.013083,0.01662,0.020156,0.023692,0.027229,0.03328
81,0.014667,0.018631,0.022595,0.026559,0.030523,0.037307
82,0.016438,0.020881,0.025324,0.029767,0.03421,0.041813
83,0.01842,0.023398,0.028377,0.033356,0.038334,0.046854
84,0.020635,0.026213,0.03179,0.037367,0.042945,0.052489
85,0.023109,0.029356,0.035602,0.041848,0.048094,0.058783
86,0.025872,0.032865,0.039858,0.046851,0.053843,0.06581
87,0.028952,0.036778,0.044603,0.052428,0.060254,0.073645
88,0.032384,0.041137,0.04989,0.058643,0.067396,0.082375
89,0.036204,0.045989,0.055774,0.06556,0.075345,0.09209
90,0.040449,0.051382,0.062315,0.073247,0.08418,0.102889
91,0,0.057367,0.069573,0.08178,0.093986,0.114874
92,0,0,0.077618,0.091236,0.104854,0.128157
93,0,0,0,0.101696,0.116875,0.14285
94,0,0,0,0,0.130147,0.159072
95,0,0,0,0,0,0.176942
96,0,0,0,0,0,0.196576
97,0,0,0,0,0,0.218089
98,0,0,0,0,0,0.241586
99,0,0,0,0,0,0.267157
100,0,0,0,0,0,0.295467
101,0,0,0,0,0,0.324026
102,0,0,0,0,0,0.351066
103,0,0,0,0,0,0.376663
104,0,0,0,0,0,0.400888
105,0,0,0,0,0,0.423806
106,0,0,0,0,0,0.445478
107,0,0,0,0,0,0.465958
108,0,0,0,0,0,0.485298
109,0,0,0,0,0,0.503543
110,0,0,0,0,0,0.520734
111,0,0,0,0,0,0.536905
112,0,0,0,0,0,0.552084
113,0,0,0,0,0,0.56629
114,0,0,0,0,0,0.579532
115,0,0,0,0,0,0.591804
116,0,0,0,0,0,0.603076
117,0,0,0,0,0,0.613278
118,0,0,0,0,0,0.622251
119,0,0,0,0,0,0.629516
120,0,0,0,0,0,1
