Country,Code
United Kingdom,UK
Austria,A
Bahamas,B
Barbados,B
Belgium,A
Bulgaria,C
Cyprus,B
Czech Republic,A
Denmark,A
Egypt,C
Estonia,B
Finland,A
France,A
French Polynesia,C
Germany,A
Gibraltar,A
Greece,B
Guadeloupe,C
Hungary,B
Iceland,A
Ireland,A
Isle of Man,A
Israel,B
Italy,A
Jamaica,C
Jersey,A
Latvia,B
Liechtenstein,A
Lithuania,B
Luxembourg,A
Malta,B
Martinique,B
Mauritius,B
Netherlands,A
Norway,A
Oman,A
Peru,C
Poland,A
Portugal,A
Qatar,A
Romania,B
Slovakia,A
Slovenia,A
Spain,A
Sweden,A
Thailand,C
Turkey,B
