Sex and Country,Age,SCA,Value
MAfghanistan,15,MAfghanistan15,0.747889139
MAlbania,15,MAlbania15,1.090497547
MAlgeria,15,MAlgeria15,0.679640458
MAmerican Samoa,15,MAmerican Samoa15,0.628298616
MAndorra,15,MAndorra15,1.102873483
MAngola,15,MAngola15,0.479376418
MAnguilla,15,MAnguilla15,0.710296977
MAntarctica,15,MAntarctica15,0.835320314
MAntigua and Barbuda,15,MAntigua and Barbuda15,0.710296977
MArgentina,15,MArgentina15,0.870618769
MArmenia,15,MArmenia15,0.673863529
MAruba,15,MAruba15,0.710296977
MAustralia,15,MAustralia15,1.383828916
MAustria,15,MAustria15,1.070632483
MAzerbaijan,15,MAzerbaijan15,0.673863529
MBahamas,15,MBahamas15,0.710296977
MBahrain,15,MBahrain15,0.439902287
MBangladesh,15,MBangladesh15,0.372180358
MBarbados,15,MBarbados15,0.710296977
MBelarus,15,MBelarus15,0.741990777
MBelgium,15,MBelgium15,1.244032876
MBelize,15,MBelize15,0.839891418
MBenin,15,MBenin15,0.479376418
MBermuda,15,MBermuda15,1.035539244
MBhutan,15,MBhutan15,0.372180358
MBolivia,15,MBolivia15,0.790315158
MBosnia and Herzegovina,15,MBosnia and Herzegovina15,1.090497547
MBotswana,15,MBotswana15,0.160835752
MBouvet Island,15,MBouvet Island15,0.870618769
MBrazil,15,MBrazil15,0.913983306
MBritish Indian Ocean Territory,15,MBritish Indian Ocean Territory15,0.666982042
MBrunei Darussalam,15,MBrunei Darussalam15,0.578985235
MBulgaria,15,MBulgaria15,0.771089685
MBurkina Faso,15,MBurkina Faso15,0.479376418
MBurundi,15,MBurundi15,0.666982042
MCambodia,15,MCambodia15,0.578985235
MCameroon,15,MCameroon15,0.479376418
MCanada,15,MCanada15,1.041584532
MCape Verde,15,MCape Verde15,0.479376418
MCayman Islands,15,MCayman Islands15,0.710296977
MCentral African Republic,15,MCentral African Republic15,0.479376418
MChad,15,MChad15,0.479376418
MChile,15,MChile15,0.835320314
MChina,15,MChina15,0.45906118
MChristmas Island,15,MChristmas Island15,0.578985235
MCocos (Keeling) Islands,15,MCocos (Keeling) Islands15,0.578985235
MColombia,15,MColombia15,0.837789646
MComoros,15,MComoros15,0.666982042
MCongo,15,MCongo15,0.479376418
"MCongo, The Democratic Republic Of The",15,"MCongo, The Democratic Republic Of The15",0.479376418
MCook Islands,15,MCook Islands15,0.628298616
MCosta Rica,15,MCosta Rica15,0.839891418
MCroatia,15,MCroatia15,1.362287731
MCuba,15,MCuba15,0.891768152
MCyprus,15,MCyprus15,1.146525823
MCzech Republic,15,MCzech Republic15,0.968968531
MCôte D'Ivoire,15,MCôte D'Ivoire15,0.479376418
MDenmark,15,MDenmark15,1.180270441
MDjibouti,15,MDjibouti15,0.666982042
MDominica,15,MDominica15,0.710296977
MDominican Republic,15,MDominican Republic15,0.710296977
MEcuador,15,MEcuador15,0.790315158
MEgypt,15,MEgypt15,0.479376418
MEl Salvador,15,MEl Salvador15,0.839891418
MEquatorial Guinea,15,MEquatorial Guinea15,0.479376418
MEritrea,15,MEritrea15,0.666982042
MEstonia,15,MEstonia15,0.632191345
MEthiopia,15,MEthiopia15,0.666982042
MFalkland Islands (Malvinas),15,MFalkland Islands (Malvinas)15,0.870618769
MFaroe Islands,15,MFaroe Islands15,1
MFiji,15,MFiji15,0.628298616
MFinland,15,MFinland15,1.002616513
MFrance,15,MFrance15,1.083467673
MFrench Guiana,15,MFrench Guiana15,0.837789646
MFrench Polynesia,15,MFrench Polynesia15,0.628298616
MFrench Southern Territories,15,MFrench Southern Territories15,0.160835752
MGabon,15,MGabon15,0.479376418
MGambia,15,MGambia15,0.479376418
MGeorgia,15,MGeorgia15,0.673863529
MGermany,15,MGermany15,1.102873483
MGhana,15,MGhana15,0.479376418
MGibraltar,15,MGibraltar15,1.016088274
MGreece,15,MGreece15,0.673863529
MGreenland,15,MGreenland15,1.041584532
MGrenada,15,MGrenada15,0.710296977
MGuadeloupe,15,MGuadeloupe15,0.710296977
MGuam,15,MGuam15,0.628298616
MGuatemala,15,MGuatemala15,0.839891418
MGuernsey,15,MGuernsey15,1
MGuinea,15,MGuinea15,0.479376418
MGuinea-Bissau,15,MGuinea-Bissau15,0.479376418
MGuyana,15,MGuyana15,0.837789646
MHaiti,15,MHaiti15,0.710296977
MHeard and McDonald Islands,15,MHeard and McDonald Islands15,0.160835752
MHoly See (Vatican City State),15,MHoly See (Vatican City State)15,1.348405654
MHonduras,15,MHonduras15,0.839891418
MHong Kong,15,MHong Kong15,0.45906118
MHungary,15,MHungary15,0.968968531
MIceland,15,MIceland15,1.422704603
MIndia,15,MIndia15,0.372180358
MIndonesia,15,MIndonesia15,0.578985235
MIran (Islamic Republic Of),15,MIran (Islamic Republic Of)15,0.747889139
MIraq,15,MIraq15,0.747889139
MIreland,15,MIreland15,1.06254284
MIsle of Man,15,MIsle of Man15,1
MIsrael,15,MIsrael15,1.043381877
MItaly,15,MItaly15,1.348405654
MJamaica,15,MJamaica15,0.201754883
MJapan,15,MJapan15,0.447136639
MJersey,15,MJersey15,1
MJordan,15,MJordan15,0.497112917
MKazakhstan,15,MKazakhstan15,0.372180358
MKenya,15,MKenya15,0.666982042
MKiribati,15,MKiribati15,0.628298616
"MKorea, Democratic People's Republic Of",15,"MKorea, Democratic People's Republic Of15",0.568882785
"MKorea, Republic of",15,"MKorea, Republic of15",0.568882785
MKuwait,15,MKuwait15,0.426374105
MKyrgyzstan,15,MKyrgyzstan15,0.372180358
MLao People's Democratic Republic,15,MLao People's Democratic Republic15,0.578985235
MLatvia,15,MLatvia15,0.566395263
MLebanon,15,MLebanon15,0.747889139
MLesotho,15,MLesotho15,0.160835752
MLiberia,15,MLiberia15,0.479376418
MLibyan Arab Jamahiriya,15,MLibyan Arab Jamahiriya15,0.374850846
MLiechtenstein,15,MLiechtenstein15,1.102873483
MLithuania,15,MLithuania15,0.7224925
MLuxembourg,15,MLuxembourg15,1.102873483
MMacao,15,MMacao15,0.45906118
"MMacedonia, the Former Yugoslav Republic Of",15,"MMacedonia, the Former Yugoslav Republic Of15",1.090497547
MMadagascar,15,MMadagascar15,0.666982042
MMalawi,15,MMalawi15,1.643116519
MMalaysia,15,MMalaysia15,0.628298616
MMaldives,15,MMaldives15,0.372180358
MMali,15,MMali15,0.479376418
MMalta,15,MMalta15,1.16595049
MMarshall Islands,15,MMarshall Islands15,0.628298616
MMartinique,15,MMartinique15,0.710296977
MMauritania,15,MMauritania15,0.479376418
MMauritius,15,MMauritius15,0.666982042
MMayotte,15,MMayotte15,0.666982042
MMexico,15,MMexico15,0.839891418
"MMicronesia, Federated States Of",15,"MMicronesia, Federated States Of15",0.628298616
MMoldova,15,MMoldova15,0.968968531
MMonaco,15,MMonaco15,1.102873483
MMongolia,15,MMongolia15,0.45906118
MMontenegro,15,MMontenegro15,1.090497547
MMontserrat,15,MMontserrat15,0.710296977
MMorocco,15,MMorocco15,0.479376418
MMozambique,15,MMozambique15,0.666982042
MMyanmar,15,MMyanmar15,0.578985235
MNamibia,15,MNamibia15,0.160835752
MNauru,15,MNauru15,0.628298616
MNepal,15,MNepal15,0.372180358
MNetherlands,15,MNetherlands15,1.244884417
MNetherlands Antilles,15,MNetherlands Antilles15,0.710296977
MNew Caledonia,15,MNew Caledonia15,0.628298616
MNew Zealand,15,MNew Zealand15,1.115168161
MNicaragua,15,MNicaragua15,0.839891418
MNiger,15,MNiger15,0.479376418
MNigeria,15,MNigeria15,0.479376418
MNiue,15,MNiue15,0.628298616
MNorfolk Island,15,MNorfolk Island15,1.383828916
MNorthern Mariana Islands,15,MNorthern Mariana Islands15,0.628298616
MNorway,15,MNorway15,1.33223966
MOman,15,MOman15,0.497112917
MPakistan,15,MPakistan15,0.372180358
MPalau,15,MPalau15,0.578985235
"MPalestinian Territory, Occupied",15,"MPalestinian Territory, Occupied15",0.747889139
MPanama,15,MPanama15,0.839891418
MPapua New Guinea,15,MPapua New Guinea15,0.628298616
MParaguay,15,MParaguay15,0.876593297
MPeru,15,MPeru15,0.790315158
MPhilippines,15,MPhilippines15,0.520250136
MPitcairn,15,MPitcairn15,0.628298616
MPoland,15,MPoland15,0.7428762
MPortugal,15,MPortugal15,1.024240068
MPuerto Rico,15,MPuerto Rico15,0.710296977
MQatar,15,MQatar15,0.501808197
MRomania,15,MRomania15,0.968968531
MRussian Federation,15,MRussian Federation15,0.554283068
MRwanda,15,MRwanda15,0.666982042
MRéunion,15,MRéunion15,0.666982042
MSaint Barthélemy,15,MSaint Barthélemy15,0.710296977
MSaint Helena,15,MSaint Helena15,0.479376418
MSaint Kitts And Nevis,15,MSaint Kitts And Nevis15,0.710296977
MSaint Lucia,15,MSaint Lucia15,0.710296977
MSaint Martin,15,MSaint Martin15,0.710296977
MSaint Pierre And Miquelon,15,MSaint Pierre And Miquelon15,1.041584532
MSaint Vincent And The Grenadines,15,MSaint Vincent And The Grenadines15,0.710296977
MSamoa,15,MSamoa15,0.628298616
MSan Marino,15,MSan Marino15,1.348405654
MSao Tome and Principe,15,MSao Tome and Principe15,0.479376418
MSaudi Arabia,15,MSaudi Arabia15,0.497112917
MSenegal,15,MSenegal15,0.479376418
MSerbia,15,MSerbia15,1.090497547
MSeychelles,15,MSeychelles15,0.666982042
MSierra Leone,15,MSierra Leone15,0.479376418
MSingapore,15,MSingapore15,0.578985235
MSlovakia,15,MSlovakia15,1.028301892
MSlovenia,15,MSlovenia15,1.377334824
MSolomon Islands,15,MSolomon Islands15,0.628298616
MSomalia,15,MSomalia15,0.666982042
MSouth Africa,15,MSouth Africa15,0.160835752
MSouth Georgia and the South Sandwich Islands,15,MSouth Georgia and the South Sandwich Islands15,0.160835752
MSpain,15,MSpain15,1.016088274
MSri Lanka,15,MSri Lanka15,0.372180358
MSudan,15,MSudan15,0.479376418
MSuriname,15,MSuriname15,0.837789646
MSvalbard And Jan Mayen,15,MSvalbard And Jan Mayen15,1.33223966
MSwaziland,15,MSwaziland15,0.160835752
MSweden,15,MSweden15,1.014148697
MSwitzerland,15,MSwitzerland15,1.434322043
MSyrian Arab Republic,15,MSyrian Arab Republic15,0.747889139
"MTaiwan, Province Of China",15,"MTaiwan, Province Of China15",0.45906118
MTajikistan,15,MTajikistan15,0.372180358
"MTanzania, United Republic of",15,"MTanzania, United Republic of15",0.666982042
MThailand,15,MThailand15,0.443713019
MTimor-Leste,15,MTimor-Leste15,0.578985235
MTogo,15,MTogo15,0.479376418
MTokelau,15,MTokelau15,0.628298616
MTonga,15,MTonga15,0.628298616
MTrinidad and Tobago,15,MTrinidad and Tobago15,0.710296977
MTunisia,15,MTunisia15,0.350501219
MTurkey,15,MTurkey15,0.673863529
MTurkmenistan,15,MTurkmenistan15,0.372180358
MTurks and Caicos Islands,15,MTurks and Caicos Islands15,0.710296977
MTuvalu,15,MTuvalu15,0.628298616
MUganda,15,MUganda15,0.666982042
MUkraine,15,MUkraine15,0.687080264
MUnited Arab Emirates,15,MUnited Arab Emirates15,0.497112917
MUnited Kingdom,15,MUnited Kingdom15,1
MUnited States,15,MUnited States15,1.035539244
MUnited States Minor Outlying Islands,15,MUnited States Minor Outlying Islands15,1.035539244
MUruguay,15,MUruguay15,0.876593297
MUzbekistan,15,MUzbekistan15,0.372180358
MVanuatu,15,MVanuatu15,0.628298616
MVenezuela,15,MVenezuela15,0.837789646
Mvietnam,15,Mvietnam15,0.578985235
"MVirgin Islands, British",15,"MVirgin Islands, British15",0.710296977
"MVirgin Islands, U.S.",15,"MVirgin Islands, U.S.15",0.710296977
MWallis and Futuna,15,MWallis and Futuna15,0.628298616
MWestern Sahara,15,MWestern Sahara15,0.479376418
MYemen,15,MYemen15,0.497112917
MZambia,15,MZambia15,0.666982042
MZimbabwe,15,MZimbabwe15,0.47441144
MÅland Islands,15,MÅland Islands15,1.014148697
FAfghanistan,15,FAfghanistan15,0.820988585
FAlbania,15,FAlbania15,0.934169711
FAlgeria,15,FAlgeria15,0.700137005
FAmerican Samoa,15,FAmerican Samoa15,0.701076625
FAndorra,15,FAndorra15,0.897548478
FAngola,15,FAngola15,0.559636639
FAnguilla,15,FAnguilla15,0.783595207
FAntarctica,15,FAntarctica15,0.586093031
FAntigua and Barbuda,15,FAntigua and Barbuda15,0.783595207
FArgentina,15,FArgentina15,0.896493704
FArmenia,15,FArmenia15,0.829665814
FAruba,15,FAruba15,0.783595207
FAustralia,15,FAustralia15,1.266736674
FAustria,15,FAustria15,1.063622607
FAzerbaijan,15,FAzerbaijan15,0.829665814
FBahamas,15,FBahamas15,0.783595207
FBahrain,15,FBahrain15,0.761580254
FBangladesh,15,FBangladesh15,0.441108064
FBarbados,15,FBarbados15,0.783595207
FBelarus,15,FBelarus15,1.115759525
FBelgium,15,FBelgium15,1.273649895
FBelize,15,FBelize15,0.759371779
FBenin,15,FBenin15,0.559636639
FBermuda,15,FBermuda15,1.206355538
FBhutan,15,FBhutan15,0.441108064
FBolivia,15,FBolivia15,0.795992077
FBosnia and Herzegovina,15,FBosnia and Herzegovina15,0.934169711
FBotswana,15,FBotswana15,0.410541808
FBouvet Island,15,FBouvet Island15,0.896493704
FBrazil,15,FBrazil15,1.126012871
FBritish Indian Ocean Territory,15,FBritish Indian Ocean Territory15,0.85111641
FBrunei Darussalam,15,FBrunei Darussalam15,0.815593808
FBulgaria,15,FBulgaria15,0.735220037
FBurkina Faso,15,FBurkina Faso15,0.559636639
FBurundi,15,FBurundi15,0.85111641
FCambodia,15,FCambodia15,0.815593808
FCameroon,15,FCameroon15,0.559636639
FCanada,15,FCanada15,1.128648963
FCape Verde,15,FCape Verde15,0.559636639
FCayman Islands,15,FCayman Islands15,0.783595207
FCentral African Republic,15,FCentral African Republic15,0.559636639
FChad,15,FChad15,0.559636639
FChile,15,FChile15,0.586093031
FChina,15,FChina15,0.611285744
FChristmas Island,15,FChristmas Island15,0.815593808
FCocos (Keeling) Islands,15,FCocos (Keeling) Islands15,0.815593808
FColombia,15,FColombia15,0.838623116
FComoros,15,FComoros15,0.85111641
FCongo,15,FCongo15,0.559636639
"FCongo, The Democratic Republic Of The",15,"FCongo, The Democratic Republic Of The15",0.559636639
FCook Islands,15,FCook Islands15,0.701076625
FCosta Rica,15,FCosta Rica15,0.759371779
FCroatia,15,FCroatia15,1.018661723
FCuba,15,FCuba15,0.992785153
FCyprus,15,FCyprus15,0.91713988
FCzech Republic,15,FCzech Republic15,0.87586444
FCôte D'Ivoire,15,FCôte D'Ivoire15,0.559636639
FDenmark,15,FDenmark15,1.38693553
FDjibouti,15,FDjibouti15,0.85111641
FDominica,15,FDominica15,0.783595207
FDominican Republic,15,FDominican Republic15,0.783595207
FEcuador,15,FEcuador15,0.795992077
FEgypt,15,FEgypt15,0.559636639
FEl Salvador,15,FEl Salvador15,0.759371779
FEquatorial Guinea,15,FEquatorial Guinea15,0.559636639
FEritrea,15,FEritrea15,0.85111641
FEstonia,15,FEstonia15,1.078813604
FEthiopia,15,FEthiopia15,0.85111641
FFalkland Islands (Malvinas),15,FFalkland Islands (Malvinas)15,0.896493704
FFaroe Islands,15,FFaroe Islands15,1
FFiji,15,FFiji15,0.701076625
FFinland,15,FFinland15,1.035980268
FFrance,15,FFrance15,1.043417955
FFrench Guiana,15,FFrench Guiana15,0.838623116
FFrench Polynesia,15,FFrench Polynesia15,0.701076625
FFrench Southern Territories,15,FFrench Southern Territories15,0.410541808
FGabon,15,FGabon15,0.559636639
FGambia,15,FGambia15,0.559636639
FGeorgia,15,FGeorgia15,0.829665814
FGermany,15,FGermany15,0.897548478
FGhana,15,FGhana15,0.559636639
FGibraltar,15,FGibraltar15,0.90140208
FGreece,15,FGreece15,0.829665814
FGreenland,15,FGreenland15,1.128648963
FGrenada,15,FGrenada15,0.783595207
FGuadeloupe,15,FGuadeloupe15,0.783595207
FGuam,15,FGuam15,0.701076625
FGuatemala,15,FGuatemala15,0.759371779
FGuernsey,15,FGuernsey15,1
FGuinea,15,FGuinea15,0.559636639
FGuinea-Bissau,15,FGuinea-Bissau15,0.559636639
FGuyana,15,FGuyana15,0.838623116
FHaiti,15,FHaiti15,0.783595207
FHeard and McDonald Islands,15,FHeard and McDonald Islands15,0.410541808
FHoly See (Vatican City State),15,FHoly See (Vatican City State)15,1.368711991
FHonduras,15,FHonduras15,0.759371779
FHong Kong,15,FHong Kong15,0.611285744
