CountrySex,l(20-24),l(65-69),logit (l(20-24)),logit (l(65-69)),alpha,beta,Affluence flag
AfghanistanMale,0.92586,0.58993,2.524767838,0.363676009,-0.7844808,1.020166176,X
AfghanistanFemale,0.93443,0.57458,2.656818443,0.300562423,-0.951282296,1.11229549,X
AlbaniaMale,0.98487,0.84008,4.175830125,1.658823435,0.321574212,1.188179538,X
AlbaniaFemale,0.98672,0.94092,4.308127167,2.767965662,1.949700147,0.727049472,X
AlgeriaMale,0.96932,0.84107,3.452983818,1.666211037,0.71692452,0.843464924,X
AlgeriaFemale,0.97366,0.86865,3.60997347,1.889074766,0.974786193,0.812368372,X
AngolaMale,0.89517,0.55154,2.144673654,0.206894874,-0.822618944,0.914748898,X
AngolaFemale,0.91203,0.6516,2.338677037,0.626079632,-0.283798581,0.808449656,X
Antigua and BarbudaMale,0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
Antigua and BarbudaFemale,0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
ArgentinaMale,0.98328,0.78228,4.074288314,1.279002899,-0.206091783,1.319543943,X
ArgentinaFemale,0.98812,0.87106,4.420947834,1.910363681,0.576526659,1.185147712,X
ArmeniaMale,0.98165,0.75514,3.979605255,1.126216544,-0.389747578,1.346972216,X
ArmeniaFemale,0.98677,0.89069,4.311950005,2.097808561,0.921467259,1.045208806,X
AustraliaMale,0.99353,0.88825,5.034088149,2.072989001,0.499799883,1.397818063,X
AustraliaFemale,0.99521,0.93241,5.336423359,2.624312589,1.183407392,1.280280475,X
AustriaMale,0.99289,0.8762,4.939117639,1.956927015,0.372532301,1.407774517,X
AustriaFemale,0.99538,0.93092,5.372729869,2.600908091,1.1282793,1.308467686,X
AzerbaijanMale,0.96918,0.70103,3.448286523,0.852207448,-0.527051789,1.225506491,X
AzerbaijanFemale,0.97629,0.83348,3.717862773,1.610494284,0.490879908,0.994805507,X
BahamasMale,0.97843,0.68321,3.814645786,0.768563186,-0.849776411,1.437935398,X
BahamasFemale,0.98388,0.80878,4.111443201,1.442102342,0.023920179,1.260090488,X
BahrainMale,0.98585,0.8502,4.243789589,1.736170545,0.403908842,1.183748001,X
BahrainFemale,0.99034,0.88877,4.63005467,2.078238355,0.722495282,1.204611788,X
BangladeshMale,0.95645,0.76798,3.08931881,1.196940116,0.191546707,0.893317309,X
BangladeshFemale,0.96278,0.82364,3.252978682,1.541206181,0.631766227,0.808060252,X
BarbadosMale,0.98118,0.79398,3.953835795,1.349085021,-0.034781364,1.229600058,X
BarbadosFemale,0.98505,0.84804,4.187981101,1.719310476,0.407741505,1.165361989,X
BelarusMale,0.99225,0.67003,4.852282248,0.708320746,-1.49330602,1.956200705,X
BelarusFemale,0.99496,0.88313,5.285296453,2.022410209,0.288885975,1.540279843,X
BelgiumMale,0.99398,0.86996,5.106629826,1.900605138,0.197290626,1.513437746,X
BelgiumFemale,0.99557,0.91778,5.414915853,2.412559129,0.817450458,1.417294137,X
BelizeMale,0.97661,0.70829,3.731778811,0.887093456,-0.624246698,1.342863705,X
BelizeFemale,0.98411,0.82617,4.126047699,1.558722753,0.194740169,1.211932801,X
BeninMale,0.87799,0.58452,1.973532195,0.341356519,-0.525794793,0.770485731,X
BeninFemale,0.89317,0.67471,2.123538146,0.729565877,-0.011031414,0.658039303,X
BhutanMale,0.95854,0.77141,3.140682186,1.216290003,0.19388829,0.908429614,X
BhutanFemale,0.96691,0.81768,3.374874298,1.500707677,0.504990078,0.884720107,X
BoliviaMale,0.96237,0.75173,3.241597387,1.107860353,-0.025763249,1.007253057,X
BoliviaFemale,0.96989,0.78908,3.472325321,1.319388795,0.175564781,1.016316379,X
Bosnia and HerzegovinaMale,0.98965,0.79782,4.560364826,1.372724618,-0.320822486,1.504759158,X
Bosnia and HerzegovinaFemale,0.9924,0.89486,4.871978005,2.141374486,0.69064436,1.289010172,X
BotswanaMale,0.93823,0.44958,2.720577312,-0.20236781,-1.755286246,1.379807053,X
BotswanaFemale,0.95047,0.6098,2.954378052,0.446471606,-0.885942789,1.183883672,X
BrazilMale,0.97173,0.75071,3.537276816,1.102402548,-0.191210908,1.149408062,X
BrazilFemale,0.98384,0.86442,4.108924229,1.85249689,0.653689704,1.065170309,X
Brunei DarussalamMale,0.98197,0.79048,3.997523721,1.327821156,-0.090553176,1.260261235,X
Brunei DarussalamFemale,0.98589,0.83936,4.246661021,1.65347386,0.275751056,1.224141332,X
BulgariaMale,0.98782,0.71989,4.395705233,0.943916039,-0.889969597,1.629453471,X
BulgariaFemale,0.99119,0.86228,4.723018802,1.834357405,0.299653416,1.363623059,X
Burkina FasoMale,0.88294,0.55064,2.020570624,0.20325689,-0.762255593,0.857882103,X
Burkina FasoFemale,0.89646,0.66239,2.158495663,0.673963123,-0.114747528,0.700789233,X
BurundiMale,0.90741,0.55592,2.282413243,0.224619673,-0.868656267,0.971403145,X
BurundiFemale,0.9229,0.65463,2.482417606,0.639453884,-0.339686066,0.86999045,X
CambodiaMale,0.95835,0.65788,3.135911687,0.653860991,-0.664816618,1.171678192,X
CambodiaFemale,0.96903,0.77645,3.443276577,1.245097146,0.077236231,1.03767377,X
CameroonMale,0.88928,0.54492,2.083407655,0.180165767,-0.8309991,0.898445394,X
CameroonFemale,0.9053,0.6303,2.25755238,0.533504031,-0.382457904,0.813855195,X
CanadaMale,0.99202,0.87634,4.822804857,1.958218279,0.436304893,1.352258287,X
CanadaFemale,0.99374,0.91947,5.067295418,2.435167631,1.036756236,1.242523665,X
Cape VerdeMale,0.97594,0.70855,3.702850399,0.888352164,-0.606950011,1.328613557,X
Cape VerdeFemale,0.98309,0.86801,4.06279551,1.883477073,0.725636732,1.028770238,X
Central African RepublicMale,0.85166,0.30508,1.74768045,-0.823222694,-2.189106322,1.213621927,X
Central African RepublicFemale,0.87371,0.46153,1.934167663,-0.154184727,-1.263696126,0.985828758,X
ChadMale,0.84732,0.5322,1.713734199,0.128978504,-0.712979259,0.74810063,X
ChadFemale,0.86453,0.59865,1.853435793,0.399843256,-0.37242942,0.686183678,X
ChileMale,0.98775,0.8484,4.389903692,1.722106749,0.304744848,1.259361666,X
ChileFemale,0.99084,0.91391,4.68370689,2.362338838,1.129029591,1.095826257,X
ChinaMale,0.98708,0.81888,4.335974591,1.508777758,0.006729001,1.334608065,X
ChinaFemale,0.99,0.90523,4.59511985,2.256736152,1.014386738,1.103858672,X
ColombiaMale,0.97608,0.831,3.708829621,1.59273108,0.468478554,0.998926621,X
ColombiaFemale,0.9842,0.90038,4.131819188,2.201453949,1.175878837,0.911249258,X
ComorosMale,0.91535,0.66502,2.380781397,0.685746287,-0.214801333,0.80015919,X
ComorosFemale,0.92864,0.71899,2.565983662,0.939457194,0.075307223,0.767818963,X
CongoMale,0.93119,0.59244,2.605114255,0.374061441,-0.811264627,1.053191997,X
CongoFemale,0.94316,0.62523,2.808995636,0.511807078,-0.708655954,1.084412072,X
Costa RicaMale,0.98445,0.83377,4.148022471,1.612585213,0.265544097,1.196879881,X
Costa RicaFemale,0.98927,0.90696,4.523923741,2.277068839,1.083347352,1.060651538,X
Côte D'IvoireMale,0.881,0.56012,2.001934133,0.241649084,-0.693564884,0.830961111,X
Côte D'IvoireFemale,0.90285,0.66351,2.229300251,0.678975494,-0.144689609,0.731847142,X
CroatiaMale,0.99165,0.80748,4.777108684,1.433718243,-0.342576706,1.578282698,X
CroatiaFemale,0.9942,0.9104,5.144080476,2.318528743,0.817354005,1.333831477,X
CubaMale,0.98947,0.80028,4.54294112,1.388045281,-0.288105214,1.489301834,X
CubaFemale,0.99195,0.88317,4.814000611,2.022797821,0.539872178,1.317616697,X
CyprusMale,0.99538,0.90663,5.372729869,2.273164334,0.626410029,1.463182581,X
CyprusFemale,0.99685,0.94984,5.757197854,2.941075653,1.444910688,1.329380168,X
Czech RepublicMale,0.9936,0.82669,5.045036721,1.562347877,-0.287954296,1.644039977,X
Czech RepublicFemale,0.99552,0.91298,5.403642167,2.350575997,0.728526131,1.441232066,X
"Korea, Democratic People's Republic OfMale",0.97138,0.69207,3.524611967,0.809814622,-0.632517913,1.281548701,X
"Korea, Democratic People's Republic OfFemale",0.97948,0.81245,3.865621798,1.466008897,0.191129295,1.132762562,X
