Lookup code,Values,AOP,WS,EQ,Excess FL,Liability,Equipment breakdown,PAF,Wildfire,WaterDamage,Hail,Wind,Other,RoofDamageLeak,Theft,Lightning,Fire,IceSnowDamage,PowerSurge,WinterStorm
Base Rate,Base Rate,1,1,0.004499334452904847,0.00022651365243853047,0.00012171196712987312,1,1.0,3.778100601989898e-05,0.0009757877185043435,8.452205314639774e-05,0.00015875959172235085,0.0003145943527864572,6.744884430802391e-05,1.8085923820006794e-06,3.834289457142039e-05,0.000874859480016895,5.4055222237530995e-06,2.889379018620197e-06,5.287659954220656e-05
Base Premium Coverage A Limit0,0,1,1,1.0,1.0,1.0,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base Premium Coverage A Limit500000,500000,1,1,1.0,1.0,1.0,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base Premium Coverage A Limit1000000,1000000,1,1,1.0,1.0,1.0,110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base Premium Coverage A Limit2000000,2000000,1,1,1.0,1.0,1.0,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base Premium Coverage A Limit5000000,5000000,1,1,1.0,1.0,1.0,333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base Premium Coverage A Limit10000000,10000000,1,1,1.0,1.0,1.0,450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base Premium Coverage A Limit15000000,15000000,1,1,1.0,1.0,1.0,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base Premium Coverage A Limit999999999,999999999,1,1,1.0,1.0,1.0,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateAntique FurnitureBlanket,Antique FurnitureBlanket,1,1,1.0,1.0,1.0,1,0.00625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateBaseball/ Sports Cards & Comic booksBlanket,Baseball/ Sports Cards & Comic booksBlanket,1,1,1.0,1.0,1.0,1,0.009375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateBooksBlanket,BooksBlanket,1,1,1.0,1.0,1.0,1,0.00625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateCamerasBlanket,CamerasBlanket,1,1,1.0,1.0,1.0,1,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateCoinsBlanket,CoinsBlanket,1,1,1.0,1.0,1.0,1,0.0106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Base RateFine ArtBlanket,Fine ArtBlanket,1,1,1.0,1.0,1.0,1,0.0075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
