State Code,County,State x County,Selected Attr (per 100 TIV),Selected Cat (per 100 TIV)
FL,Alachua County,FLAlachua County,0.3237,0.1017
FL,Baker County,FLBaker County,0.5307,0.2072
FL,Bay County,FLBay County,0.7518,0.3323
FL,Bradford County,FLBradford County,0.5307,0.1036
FL,Brevard County,FLBrevard County,0.3107,0.5475
FL,Broward County,FLBroward County,0.5249,0.8440
FL,Calhoun County,FLCalhoun County,0.5307,0.1554
FL,Charlotte County,FLCharlotte County,0.5307,0.5782
FL,Citrus County,FLCitrus County,0.5307,0.4497
FL,Clay County,FLClay County,0.5307,0.2072
FL,Collier County,FLCollier County,0.7435,0.7810
FL,Columbia County,FLColumbia County,0.5307,0.0900
FL,DeSoto County,FLDeSoto County,0.5307,0.5179
FL,Dixie County,FLDixie County,0.5307,0.2775
FL,Duval County,FLDuval County,0.3696,0.1680
FL,Escambia County,FLEscambia County,0.3822,0.5702
FL,Flagler County,FLFlagler County,0.5307,0.1610
FL,Franklin County,FLFranklin County,0.4184,0.3108
FL,Gadsden County,FLGadsden County,0.5307,0.1554
FL,Gilchrist County,FLGilchrist County,0.5307,0.1523
FL,Glades County,FLGlades County,0.5307,0.5179
FL,Gulf County,FLGulf County,0.6221,0.3202
FL,Hamilton County,FLHamilton County,0.5307,0.5179
FL,Hardee County,FLHardee County,0.5307,0.5179
FL,Hendry County,FLHendry County,0.5307,0.6964
FL,Hernando County,FLHernando County,0.3230,0.4628
FL,Highlands County,FLHighlands County,0.5307,0.5179
FL,Hillsborough County,FLHillsborough County,0.3197,0.3997
FL,Holmes County,FLHolmes County,0.5307,0.1554
FL,Indian River County,FLIndian River County,0.4544,0.5304
FL,Jackson County,FLJackson County,0.5307,0.1184
FL,Jefferson County,FLJefferson County,0.5307,0.0672
FL,Lafayette County,FLLafayette County,0.5307,0.1554
FL,Lake County,FLLake County,0.3663,0.2218
FL,Lee County,FLLee County,0.8790,0.9161
FL,Leon County,FLLeon County,0.3952,0.0635
FL,Levy County,FLLevy County,0.5307,0.5179
FL,Liberty County,FLLiberty County,0.5307,0.1554
FL,Madison County,FLMadison County,0.5307,0.1554
FL,Manatee County,FLManatee County,0.6932,0.7396
FL,Marion County,FLMarion County,0.3495,0.1846
FL,Martin County,FLMartin County,0.2942,0.7305
FL,Miami-Dade County,FLMiami-Dade County,0.6484,1.3078
FL,Monroe County,FLMonroe County,0.5307,1.3673
FL,Nassau County,FLNassau County,0.4288,0.2267
FL,Okaloosa County,FLOkaloosa County,0.4941,0.4235
FL,Okeechobee County,FLOkeechobee County,0.5307,0.5179
FL,Orange County,FLOrange County,0.3155,0.2236
FL,Osceola County,FLOsceola County,0.3295,0.2036
FL,Palm Beach County,FLPalm Beach County,0.6047,0.7043
FL,Pasco County,FLPasco County,0.5307,0.5179
FL,Pinellas County,FLPinellas County,0.5878,0.5814
FL,Polk County,FLPolk County,0.4082,0.2284
FL,Putnam County,FLPutnam County,0.5307,0.1332
FL,Santa Rosa County,FLSanta Rosa County,0.2772,0.4709
FL,Sarasota County,FLSarasota County,0.7172,0.6898
