Lookup code,Values,PAF
Credit ScoreN/A,-999,1
Credit Score999,999,0.85
Credit Score998,998,0.85
Credit Score997,997,0.85
Credit Score996,996,0.85
Credit Score995,995,0.85
Credit Score994,994,0.85
Credit Score993,993,0.85
Credit Score992,992,0.85
Credit Score991,991,0.85
Credit Score990,990,0.85
Credit Score989,989,0.85
Credit Score988,988,0.85
Credit Score987,987,0.85
Credit Score986,986,0.85
Credit Score985,985,0.85
Credit Score984,984,0.85
Credit Score983,983,0.85
Credit Score982,982,0.85
Credit Score981,981,0.85
Credit Score980,980,0.85
Credit Score979,979,0.85
Credit Score978,978,0.85
Credit Score977,977,0.85
Credit Score976,976,0.85
Credit Score975,975,0.85
Credit Score974,974,0.85
Credit Score973,973,0.85
Credit Score972,972,0.85
Credit Score971,971,0.85
Credit Score970,970,0.85
Credit Score969,969,0.85
Credit Score968,968,0.85
Credit Score967,967,0.85
Credit Score966,966,0.85
Credit Score965,965,0.85
Credit Score964,964,0.85
Credit Score963,963,0.85
Credit Score962,962,0.85
Credit Score961,961,0.85
Credit Score960,960,0.85
Credit Score959,959,0.85
Credit Score958,958,0.85
Credit Score957,957,0.85
Credit Score956,956,0.85
Credit Score955,955,0.85
Credit Score954,954,0.85
Credit Score953,953,0.85
Credit Score952,952,0.85
Credit Score951,951,0.85
Credit Score950,950,0.85
Credit Score949,949,0.9
Credit Score948,948,0.9
Credit Score947,947,0.9
Credit Score946,946,0.9
Credit Score945,945,0.9
Credit Score944,944,0.9
Credit Score943,943,0.9
Credit Score942,942,0.9
Credit Score941,941,0.9
Credit Score940,940,0.9
Credit Score939,939,0.9
Credit Score938,938,0.9
Credit Score937,937,0.9
Credit Score936,936,0.9
Credit Score935,935,0.9
Credit Score934,934,0.9
Credit Score933,933,0.9
Credit Score932,932,0.9
Credit Score931,931,0.9
Credit Score930,930,0.9
Credit Score929,929,0.9
Credit Score928,928,0.9
Credit Score927,927,0.9
Credit Score926,926,0.9
Credit Score925,925,0.9
Credit Score924,924,0.9
Credit Score923,923,0.9
Credit Score922,922,0.9
Credit Score921,921,0.9
Credit Score920,920,0.9
Credit Score919,919,0.9
Credit Score918,918,0.9
Credit Score917,917,0.9
Credit Score916,916,0.9
Credit Score915,915,0.9
Credit Score914,914,0.9
