Lookup code,Values,AOP,WS,EQ,Excess FL,Equipment breakdown,PAF,Wildfire
0.0,-999,1.0,1.0,1.0,1.0,-999,-999,1.0
0.0001,-999,0.9969,0.9977,0.9993,0.9969,-999,-999,0.9969
0.001,-999,0.9709,0.9765,0.9927,0.9709,-999,-999,0.9709
0.0011,-999,0.9682,0.9742,0.992,0.9682,-999,-999,0.9682
0.0012,-999,0.9656,0.9718,0.9912,0.9656,-999,-999,0.9656
0.0013,-999,0.9629,0.9695,0.9905,0.9629,-999,-999,0.9629
0.0014,-999,0.9604,0.9671,0.9898,0.9604,-999,-999,0.9604
0.0015,-999,0.9578,0.9648,0.9891,0.9578,-999,-999,0.9578
0.0016,-999,0.9553,0.9624,0.9883,0.9553,-999,-999,0.9553
0.0017,-999,0.9528,0.9601,0.9876,0.9528,-999,-999,0.9528
0.0018,-999,0.9504,0.9577,0.9869,0.9504,-999,-999,0.9504
0.0019,-999,0.948,0.9554,0.9861,0.948,-999,-999,0.948
0.002,-999,0.9456,0.953,0.9854,0.9456,-999,-999,0.9456
0.0021,-999,0.9432,0.9507,0.9847,0.9432,-999,-999,0.9432
0.0022,-999,0.9409,0.9483,0.9839,0.9409,-999,-999,0.9409
0.0023,-999,0.9386,0.946,0.9832,0.9386,-999,-999,0.9386
0.0024,-999,0.9363,0.9436,0.9825,0.9363,-999,-999,0.9363
0.0025,-999,0.9341,0.9413,0.9818,0.9341,-999,-999,0.9341
0.0026,-999,0.9318,0.9389,0.981,0.9318,-999,-999,0.9318
0.0027,-999,0.9296,0.9366,0.9803,0.9296,-999,-999,0.9296
0.0028,-999,0.9275,0.9342,0.9796,0.9275,-999,-999,0.9275
0.0029,-999,0.9253,0.9319,0.9788,0.9253,-999,-999,0.9253
0.003,-999,0.9232,0.9295,0.9781,0.9232,-999,-999,0.9232
0.0031,-999,0.9211,0.9272,0.9774,0.9211,-999,-999,0.9211
0.0032,-999,0.919,0.9248,0.9766,0.919,-999,-999,0.919
0.0033,-999,0.9169,0.9225,0.9759,0.9169,-999,-999,0.9169
0.0034,-999,0.9149,0.9201,0.9752,0.9149,-999,-999,0.9149
0.0035,-999,0.9129,0.9178,0.9745,0.9129,-999,-999,0.9129
0.0036,-999,0.9109,0.9154,0.9737,0.9109,-999,-999,0.9109
0.0037,-999,0.9089,0.9131,0.973,0.9089,-999,-999,0.9089
0.0038,-999,0.9069,0.9107,0.9723,0.9069,-999,-999,0.9069
0.0039,-999,0.905,0.9084,0.9715,0.905,-999,-999,0.905
0.004,-999,0.9031,0.906,0.9708,0.9031,-999,-999,0.9031
0.0041,-999,0.9012,0.9037,0.9701,0.9012,-999,-999,0.9012
0.0042,-999,0.8993,0.9013,0.9693,0.8993,-999,-999,0.8993
0.0043,-999,0.8974,0.899,0.9686,0.8974,-999,-999,0.8974
0.0044,-999,0.8956,0.8966,0.9679,0.8956,-999,-999,0.8956
0.0045,-999,0.8938,0.8943,0.9672,0.8938,-999,-999,0.8938
0.0046,-999,0.892,0.8919,0.9664,0.892,-999,-999,0.892
0.0047,-999,0.8902,0.8896,0.9657,0.8902,-999,-999,0.8902
0.0048,-999,0.8884,0.8872,0.965,0.8884,-999,-999,0.8884
0.0049,-999,0.8866,0.8849,0.9642,0.8866,-999,-999,0.8866
0.005,-999,0.8849,0.8825000000000001,0.9635,0.8849,-999,-999,0.8849
0.0051,-999,0.8832,0.8802,0.9628,0.8832,-999,-999,0.8832
0.0052,-999,0.8814,0.8778,0.962,0.8814,-999,-999,0.8814
0.0053,-999,0.8797,0.8755,0.9613,0.8797,-999,-999,0.8797
0.0054,-999,0.8781,0.8731,0.9606,0.8781,-999,-999,0.8781
0.0055,-999,0.8764,0.8708,0.9599,0.8764,-999,-999,0.8764
0.0056,-999,0.8747,0.8684000000000001,0.9591,0.8747,-999,-999,0.8747
0.0057,-999,0.8731,0.8661,0.9584,0.8731,-999,-999,0.8731
0.0058,-999,0.8714999999999999,0.8637,0.9577,0.8714999999999999,-999,-999,0.8714999999999999
0.0059,-999,0.8698,0.8613999999999999,0.9569,0.8698,-999,-999,0.8698
0.006,-999,0.8682,0.859,0.9562,0.8682,-999,-999,0.8682
0.0061,-999,0.8666,0.8567,0.9555,0.8666,-999,-999,0.8666
0.0062,-999,0.8651,0.8543000000000001,0.9547,0.8651,-999,-999,0.8651
0.0063,-999,0.8634999999999999,0.852,0.954,0.8634999999999999,-999,-999,0.8634999999999999
0.0064,-999,0.862,0.8496,0.9533,0.862,-999,-999,0.862
0.0065,-999,0.8604,0.8472999999999999,0.9526,0.8604,-999,-999,0.8604
0.0066,-999,0.8589,0.8449,0.9518,0.8589,-999,-999,0.8589
0.0067,-999,0.8573999999999999,0.8426,0.9511000000000001,0.8573999999999999,-999,-999,0.8573999999999999
0.0068,-999,0.8559,0.8402000000000001,0.9504,0.8559,-999,-999,0.8559
0.0069,-999,0.8544,0.8379,0.9496,0.8544,-999,-999,0.8544
0.007,-999,0.8529,0.8355,0.9489,0.8529,-999,-999,0.8529
0.0071,-999,0.8513999999999999,0.8331999999999999,0.9482,0.8513999999999999,-999,-999,0.8513999999999999
0.0072,-999,0.85,0.8308,0.9474,0.85,-999,-999,0.85
0.0073,-999,0.8485,0.8285,0.9467,0.8485,-999,-999,0.8485
0.0074,-999,0.8471,0.8261000000000001,0.946,0.8471,-999,-999,0.8471
0.0075,-999,0.8457,0.8238,0.9453,0.8457,-999,-999,0.8457
0.0076,-999,0.8442000000000001,0.8214,0.9445,0.8442000000000001,-999,-999,0.8442000000000001
0.0077,-999,0.8428,0.8190999999999999,0.9438,0.8428,-999,-999,0.8428
0.0078,-999,0.8414,0.8167,0.9431,0.8414,-999,-999,0.8414
0.0079,-999,0.8401000000000001,0.8144,0.9423,0.8401000000000001,-999,-999,0.8401000000000001
0.008,-999,0.8387,0.812,0.9416,0.8387,-999,-999,0.8387
0.0081,-999,0.8372999999999999,0.8097,0.9409,0.8372999999999999,-999,-999,0.8372999999999999
0.0082,-999,0.836,0.8073,0.9401,0.836,-999,-999,0.836
0.0083,-999,0.8346,0.8049999999999999,0.9394,0.8346,-999,-999,0.8346
0.0084,-999,0.8333,0.8026,0.9387,0.8333,-999,-999,0.8333
0.0085,-999,0.8319,0.8003,0.938,0.8319,-999,-999,0.8319
0.0086,-999,0.8306,0.7979,0.9372,0.8306,-999,-999,0.8306
0.0087,-999,0.8293,0.7956,0.9365,0.8293,-999,-999,0.8293
0.0088,-999,0.8280000000000001,0.7932,0.9358,0.8280000000000001,-999,-999,0.8280000000000001
0.0089,-999,0.8267,0.7908999999999999,0.935,0.8267,-999,-999,0.8267
0.009,-999,0.8254,0.7885,0.9343,0.8254,-999,-999,0.8254
0.0091,-999,0.8241,0.7862,0.9336,0.8241,-999,-999,0.8241
0.0092,-999,0.8229,0.7838,0.9328,0.8229,-999,-999,0.8229
0.0093,-999,0.8216,0.7815,0.9321,0.8216,-999,-999,0.8216
0.0094,-999,0.8204,0.7791,0.9314,0.8204,-999,-999,0.8204
0.0095,-999,0.8190999999999999,0.7767999999999999,0.9307,0.8190999999999999,-999,-999,0.8190999999999999
0.0096,-999,0.8179,0.7744,0.9299,0.8179,-999,-999,0.8179
0.0097,-999,0.8167,0.7721,0.9292,0.8167,-999,-999,0.8167
0.0098,-999,0.8154,0.7697,0.9285,0.8154,-999,-999,0.8154
0.0099,-999,0.8142,0.7674,0.9277,0.8142,-999,-999,0.8142
0.01,-999,0.813,0.765,0.927,0.813,-999,-999,0.813
0.011,-999,0.8014,0.749,0.9225,0.8014,-999,-999,0.8014
0.012,-999,0.7904,0.733,0.9178999999999999,0.7904,-999,-999,0.7904
0.013,-999,0.7799,0.7170000000000001,0.9134,0.7799,-999,-999,0.7799
0.014,-999,0.77,0.7010000000000001,0.9089,0.77,-999,-999,0.77
0.015,-999,0.7605999999999999,0.685,0.9044,0.7605999999999999,-999,-999,0.7605999999999999
0.016,-999,0.7517,0.669,0.8998,0.7517,-999,-999,0.7517
0.017,-999,0.7431,0.653,0.8953,0.7431,-999,-999,0.7431
0.018,-999,0.7349,0.637,0.8908,0.7349,-999,-999,0.7349
0.019,-999,0.727,0.621,0.8863,0.727,-999,-999,0.727
0.02,-999,0.7194,0.605,0.8817,0.7194,-999,-999,0.7194
0.021,-999,0.7121,0.593,0.8773,0.7121,-999,-999,0.7121
0.022,-999,0.7051000000000001,0.581,0.8729,0.7051000000000001,-999,-999,0.7051000000000001
0.023,-999,0.6982999999999999,0.569,0.8685,0.6982999999999999,-999,-999,0.6982999999999999
0.024,-999,0.6917,0.5569999999999999,0.8641,0.6917,-999,-999,0.6917
0.025,-999,0.6854,0.5449999999999999,0.8596,0.6854,-999,-999,0.6854
0.026,-999,0.6792,0.5329999999999999,0.8552,0.6792,-999,-999,0.6792
0.027,-999,0.6732,0.521,0.8508,0.6732,-999,-999,0.6732
0.028,-999,0.6675,0.509,0.8464,0.6675,-999,-999,0.6675
0.029,-999,0.6617999999999999,0.497,0.842,0.6617999999999999,-999,-999,0.6617999999999999
0.03,-999,0.6564,0.485,0.8376,0.6564,-999,-999,0.6564
0.031,-999,0.6511,0.47650000000000003,0.8338,0.6511,-999,-999,0.6511
0.032,-999,0.6458999999999999,0.46799999999999997,0.8301000000000001,0.6458999999999999,-999,-999,0.6458999999999999
0.033,-999,0.6409,0.4595,0.8264,0.6409,-999,-999,0.6409
0.034,-999,0.636,0.45099999999999996,0.8227,0.636,-999,-999,0.636
0.035,-999,0.6312,0.4425,0.819,0.6312,-999,-999,0.6312
0.036,-999,0.6265000000000001,0.43400000000000005,0.8153,0.6265000000000001,-999,-999,0.6265000000000001
0.037,-999,0.6219,0.4255,0.8116,0.6219,-999,-999,0.6219
0.038,-999,0.6174999999999999,0.41700000000000004,0.8079000000000001,0.6174999999999999,-999,-999,0.6174999999999999
0.039,-999,0.6131,0.4085,0.8042,0.6131,-999,-999,0.6131
0.04,-999,0.6088,0.4,0.8004,0.6088,-999,-999,0.6088
0.041,-999,0.6047,0.394,0.7968,0.6047,-999,-999,0.6047
0.042,-999,0.6006,0.388,0.7932,0.6006,-999,-999,0.6006
0.043,-999,0.5966,0.382,0.7896,0.5966,-999,-999,0.5966
0.044,-999,0.5926,0.376,0.786,0.5926,-999,-999,0.5926
0.045,-999,0.5888,0.37,0.7823,0.5888,-999,-999,0.5888
0.046,-999,0.585,0.364,0.7787,0.585,-999,-999,0.585
0.047,-999,0.5812999999999999,0.358,0.7751,0.5812999999999999,-999,-999,0.5812999999999999
0.048,-999,0.5777,0.352,0.7715,0.5777,-999,-999,0.5777
0.049,-999,0.5741,0.346,0.7679,0.5741,-999,-999,0.5741
0.05,-999,0.5706,0.33999999999999997,0.7642,0.5706,-999,-999,0.5706
0.051,-999,0.5671999999999999,0.33530000000000004,0.7613,0.5671999999999999,-999,-999,0.5671999999999999
0.052,-999,0.5638000000000001,0.3305,0.7583,0.5638000000000001,-999,-999,0.5638000000000001
0.053,-999,0.5605,0.3258,0.7554,0.5605,-999,-999,0.5605
0.054,-999,0.5571999999999999,0.32099999999999995,0.7524,0.5571999999999999,-999,-999,0.5571999999999999
0.055,-999,0.554,0.3163,0.7495,0.554,-999,-999,0.554
0.056,-999,0.5508,0.3115,0.7464999999999999,0.5508,-999,-999,0.5508
0.057,-999,0.5477000000000001,0.30679999999999996,0.7435,0.5477000000000001,-999,-999,0.5477000000000001
0.058,-999,0.5446,0.30200000000000005,0.7405999999999999,0.5446,-999,-999,0.5446
0.059,-999,0.5416000000000001,0.2973,0.7376,0.5416000000000001,-999,-999,0.5416000000000001
0.06,-999,0.5387,0.2925,0.7347,0.5387,-999,-999,0.5387
0.061,-999,0.5357000000000001,0.2885,0.7323999999999999,0.5357000000000001,-999,-999,0.5357000000000001
0.062,-999,0.5327999999999999,0.2845,0.7301,0.5327999999999999,-999,-999,0.5327999999999999
0.063,-999,0.53,0.28049999999999997,0.7278,0.53,-999,-999,0.53
0.064,-999,0.5272,0.27649999999999997,0.7254,0.5272,-999,-999,0.5272
0.065,-999,0.5244,0.27249999999999996,0.7231000000000001,0.5244,-999,-999,0.5244
0.066,-999,0.5217,0.26849999999999996,0.7208,0.5217,-999,-999,0.5217
0.067,-999,0.519,0.26449999999999996,0.7185,0.519,-999,-999,0.519
0.068,-999,0.5164,0.26049999999999995,0.7162,0.5164,-999,-999,0.5164
0.069,-999,0.5138,0.25649999999999995,0.7139,0.5138,-999,-999,0.5138
0.07,-999,0.5112,0.25249999999999995,0.7116,0.5112,-999,-999,0.5112
0.071,-999,0.5085999999999999,0.24929999999999997,0.7099,0.5085999999999999,-999,-999,0.5085999999999999
0.072,-999,0.5061,0.246,0.7081,0.5061,-999,-999,0.5061
0.073,-999,0.5036,0.24280000000000002,0.7063999999999999,0.5036,-999,-999,0.5036
0.074,-999,0.5012,0.23950000000000005,0.7047,0.5012,-999,-999,0.5012
0.075,-999,0.4988,0.23629999999999995,0.7030000000000001,0.4988,-999,-999,0.4988
