Lookup code,Values,AOP,WS,EQ,Excess FL,Wildfire
Distance to CoastRISK<=1000FT,RISK<=1000FT,1.00,1.00,1.00,1.00,1.00
Distance to Coast1000FT<RISK<=0.5MI,1000FT<RISK<=0.5MI,1.00,1.00,1.00,1.00,1.00
Distance to Coast0.5MI<RISK<=1MI,0.5MI<RISK<=1MI,1.00,1.00,1.00,1.00,1.00
Distance to Coast1MI<RISK<=2MI,1MI<RISK<=2MI,1.00,1.00,1.00,1.00,1.00
Distance to Coast2MI<RISK<=5MI,2MI<RISK<=5MI,1.00,1.00,1.00,1.00,1.00
Distance to Coast5MI<RISK<=10MI,5MI<RISK<=10MI,1.00,1.00,1.00,1.00,1.00
Distance to Coast10MI<RISK<=20MI,10MI<RISK<=20MI,1.00,1.00,1.00,1.00,1.00
Distance to Coast20MI<RISK<=50MI,20MI<RISK<=50MI,1.00,1.00,1.00,1.00,1.00
Distance to Coast50MI<RISK<=100MI,50MI<RISK<=100MI,1.00,1.00,1.00,1.00,1.00
Distance to Coast100MI<RISK<=250MI,100MI<RISK<=250MI,1.00,1.00,1.00,1.00,1.00
Distance to Coast250MI<RISK,250MI<RISK,1.00,1.00,1.00,1.00,1.00
