State Code,Selected Attr (per 100 TIV),Selected Cat (per 100 TIV)
FL,0.5307340,0.6941615
TX,0.2245542,0.1297095
NY,0.2033433,0.1584656
MA,0.1822875,0.1413059
NJ,0.1932803,0.1152931
NC,0.1705166,0.2954184
SC,0.2243924,0.4983756
GA,0.1579276,0.1689394
CO,0.2362757,0.0575404
CT,0.1213824,0.1011099
LA,0.3389530,0.4493878
VA,0.1796258,0.1104320
HI,0.1808895,0.1775965
AL,0.1559716,0.2911017
RI,0.1758699,0.1662568
TN,0.1831719,0.0446018
DE,0.2641569,0.1263022
MS,0.1921361,0.2497792
IL,0.1469855,0.0357905
UT,0.2378574,0.0580900
AR,0.2500798,0.0608937
AZ,0.1652404,0.0403046
OK,0.2256888,0.0549546
PA,0.1536836,0.0423133
MD,0.1776652,0.0670687
MT,0.3193770,0.0795315
NV,0.1554965,0.0378629
WA,0.1909211,0.0464887
MO,0.1848247,0.0450043
ID,0.2026196,0.0493373
MN,0.1430185,0.0348246
WY,0.2138847,0.0557426
OH,0.1719193,0.0418618
DC,0.3001198,0.0834498
MI,0.1832972,0.0446323
KY,0.1935179,0.0471210
VT,0.2654294,0.0679211
ME,0.3043834,0.1129958
KS,0.1990869,0.0484771
NH,0.1912169,0.0601804
IN,0.1380679,0.0336191
NM,0.2503162,0.0609512
OR,0.2471268,0.0601746
IA,0.2282032,0.0555668
NE,0.1817081,0.0442454
WI,0.1922651,0.0468160
WV,0.0992407,0.0246240
ND,0.2179949,0.0530811
SD,0.2670891,0.0650354
AK,0.9491277,0.2372819
CA,0.9491277,0.2372819
