Lookup,State Code,County,RI Name,AOP,Excess FL,Equipment breakdown,PAF,Liability,WS,EQ,Wildfire
FLAlachua County,FL,Alachua County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.55540872,1.55540872,1.107732433
FLBaker County,FL,Baker County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLBay County,FL,Bay County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.55816625,1.55816625,1.107732433
FLBradford County,FL,Bradford County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.603600961,1.603600961,1.107732433
FLBrevard County,FL,Brevard County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.619672687,1.619672687,1.107732433
FLBroward County,FL,Broward County,Florida SE - South Tip,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.986221259,1.986221259,1.107732433
FLCalhoun County,FL,Calhoun County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLCharlotte County,FL,Charlotte County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.551803328,1.551803328,1.107732433
FLCitrus County,FL,Citrus County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.549162266,1.549162266,1.107732433
FLClay County,FL,Clay County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.603600961,1.603600961,1.107732433
FLCollier County,FL,Collier County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.564188311,1.564188311,1.107732433
FLColumbia County,FL,Columbia County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.554807314,1.554807314,1.107732433
FLDeSoto County,FL,DeSoto County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLDixie County,FL,Dixie County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.553944654,1.553944654,1.107732433
FLDuval County,FL,Duval County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.604275406,1.604275406,1.107732433
FLEscambia County,FL,Escambia County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.54418993,1.54418993,1.107732433
FLFlagler County,FL,Flagler County,Florida SE - Jacksonville,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.600511378,1.600511378,1.107732433
FLFranklin County,FL,Franklin County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.54240925,1.54240925,1.107732433
FLGadsden County,FL,Gadsden County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLGilchrist County,FL,Gilchrist County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.560418183,1.560418183,1.107732433
FLGlades County,FL,Glades County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLGulf County,FL,Gulf County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558073631,1.558073631,1.107732433
FLHamilton County,FL,Hamilton County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLHardee County,FL,Hardee County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLHendry County,FL,Hendry County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLHernando County,FL,Hernando County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558909668,1.558909668,1.107732433
FLHighlands County,FL,Highlands County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.617375861,1.617375861,1.107732433
FLHillsborough County,FL,Hillsborough County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.573552807,1.573552807,1.107732433
FLHolmes County,FL,Holmes County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLIndian River County,FL,Indian River County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.637455984,1.637455984,1.107732433
FLJackson County,FL,Jackson County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.552779222,1.552779222,1.107732433
FLJefferson County,FL,Jefferson County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.553808928,1.553808928,1.107732433
FLLafayette County,FL,Lafayette County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.558816082,1.558816082,1.107732433
FLLake County,FL,Lake County,Florida SE - All Other,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.616282636,1.616282636,1.107732433
FLLee County,FL,Lee County,Florida non SE WS,1.107732433,1.107732433,1.107732433,1.107732433,1.107732433,1.532669634,1.532669634,1.107732433
