State,County,WS Rates
FL,Alachua County,0.0014897469666067238
FL,Baker County,0.0010875664674888628
FL,Bay County,0.0025403495320089845
FL,Bradford County,0.0022702669560959233
FL,Brevard County,0.005447135796729176
FL,Broward County,0.012175246105828983
FL,Calhoun County,0.0014006387529270374
FL,Charlotte County,0.00646013138302562
FL,Citrus County,0.003638185505538496
FL,Clay County,0.002218426181093483
FL,Collier County,0.010224294014832911
FL,Columbia County,0.0014906201494504895
FL,DeSoto County,0.0034503051209550982
FL,Dixie County,0.004364239932715364
FL,Duval County,0.0034098759452584507
FL,Escambia County,0.004111530535786765
FL,Flagler County,0.0046434162879227785
FL,Franklin County,0.0026491968995897975
FL,Gadsden County,0.0011496041391450967
FL,Gilchrist County,0.0019105375553377473
FL,Glades County,0.0
FL,Gulf County,0.0023132057255634323
FL,Hamilton County,0.0011373290502399637
FL,Hardee County,0.0030690093623413684
FL,Hendry County,0.005892945799532558
FL,Hernando County,0.003533777942225318
FL,Highlands County,0.004532068918968708
FL,Hillsborough County,0.0040172543649223316
FL,Holmes County,0.0013942530766760262
FL,Indian River County,0.006308152852696349
FL,Jackson County,0.0012357064882639612
FL,Jefferson County,0.0010220565386378291
FL,Lafayette County,0.002347293472982551
FL,Lake County,0.003072425833961322
FL,Lee County,0.007771414675025779
FL,Leon County,0.001077951183465161
FL,Levy County,0.00492038605680433
FL,Liberty County,0.0018889375944353029
FL,Madison County,0.0009195211185573477
FL,Manatee County,0.005673813049500918
FL,Marion County,0.0041235644744633424
FL,Martin County,0.008362798235318701
FL,Miami-Dade County,0.014002865801443522
FL,Monroe County,0.023914043634511318
FL,Nassau County,0.004481767558040078
FL,Okaloosa County,0.002620030006003509
FL,Okeechobee County,0.0079255592904161
FL,Orange County,0.002900876548306982
FL,Osceola County,0.0031606511890027956
FL,Palm Beach County,0.011266335769441124
FL,Pasco County,0.003329711209087408
FL,Pinellas County,0.004726895573931002
FL,Polk County,0.002913695487026983
FL,Putnam County,0.003081374327010863
FL,Santa Rosa County,0.0032829222308517017
FL,Sarasota County,0.00505464866864283
FL,Seminole County,0.0027767525652803403
FL,St. Johns County,0.0066260333174989324
FL,St. Lucie County,0.006344176700912064
FL,Sumter County,0.0022436924091655728
FL,Suwannee County,0.0013668715625705318
FL,Taylor County,0.001051303013349403
FL,Union County,0.0024493079697106407
FL,Volusia County,0.0037123050706491965
FL,Wakulla County,0.002502525041565475
FL,Walton County,0.0017022662744703837
FL,Washington County,0.002256921909516568
TX,Anderson County,0.0003193870103683623
TX,Andrews County,8.598206446484556e-06
TX,Angelina County,0.0008060318492751073
TX,Aransas County,0.008965050765847438
TX,Archer County,3.6752743378039365e-05
TX,Armstrong County,2.9500106416488616e-06
TX,Atascosa County,0.0007724668769537827
TX,Austin County,0.002600023099184114
TX,Bailey County,9.063074368779717e-07
TX,Bandera County,0.0002914025831350445
TX,Bastrop County,0.0010366677473237647
TX,Baylor County,2.2780602533407305e-05
TX,Bee County,0.002991656217356831
TX,Bell County,0.0004345607240738696
TX,Bexar County,0.0005464784073773567
TX,Blanco County,0.00041127985109052945
TX,Borden County,1.603561173234893e-05
TX,Bosque County,0.00021355100490164355
TX,Bowie County,0.0001082206821349983
TX,Brazoria County,0.005827060123395089
TX,Brazos County,0.0009336731704679175
TX,Brewster County,6.392713492704928e-06
TX,Briscoe County,5.7847665048266e-06
TX,Brooks County,0.0025591516158184496
TX,Brown County,0.00010694240027138153
TX,Burleson County,0.0011591468800893079
TX,Burnet County,0.0003445319967232434
TX,Caldwell County,0.0009157884041262635
TX,Calhoun County,0.006977753053113039
TX,Callahan County,7.314048839845672e-05
TX,Cameron County,0.005294275870581832
TX,Camp County,0.00015904503417070356
TX,Carson County,2.0190775808192285e-06
TX,Cass County,0.00012119627351293634
TX,Castro County,1.1629374730370363e-06
TX,Chambers County,0.0068718425979382184
TX,Cherokee County,0.00034252527412580077
TX,Childress County,9.052460252662492e-06
TX,Clay County,4.7208676858635796e-05
TX,Cochran County,1.6871702716719108e-06
TX,Coke County,3.385497585271415e-05
TX,Coleman County,7.755470245785746e-05
TX,Collin County,7.799625955475351e-05
TX,Collingsworth County,6.54022501902086e-06
TX,Colorado County,0.0024867567896625876
TX,Comal County,0.0006829811831665719
TX,Comanche County,0.0001309430631697959
TX,Concho County,6.694712357649498e-05
TX,Cooke County,7.631854006489059e-05
TX,Coryell County,0.0002595682705680668
TX,Cottle County,1.2502431339920423e-05
TX,Crane County,1.160530225352004e-05
TX,Crockett County,3.2043412091136136e-05
TX,Crosby County,6.935913821551256e-06
TX,Culberson County,1.078282998107202e-06
TX,Dallam County,2.435285067811288e-07
TX,Dallas County,8.364409454190961e-05
TX,Dawson County,7.300611726536485e-06
TX,Deaf Smith County,6.912613593916409e-07
TX,Delta County,9.710926063265483e-05
TX,Denton County,7.657022072242246e-05
TX,DeWitt County,0.0025571885961599293
TX,Dickens County,1.1561358871079492e-05
TX,Dimmit County,0.0003759201738891145
TX,Donley County,4.646371658206e-06
TX,Duval County,0.002129466439265868
TX,Eastland County,9.45607915049694e-05
TX,Ector County,1.0175350005002726e-05
TX,Edwards County,0.00014231222411898361
TX,Ellis County,0.00016541450912557553
TX,El Paso County,4.7364706542320236e-08
TX,Erath County,0.0001043348584481784
TX,Falls County,0.00048590631088202556
TX,Fannin County,9.758685919467574e-05
TX,Fayette County,0.0015470069702479049
TX,Fisher County,2.530300174902103e-05
TX,Floyd County,6.446865556955921e-06
TX,Foard County,2.1372960180517487e-05
TX,Fort Bend County,0.004080115003000878
TX,Franklin County,0.00011994426936924309
TX,Freestone County,0.0004092818152268542
TX,Frio County,0.0005652044544156004
TX,Gaines County,4.292674486715413e-06
TX,Galveston County,0.009212178520902703
TX,Garza County,1.1350574369994444e-05
TX,Gillespie County,0.00027140469030487597
TX,Glasscock County,1.7265474938842765e-05
TX,Goliad County,0.0038019105457056095
TX,Gonzales County,0.0015917947483770662
TX,Gray County,3.624127427929607e-06
TX,Grayson County,7.477816874033249e-05
TX,Gregg County,0.00019207198786553583
TX,Grimes County,0.0017469599040875155
TX,Guadalupe County,0.0008497368845807202
TX,Hale County,3.835581525818276e-06
TX,Hall County,7.2248316065707735e-06
TX,Hamilton County,0.00014094442969132893
TX,Hansford County,1.1780534476631592e-06
TX,Hardeman County,2.182184933355809e-05
TX,Hardin County,0.003472003490292447
TX,Harris County,0.0039937046949921695
TX,Harrison County,0.00018910917730243241
TX,Hartley County,2.407374424967579e-07
TX,Haskell County,2.7772138131020634e-05
TX,Hays County,0.000622327901236396
TX,Hemphill County,3.465782367335953e-06
TX,Henderson County,0.0002488847309257901
TX,Hidalgo County,0.0021908457287990535
TX,Hill County,0.0002564080098994357
TX,Hockley County,2.6693580333503806e-06
TX,Hood County,0.00011616449873478961
TX,Hopkins County,0.00011033541367813295
TX,Houston County,0.0007191005844351915
TX,Howard County,1.577246137338681e-05
TX,Hudspeth County,3.457320451076586e-07
TX,Hunt County,0.00010983676659915037
TX,Hutchinson County,1.1219245098767287e-06
TX,Irion County,3.5690036189719263e-05
TX,Jack County,5.800094601951621e-05
TX,Jackson County,0.00596420720257953
TX,Jasper County,0.0030782480967339646
TX,Jeff Davis County,2.0181951355678134e-06
TX,Jefferson County,0.005946509327074491
TX,Jim Hogg County,0.0014377073096163027
TX,Jim Wells County,0.0028537183159887923
TX,Johnson County,0.00012284775456537702
TX,Jones County,3.104576797227658e-05
TX,Karnes County,0.001972377297291653
TX,Kaufman County,0.00018611583049723038
TX,Kendall County,0.00040781875414752097
TX,Kenedy County,0.0040011694102416815
TX,Kent County,1.7440616203850074e-05
TX,Kerr County,0.0002245371453475166
TX,Kimble County,0.00010776672231684677
TX,King County,1.4421456538145492e-05
TX,Kinney County,0.00014231222411898361
TX,Kleberg County,0.007301985349768085
TX,Knox County,2.533098571667867e-05
TX,Lamar County,8.495549441131582e-05
TX,Lamb County,1.3727975629680077e-06
TX,Lampasas County,0.0002743019168139161
TX,La Salle County,0.0007064325990112058
TX,Lavaca County,0.002004608091401387
TX,Lee County,0.0010650175576464728
TX,Leon County,0.0006333198817908216
TX,Liberty County,0.005145490212598086
TX,Limestone County,0.0004105422489230749
TX,Lipscomb County,3.5019453320991816e-06
TX,Live Oak County,0.002286528517816629
TX,Llano County,0.00028824738331746907
TX,Loving County,3.707661081262113e-06
TX,Lubbock County,3.691797484248218e-06
TX,Lynn County,4.230461674527872e-06
TX,McCulloch County,0.00012048296052142916
TX,McLennan County,0.00031754508969369607
TX,McMullen County,0.0013339112989017561
TX,Madison County,0.0013216630135827634
TX,Marion County,0.0001348686796261156
TX,Martin County,1.041623480683362e-05
TX,Mason County,0.00017397117947739053
TX,Matagorda County,0.006543764520367617
TX,Maverick County,0.00015753012110022763
TX,Medina County,0.0004565415954175083
TX,Menard County,9.073429069725502e-05
TX,Midland County,1.1212237712812244e-05
TX,Milam County,0.0006413713587059001
TX,Mills County,0.00015316614666664927
TX,Mitchell County,2.33462716675788e-05
TX,Montague County,6.586942803426145e-05
TX,Montgomery County,0.0024391952932245288
TX,Moore County,7.022298631206677e-07
TX,Morris County,0.00012707602456145113
TX,Motley County,9.670666248222115e-06
TX,Nacogdoches County,0.0005863679159186728
TX,Navarro County,0.0002819823217929115
TX,Newton County,0.0032789902756471256
TX,Nolan County,3.1026817260996945e-05
TX,Nueces County,0.006490602484110234
TX,Ochiltree County,1.8366705125382914e-06
TX,Oldham County,4.0858355844130365e-07
TX,Orange County,0.005979323883237461
TX,Palo Pinto County,7.993385299777526e-05
TX,Panola County,0.00028994709670087477
TX,Parker County,9.000352554798065e-05
TX,Parmer County,5.673655264961647e-07
TX,Pecos County,1.413001957839919e-05
TX,Polk County,0.0016034099077313843
TX,Potter County,8.58895568782021e-07
TX,Presidio County,2.0678836326602987e-06
TX,Rains County,0.00013189095412274483
TX,Randall County,7.805359074767307e-07
TX,Reagan County,2.4245402151214977e-05
TX,Real County,0.0001764946271294526
TX,Red River County,0.00010086574472413206
TX,Reeves County,3.682671321372906e-06
TX,Refugio County,0.006391567834540543
TX,Roberts County,4.009487173868999e-06
TX,Robertson County,0.0006924133698730842
TX,Rockwall County,0.00013801841016178527
TX,Runnels County,4.9410266098034425e-05
TX,Rusk County,0.0002682902662883457
TX,Sabine County,0.0008749237102142415
TX,San Augustine County,0.0009473826950235385
TX,San Jacinto County,0.0026134121606515215
TX,San Patricio County,0.007329047965395485
TX,San Saba County,0.0001591714414599956
TX,Schleicher County,4.5750373494941356e-05
TX,Scurry County,1.8601124436330418e-05
TX,Shackelford County,6.371252327984886e-05
TX,Shelby County,0.00038971002275289623
TX,Sherman County,5.921067683900432e-07
TX,Smith County,0.00020012877644792187
TX,Somervell County,0.00013660810231670232
TX,Starr County,0.0016391157169318529
TX,Stephens County,6.991131018092033e-05
TX,Sterling County,2.4331551565940217e-05
TX,Stonewall County,2.3680270453438897e-05
TX,Sutton County,4.75481452877545e-05
TX,Swisher County,2.1649665025621066e-06
TX,Tarrant County,8.078652139750598e-05
TX,Taylor County,3.457739381157535e-05
TX,Terrell County,1.7828998022223627e-05
TX,Terry County,3.1322417741690173e-06
TX,Throckmorton County,5.8103594078023336e-05
TX,Titus County,0.00013039948596511622
TX,Tom Green County,4.2133978248967086e-05
TX,Travis County,0.0005450784478614209
TX,Trinity County,0.0010804056870296422
TX,Tyler County,0.001979034466070793
TX,Upshur County,0.00016590300040711723
TX,Upton County,1.7829974042719123e-05
TX,Uvalde County,0.00026975898662101876
TX,Val Verde County,8.59676794354985e-05
TX,Van Zandt County,0.00017188288558283186
TX,Victoria County,0.004958407609809551
TX,Walker County,0.001509334678713477
TX,Waller County,0.0036430465776112137
TX,Ward County,8.090799778766421e-06
TX,Washington County,0.0016908440196789442
TX,Webb County,0.0008429829092253092
TX,Wharton County,0.005163198248387102
TX,Wheeler County,5.156487659989501e-06
TX,Wichita County,2.880876899845451e-05
TX,Wilbarger County,2.846733364052129e-05
TX,Willacy County,0.0037917700779056124
TX,Williamson County,0.0005382728441918732
TX,Wilson County,0.0013118873790998356
TX,Winkler County,7.824372401911383e-06
TX,Wise County,7.881218329683846e-05
TX,Wood County,0.0001562540731778535
TX,Yoakum County,2.189095114912239e-06
TX,Young County,4.925552648238181e-05
TX,Zapata County,0.0008535559569681883
TX,Zavala County,0.00028182396415177925
VA,Accomack County,0.0
VA,Albemarle County,0.00010698935657574936
VA,Alleghany County,4.648445137196504e-05
VA,Amelia County,0.0002266612542376075
VA,Amherst County,0.00010586377251579522
VA,Appomattox County,0.00014865590577548509
VA,Arlington County,0.0001352915638906653
VA,Augusta County,9.653481919906634e-05
VA,Bath County,3.777748229768085e-05
VA,Bedford County,0.00011752817535263629
VA,Bland County,4.5548185848273164e-05
VA,Botetourt County,8.574015668192473e-05
VA,Brunswick County,0.00042545708849523226
VA,Buchanan County,2.5416021051476397e-05
VA,Buckingham County,0.000141679857318602
VA,Campbell County,0.0001460525476662152
VA,Caroline County,0.00020690506277887738
VA,Carroll County,0.00010692999572638277
VA,Charles City County,0.0003765184017385791
VA,Charlotte County,0.00024531848593939594
VA,Chesterfield County,0.00027405018128874017
VA,Clarke County,9.164429690017365e-05
VA,Craig County,5.325112652847855e-05
VA,Culpeper County,0.0001290252421390488
VA,Cumberland County,0.00016071894808441053
VA,Dickenson County,2.602239446481539e-05
VA,Dinwiddie County,0.0003105350525560048
VA,Essex County,0.00045656380415190717
VA,Fairfax County,0.00011899825316000243
VA,Fauquier County,0.0001270212207241263
VA,Floyd County,8.569491979018383e-05
VA,Fluvanna County,0.0001322682615111661
VA,Franklin County,0.00011031890965613958
VA,Frederick County,6.724700126525225e-05
VA,Giles County,5.336188577302247e-05
VA,Gloucester County,0.0
VA,Goochland County,0.0001928837193286735
VA,Grayson County,7.566071255567347e-05
VA,Greene County,0.0001047639969448573
VA,Greensville County,0.0006294659015437693
VA,Halifax County,0.00025551990109761363
VA,Hanover County,0.00024242071249597783
VA,Henrico County,0.00026508571904517667
VA,Henry County,0.00016475572970462533
VA,Highland County,3.8792248455621396e-05
VA,Isle of Wight County,0.0
VA,James City County,0.0
VA,King and Queen County,0.00048591882441236954
VA,King George County,0.0002654298722394576
VA,King William County,0.00029307822699849563
VA,Lancaster County,0.0
VA,Lee County,4.076891377926845e-05
VA,Loudoun County,0.00011125143804745005
VA,Louisa County,0.00016429534138553978
VA,Lunenburg County,0.00031165989607913547
VA,Madison County,0.00011386162440310152
VA,Mathews County,0.0
VA,Mecklenburg County,0.0004106383598773836
VA,Middlesex County,0.0
VA,Montgomery County,6.848878784283887e-05
VA,Nelson County,9.640423859380055e-05
VA,New Kent County,0.0004591469029065134
VA,Northampton County,0.0
VA,Northumberland County,0.0
VA,Nottoway County,0.00026729864667181697
VA,Orange County,0.00014130776884961854
VA,Page County,7.740687235759475e-05
VA,Patrick County,0.00013827908650074325
VA,Pittsylvania County,0.0002036972117061929
VA,Powhatan County,0.000192528572222388
VA,Prince Edward County,0.00019482138120556925
VA,Prince George County,0.000389172938192592
VA,Prince William County,0.00013343439681857958
VA,Pulaski County,7.025578395648995e-05
VA,Rappahannock County,8.715158317743932e-05
VA,Richmond County,0.0006411472869595743
VA,Roanoke County,7.824390008404644e-05
VA,Rockbridge County,8.435895527399514e-05
VA,Rockingham County,9.117700059432728e-05
VA,Russell County,3.336750917510408e-05
VA,Scott County,2.9923689446384265e-05
VA,Shenandoah County,6.633565875343259e-05
VA,Smyth County,5.697275158963676e-05
VA,Southampton County,0.0007788353582897495
VA,Spotsylvania County,0.00014936305229225946
VA,Stafford County,0.00014292906592914637
VA,Surry County,0.0
VA,Sussex County,0.0005331812946140937
VA,Tazewell County,3.453153891897981e-05
VA,Warren County,7.623593489707842e-05
VA,Washington County,4.582192340017527e-05
VA,Westmoreland County,0.0
VA,Wise County,2.878429647932659e-05
VA,Wythe County,7.70524368498996e-05
VA,York County,0.0
VA,Alexandria City,0.00015005355502596424
VA,Bedford City,0.0
VA,Bristol City,4.3108766621160285e-05
VA,Buena Vista City,7.643393162903351e-05
VA,Charlottesville City,0.00011175449109399112
VA,Chesapeake City,0.0
VA,Colonial Heights City,0.00035938834336796685
VA,Covington City,6.343664846065569e-05
VA,Danville City,0.0002346258665911005
VA,Emporia City,0.0
VA,Fairfax City,0.0
VA,Falls Church City,0.00011056629035672769
VA,Franklin City,0.0
VA,Fredericksburg City,0.00015082870715444534
VA,Galax City,0.00013012471731027342
VA,Hampton City,0.0
VA,Harrisonburg City,0.00010971280526863705
VA,Hopewell City,0.0003617177985301133
VA,Lexington City,7.835218805369741e-05
VA,Lynchburg City,0.00012248370400743077
VA,Manassas City,0.0
VA,Manassas Park City,0.00010691333029252481
VA,Martinsville City,0.00014389617869668765
VA,Newport News City,0.0
VA,Norfolk City,0.0
VA,Norton City,2.8041467558303738e-05
VA,Petersburg City,0.00036425137734256725
VA,Poquoson City,0.0
