Risk Zip,Risk City,Risk State,Risk State Full Name,County
99546,ADAK,AK,ALASKA,Aleutians West Census Area
99660,SAINT PAUL ISLAND,AK,ALASKA,Aleutians West Census Area
99540,ANCHORAGE,AK,ALASKA,"Anchorage, Municipality of"
99505,FORT RICHARDSON,AK,ALASKA,"Anchorage, Municipality of"
99587,GIRDWOOD,AK,ALASKA,"Anchorage, Municipality of"
99559,BETHEL,AK,ALASKA,Bethel Census Area
99680,BETHEL,AK,ALASKA,Bethel Census Area
99575,CROOKED CREEK,AK,ALASKA,Bethel Census Area
99609,KASIGLUK,AK,ALASKA,Bethel Census Area
99614,KIPNUK,AK,ALASKA,Bethel Census Area
99641,NUNAPITCHUK,AK,ALASKA,Bethel Census Area
99701,COLDFOOT,AK,ALASKA,Fairbanks North Star Borough
99707,FAIRBANKS,AK,ALASKA,Fairbanks North Star Borough
99714,FAIRBANKS,AK,ALASKA,Fairbanks North Star Borough
99603,HALIBUT COVE,AK,ALASKA,Kenai Peninsula Borough
99603,HOMER,AK,ALASKA,Kenai Peninsula Borough
99610,KASILOF,AK,ALASKA,Kenai Peninsula Borough
99611,KENAI,AK,ALASKA,Kenai Peninsula Borough
99603,NANWALEK,AK,ALASKA,Kenai Peninsula Borough
99556,NIKOLAEVSK,AK,ALASKA,Kenai Peninsula Borough
99615,AKHIOK,AK,ALASKA,Kodiak Island Borough
99644,OUZINKIE,AK,ALASKA,Kodiak Island Borough
99649,PILOT POINT,AK,ALASKA,Lake and Peninsula Borough
99687,WASILLA,AK,ALASKA,Matanuska-Susitna Borough
99762,DIOMEDE,AK,ALASKA,Nome Census Area
99739,ELIM,AK,ALASKA,Nome Census Area
99753,KOYUK,AK,ALASKA,Nome Census Area
99784,WHITE MOUNTAIN,AK,ALASKA,Nome Census Area
99766,POINT HOPE,AK,ALASKA,North Slope Borough
99749,KIANA,AK,ALASKA,Northwest Arctic Borough
99751,KOBUK,AK,ALASKA,Northwest Arctic Borough
99732,CHICKEN,AK,ALASKA,Southeast Fairbanks Census Area
99737,DELTA JCT,AK,ALASKA,Southeast Fairbanks Census Area
99738,EAGLE,AK,ALASKA,Southeast Fairbanks Census Area
99573,COPPER CENTER,AK,ALASKA,Valdez-Cordova Census Area
99686,VALDEZ,AK,ALASKA,Valdez-Cordova Census Area
