"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2018-01-01","['rarc_task']","n/a"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2018-12-31","['rarc_task']","n/a"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a","n/a","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a","n/a","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a","n/a","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a","n/a","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a","n/a","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","optional","Industry Code Type","None","n/a","n/a"
"cds/key_industry/code","code","str","input","optional","Industry Code","None","n/a","n/a"
"cds/key_industry/code_name","code_name","str","input","optional","Industry Code Name","None","n/a","n/a"
"cds/key_industry/sic_dropdown/SICClass","SICClass","str","output","n/a","SIC Description","n/a","n/a","n/a"
"cds/key_industry/sic_dropdown","sic_dropdown","list","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/key_industry/ticker","ticker","str","input","optional","Ticker","None","['populate_capiq_data_task', 'rarc_task', 'capiq_fetch_task']","['populate_capiq_data_task']"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/insider_shareholder_comment","insider_shareholder_comment","str","input","optional","Insider Shareholder Comment","None","['rarc_task']","n/a"
"cds/exposure/aggregate/ipo_comment","ipo_comment","str","input","optional","IPO Comment","None","['rarc_task']","n/a"
"cds/exposure/aggregate/market_cap_2_year_high","market_cap_2_year_high","float","input","optional","Market Cap (2 Year High)","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/current_market_cap","current_market_cap","float","input","optional","Current Market Cap","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/fifty_two_week_high","fifty_two_week_high","float","input","optional","52 Week High","None","['rarc_task']","n/a"
"cds/exposure/aggregate/fifty_two_week_low","fifty_two_week_low","float","input","optional","52 Week Low","None","['rarc_task']","n/a"
"cds/exposure/aggregate/main_exchange","main_exchange","str","input","optional","Main Exchange","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/minimum_trading_volume","minimum_trading_volume","float","output","n/a","Minimum Trading Volume","n/a","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/volatility_trading_volume","volatility_trading_volume","float","output","n/a","Volatility Trading Volume Downturn","n/a","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/execs_under_fifty","execs_under_fifty","float","output","n/a","Percentage of Executives Under 50","n/a","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/total_assets","total_assets","float","input","optional","Total Assets","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/ebit","ebit","float","input","optional","Earnings Before Interest & Taxes (EBIT)","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/ebitda","ebitda","float","input","optional","Earnings Before Interest & Taxes (EBITDA)","None","['rarc_task']","n/a"
"cds/exposure/aggregate/net_sales","net_sales","float","input","optional","Net Sales","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/net_profit","net_profit","float","input","optional","Net Profit","None","['rarc_task']","n/a"
"cds/exposure/aggregate/total_liabilities","total_liabilities","float","input","optional","Total Liabilities","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/net_debt","net_debt","float","input","optional","Net Debt","None","['rarc_task']","n/a"
"cds/exposure/aggregate/operating_cashflow","operating_cashflow","float","input","optional","Operating Cashflow","None","['rarc_task']","n/a"
"cds/exposure/aggregate/current_assets","current_assets","float","input","optional","Current Assets","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/current_liabilities","current_liabilities","float","input","optional","Current Liabilities","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/equity","equity","float","input","optional","Equity","None","['rarc_task']","n/a"
"cds/exposure/aggregate/retained_earnings","retained_earnings","float","input","optional","Retained Earnings","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/period_ended","period_ended","date","input","optional","Period Ended","None","['rarc_task']","['populate_capiq_data_task']"
"cds/exposure/aggregate/period_data","period_data","float","input","required","Period Data (Months)","12","['rarc_task']","n/a"
"cds/exposure/aggregate/adr_level","adr_level","str","input","optional","ADR Level","None","['rarc_task']","n/a"
"cds/exposure/aggregate/sponsored","sponsored","str","input","optional","Sponsored","None","['rarc_task']","n/a"
"cds/exposure/aggregate/us_listing_share","us_listing_share","float","input","optional","US Listing % Share of Total","None","['rarc_task']","n/a"
"cds/exposure/aggregate/credit_score","credit_score","str","input","optional","Credit Score","None","['rarc_task']","n/a"
"cds/exposure/aggregate/insider_shareholder_share","insider_shareholder_share","float","input","optional","Insider Shareholder Share","None","['rarc_task']","n/a"
