Band_Lo,Band_Hi,Relativity_Lo,Relativity_Hi
1,2,0.0987503833256594,0.171961430815551
2,3,0.171961430815551,0.183621183641401
3,4,0.183621183641401,1.0
4,5,1.0,1.0
5,6,1.0,1.22414744029818
6,7,1.22414744029818,1.73144672761074
7,8,1.73144672761074,1.85967950550202
8,9,1.85967950550202,2.97961963774127
9,10,2.97961963774127,3.91542990870779
10,11,3.91542990870779,4.81939473527251
11,12,4.81939473527251,9.18144305156141
12,13,9.18144305156141,9.18144305156141
13,13,9.18144305156141,9.18144305156141
