Country,Factor,ILFBand,SideBSelectedDiscount,SideAProposed,Message,Message Adjust,EPL Factor
AFGHANISTAN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ALASKA,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
ALBANIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ALBERTA,1.0,Medium,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ALGERIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
AMERICAN SAMOA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ANDORRA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ANGOLA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ANTIGUA & BARBUDA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ARGENTINA,1.5,Low,0.05,0.0,"Law unclear. However  that there is no 
impediment for a Company to give a direct indemnity to a director, since there is no express provision of the law 
prohibiting it. ",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 40% discount.,0.2
ARMENIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ARUBA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
AUSTRALIA,4.0,Very High,0.1,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.3
AUSTRIA,1.0,Medium,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
AZERBAIJAN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BAHAMAS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BAHRAIN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BANGLADESH,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BARBADOS,1.0,Low,0.05,0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BELARUS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BELGIUM,1.0,Medium,0.05,1.0,"Indemnification is not permitted in most cases or requires corporate documents to be specifically filed for indemnification
","In Belgium, under the new law indemnification is not allowed upfront and may not be arranged for in contractual agreements such as D&O Indemnification agreements or articles of association or elsewhere. If to the contrary this is done, such clause will be considered void by law. If the company in the end (could already be at beginning of process) to indemnify such directoor this is allowed. Many policies are written on ¨has indemnified principle¨ and not persumptive indemnification language as this would be considered void potentially. If main risk resides in another territory/siginifcant board representation in territories with strong indemnification in their corporate documents underwriters can consider up to a 50% LOAD (not discount).",0.2
BELIZE,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BENIN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BERMUDA,1.0,Medium,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
BHUTAN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BOLIVIA,1.0,Low,0.05,0.0,Law unclear - No provisions in law prohibiting indemnifation ,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 40% discount.,0.2
BOSNIA-HERCEGOVINA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BOTSWANA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
BRAZIL,1.0,Medium,0.05,-0.5,"There is no specific prohibition under Brazilian law forbidding a corporation from indemnifying its directors and officers where they act under the company’s instruction and in its best interest. 
Likewise, contractual indemnification is allowed so long as it does not violate public policy or Brazilian law. However, directors and officers are personally liable when causing damages as a result of fault, negligence, 
willful misconduct or in breach of the law or the company by-laws. In practice, the company shall indemnify 
its directors and officers for all incurred costs until such behavior is demonstrated in a final judgment.",If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 60% discount.,0.2
BRITISH COLUMBIA,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
