SIC,Sector_Desc,InternationalIndustry,SICClass,Directors & Officers (D&O),Any One Claim (AOC),Employer Practice Liability (EPL),Corporate Legal Liability (CLL),Crime,Pension Trustee Liability (PTL)
8721,VARIOUS SERVICES,Accounting Services,"ACCOUNTING, AUDITING, & BOOKKEEPING",Within,Outside,Outside,Check for services exposures,Outside,Within
3482,MANUFACTURING (DURABLE),Aerospace & Defense,SMALL ARMS AMMUNITION,Within,Outside,Within,Check Health and Safety,Outside,Within
3483,MANUFACTURING (DURABLE),Aerospace & Defense,"AMMUNITION, EXCEPT FOR SMALL ARMS, N.E.C",Within,Outside,Within,Check Health and Safety,Outside,Within
3484,MANUFACTURING (DURABLE),Aerospace & Defense,SMALL ARMS,Within,Outside,Within,Check Health and Safety,Outside,Within
3489,MANUFACTURING (DURABLE),Aerospace & Defense,"ORDNANCE AND ACCESSORIES, N.E.C.",Within,Outside,Within,Check Health and Safety,Outside,Within
3721,MANUFACTURING (DURABLE),Aerospace & Defense,AIRCRAFT,Within,Outside,Within,Check Health and Safety,Outside,Within
3724,MANUFACTURING (DURABLE),Aerospace & Defense,AIRCRAFT ENGINES AND ENGINE PARTS,Within,Outside,Within,Check Health and Safety,Outside,Within
3728,MANUFACTURING (DURABLE),Aerospace & Defense,"AURCRAFT PARTS AND EQUIPMENT, N.E.C.",Within,Outside,Within,Check Health and Safety,Outside,Within
3761,MANUFACTURING (DURABLE),Aerospace & Defense,GUIDED MISSILES AND SPACE VEHICLES,Within,Outside,Within,Check Health and Safety,Outside,Within
3764,MANUFACTURING (DURABLE),Aerospace & Defense,SPACE PROPULSION UNITS AND PARTS,Within,Outside,Within,Check Health and Safety,Outside,Within
3769,MANUFACTURING (DURABLE),Aerospace & Defense,"SPACE VEHICLE EQUIPMENT, N.E.C.",Within,Outside,Within,Check Health and Safety,Outside,Within
3795,MANUFACTURING (DURABLE),Aerospace & Defense,TANKS AND TANK COMPONENTS,Within,Outside,Within,Check Health and Safety,Outside,Within
2892,MANUFACTURING (NON DURABLE) EXC APPAREL,Aerospace & Defense,EXPLOSIVES,Within,Outside,Within,Check Health and Safety,Outside,Within
3751,MANUFACTURING (DURABLE),Auto Components,"MOTORCYCLES, BICYCLES, AND PARTS",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
3792,MANUFACTURING (DURABLE),Auto Components,TRAVEL TRAILERS AND CAMPERS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
3799,MANUFACTURING (DURABLE),Auto Components,"TRANSPORTATION EQUIPMENT, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
3011,MANUFACTURING (NON DURABLE) EXC APPAREL,Auto Components,TIRES AND INNER TUBES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
3711,MANUFACTURING (DURABLE),Automobiles,MOTOR VEHICLES AND CAR BODIES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
3713,MANUFACTURING (DURABLE),Automobiles,TRUCK AND BUS BODIES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
3714,MANUFACTURING (DURABLE),Automobiles,MOTOR VEHICLE PARTS AND ACCESSORIES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
3715,MANUFACTURING (DURABLE),Automobiles,TRUCK TRAILERS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
3716,MANUFACTURING (DURABLE),Automobiles,MOTOR HOMES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2451,MANUFACTURING (DURABLE),Automobiles,MOBILE HOMES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5271,NON/DISCRETIONARY RETAIL SECTOR,Automobiles,MOBILE HOME DEALERS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
5511,NON/DISCRETIONARY RETAIL SECTOR,Automobiles,NEW AND USED CAR DEALERS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check for services exposures,Outside,Within
5521,NON/DISCRETIONARY RETAIL SECTOR,Automobiles,USED CAR DEALERS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check for services exposures,Outside,Within
5571,NON/DISCRETIONARY RETAIL SECTOR,Automobiles,MOTORCYCLE DEALERS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check for services exposures,Outside,Within
5599,NON/DISCRETIONARY RETAIL SECTOR,Automobiles,"AUTOMOTIVE DEALERS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check for services exposures,Outside,Within
7513,RETAIL SERVICES,Automobiles,"TRUCK RENTAL AND LEASING, NO DRIVERS",Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7514,RETAIL SERVICES,Automobiles,PASSENGER CAR RENTAL,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7515,RETAIL SERVICES,Automobiles,PASSENGER CAR LEASING,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7519,RETAIL SERVICES,Automobiles,UTILITY TRAILER RENTAL,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7521,RETAIL SERVICES,Automobiles,AUTOMOBILE PARKING,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7532,RETAIL SERVICES,Automobiles,TOP & BODY REPAIR & PAINT SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7533,RETAIL SERVICES,Automobiles,AUTO EXHAUST SYSTEM REPAIR SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7534,RETAIL SERVICES,Automobiles,TIRE RETREADING AND REPAIR SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7536,RETAIL SERVICES,Automobiles,AUTOMOTIVE GLASS REPLACEMENT SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7537,RETAIL SERVICES,Automobiles,AUTOMOTIVE TRANSMISSION REPAIR SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7538,RETAIL SERVICES,Automobiles,GENERAL AUTOMOTIVE REPAIR SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7539,RETAIL SERVICES,Automobiles,"AUTOMOTIVE REPAIR SHOPS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
7542,RETAIL SERVICES,Automobiles,CARWASHES,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
7549,RETAIL SERVICES,Automobiles,"AUTOMOTIVE SERVICES, N.E.C.",Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
5000,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5010,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5012,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5013,WHOLESALE,Automobiles,MOTOR VEHICLE SUPPLIES AND NEW PARTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5014,WHOLESALE,Automobiles,TIRES AND TUBES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5015,WHOLESALE,Automobiles,"MOTOR VEHICLE PARTS, USED",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5020,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5030,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5040,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5070,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5080,WHOLESALE,Automobiles,AUTOMOBILES AND OTHER MOTOR VEHICLES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
