Effective_Dt,SIC,Sector_Desc,Sector,Comment,Message,freqband5,f5Adj,InternationalIndustry,SICClass,dup,N_SIC,NAICS,NAICS Title,MMPEPL_COBMap,EPL_COBFactor,MMP - High Risk Segments
44621,2833,PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE,1,0,"-Increase Phase III frequency up to 25% (8.6%)
-Decrease Phase II frequency up to 10% (6.2%)
-Decrease Phase I frequency up to 35% (4.5%)
-No pharma xs $2bn revenue unless A side and consider reinsurance restrictions. Check with Healthcare ML team
Confirm with NW on exclusion list",0,0.058958527,Pharmaceuticals,MEDICINALS AND BOTANICALS,1,2833,325411,Medicinal and Botanical Manufacturing,"Class not in Table A, B, C, or D",1,Yes
44621,2834,PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE,1,0,"-Increase Phase III frequency up to 25% (8.6%)
-Decrease Phase II frequency up to 10% (6.2%)
-Decrease Phase I frequency up to 35% (4.5%)
-No pharma xs $2bn revenue unless A side and consider reinsurance restrictions. Check with Healthcare ML team
Confirm with NW on exclusion list",0,0.058958527,Pharmaceuticals,PHARMACEUTICAL PREPARATIONS,1,2834,325412,Pharmaceutical Preparation Manufacturing,"Class not in Table A, B, C, or D",1,Yes
44621,2835,PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE,1,0,"-Increase Phase III frequency up to 25% (8.6%)
-Decrease Phase II frequency up to 10% (6.2%)
-Decrease Phase I frequency up to 35% (4.5%)
-No pharma xs $2bn revenue unless A side and consider reinsurance restrictions. Check with Healthcare ML team
Confirm with NW on exclusion list",0,0.058958527,Pharmaceuticals,DIAGNOSTIC SUBSTANCES,1,2835,325412,Pharmaceutical Preparation Manufacturing,"Class not in Table A, B, C, or D",1,Yes
44621,2836,PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE,1,0,"-Increase Phase III frequency up to 25% (8.6%)
-Decrease Phase II frequency up to 10% (6.2%)
-Decrease Phase I frequency up to 35% (4.5%)
-No pharma xs $2bn revenue unless A side and consider reinsurance restrictions. Check with Healthcare ML team
Confirm with NW on exclusion list",0,0.058958527,Pharmaceuticals,BIOLOGICAL PRODUCTS EXCEPT DIAGNOSTIC,1,2836,325414,Biological Product (except Diagnostic) Manufacturing,"Class not in Table A, B, C, or D",1,Yes
44621,3674,SEMICONDUCTORS AND RELATED DEVICES,2,,"-Non-consumer chips decrease frequency up to 30%.  
-Residential leasing/REITS/Alternative energy 
- watch out for revenue recognition
-Check with Neal, Wayne or Jeremie if unsure. ",0,0.025562763,Tech - Semiconductors & Equipment,SEMICONDUCTORS AND RELATED DEVICES,1,3674,334413,Semiconductor and Related Device Manufacturing,"Class not in Table A, B, C, or D",1,No
44621,4812,COMMUNICATIONS,6,,"-Limited claims activity that has picked up in the last couple of years, small sector where one claim can have a significant impact on frequency. 
-Claims activity is particularly high for integrated telecommunications services.",0,0.035,Tech - Communications Equipment,RADIOTELEPHONE COMMUNICATIONS,1,4812,517312,Wireless Telecommunications Carriers (except Satellite),"Class not in Table A, B, C, or D",1,No
44621,4813,COMMUNICATIONS,6,,"-Limited claims activity that has picked up in the last couple of years, small sector where one claim can have a significant impact on frequency. 
-Claims activity is particularly high for integrated telecommunications services.",0,0.035,Tech - Communications Equipment,"TELEPHONE COMMUNICATIONS, EXCEPT RADIO",1,4813,517311,Wired Telecommunications Carriers,"Class not in Table A, B, C, or D",1,No
44621,4899,COMMUNICATIONS,6,,"-Limited claims activity that has picked up in the last couple of years, small sector where one claim can have a significant impact on frequency. 
-Claims activity is particularly high for integrated telecommunications services.",0,0.035,Tech - Communications Equipment,"COMMUNICATION SERVICES, N.E.C.",1,4899,485310,Taxi Service,"Class not in Table A, B, C, or D",1,No
44621,6311,INSURANCE,9,,-All risks in this sector to be roundtabled ,0,0.015,Insurance,LIFE INSURANCE,1,6311,524113,Direct Life Insurance Carriers,"Class not in Table A, B, C, or D",1,Yes
44621,6331,INSURANCE,9,,-All risks in this sector to be roundtabled ,0,0.015,Insurance,"FIRE, MARINE, AND CASUALTY INSURANCE",1,6331,524126,Direct Property and Casualty Insurance Carriers,"Class not in Table A, B, C, or D",1,Yes
