ParameterName,Value,Comment
ArelDismissed,0.5,note 2 elements of StandAlone  add to 100%
BNoCase,0.8,big change from version 9
BDismissed,0.02,note 3 elements of Bankruptcy add to 100%
ProbDIC,0.01,0
ProbPlaintiff,0.0384615384615385,5 out of 130 claims expected
Z_BaseConstant,0.111803398874989,for z score
Z_BaseLambda,-1.34119826036175,for z score
Z_Max,0.1,for z score
Z_T1,1.2,for z score
Z_T2,1.4,for z score
Z_T3,3.3,for z score
Z_T4,0.6,for z score
Z_T5,0.999,for z score
S_ABCPrem,0.0,Relativity to ABC Prem
SD_ABCPrem,0.5,Relativity to ABC Prem
SR_ABCPrem,0.0,Relativity to ABC Prem
SRD_ABCPrem,0.5,Relativity to ABC Prem
D_ABCPrem,1.0,Relativity to ABC Prem
MA_ABCPrem,0.0,Relativity to ABC Prem
DefenceDismissal_ABCPrem,0.0,Relativity to ABC Prem
MonitoringSCA_ABCPrem,0.0,Relativity to ABC Prem
DerivativeSCA_ABCPrem,1.0,Relativity to ABC Prem
ABCPrem_Adj,0.9,General adjustment to ABC Prem
Side A xs ABC,0.9,0
Side A xs Side A,0.875,0
Primary Side A,0.85,0
Calibration_TLR,0.4,Ouptut from optimisation tool
