State,Reference,Value
Alabama,A,0.0
Alaska,A,0.0
Arizona,A,0.0
Arkansas,A,0.0
California,A,0.0
Colorado,A,0.0
Connecticut,A,0.0
Delaware,A,0.0
District of Columbia,A,0.0
Florida,B,0.5
Georgia,A,0.0
Hawaii,A,0.0
Idaho,A,0.0
Illinois,A,0.0
Indiana,A,0.0
Iowa,A,0.0
Kansas,A,0.0
Kentucky,A,0.0
Louisiana,B,0.5
Maine,A,0.0
Maryland,B,0.5
Massachusetts,C,0.75
Michigan,B,0.5
Minnesota,C,0.75
Mississippi,A,0.0
Missouri,B,0.5
Montana,A,0.0
Nebraska,A,0.0
Nevada,B,0.5
New Hampshire,A,0.0
New Jersey,A,0.0
New Mexico,A,0.0
New York,B,0.5
New York (Free Trade Zone),B,0.5
North Carolina,A,0.0
North Dakota,C,0.75
Ohio,A,0.0
Oklahoma,A,0.0
Oregon,A,0.0
Pennsylvania,C,0.75
Rhode Island,A,0.0
South Carolina,A,0.0
South Dakota,A,0.0
Tennessee,B,0.5
Texas,B,0.5
Utah,A,0.0
Vermont,A,0.0
Virginia,A,0.0
Washington,A,0.0
West Virginia,A,0.0
Wisconsin,C,0.75
Wyoming,A,0.0
Bahamas,C,0.75
Carribbean,C,0.75
Bermuda,C,0.75
Canada,C,0.75
Puerto Rico,C,0.75
US Virgin Islands,C,0.75
