"Path","Name","Type","Mode","Label","Default Value"
"hx_core/inception_date","inception_date","date","input","Inception Date","2018-01-01"
"hx_core/expiry_date","expiry_date","date","input","Expiry Date","2018-12-31"
"hx_core/model_premium","model_premium","float","output","Model Premium","n/a"
"hx_core/charged_premium","charged_premium","float","output","Charged Premium","n/a"
"hx_core/premium_currency","premium_currency","str","output","Premium Currency","n/a"
"hx_core/ulr","ulr","float","output","ULR","n/a"
"hx_core/class_code","class_code","str","output","Class Code","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","Industry Code Type","None"
"cds/key_industry/code","code","str","input","Industry Code","None"
"cds/key_industry/code_name","code_name","str","input","Industry Code Name","None"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a"
"cds/exposure/aggregate/eo_total_fees","eo_total_fees","float","input","Total Fees","0"
"cds/exposure/aggregate/mediatech_revenue","mediatech_revenue","float","input","Total Revenue","0"
"cds/exposure/aggregate/gl_revenue","gl_revenue","float","output","Total Revenue in Source Currency","n/a"
"cds/exposure/aggregate","aggregate","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_profession","eo_profession","str","input","Profession","None"
"cds/exposure/granular/eo_ae_operaion_shownby","eo_ae_operaion_shownby","bool","output","A&E operation table shown by flag","n/a"
"cds/exposure/granular/eo_exposure_shownby","eo_exposure_shownby","bool","output","E&O exposure table shown by flag","n/a"
"cds/exposure/granular/eo_total_fees_pct","eo_total_fees_pct","float","output","Total Fees %","n/a"
"cds/exposure/granular/eo_ae_operation_pct","eo_ae_operation_pct","float","output","Total A&E Operation %","n/a"
"cds/exposure/granular/eo_total_base_rate_relativity","eo_total_base_rate_relativity","float","output","Total Base Rate for Premium Calculation","n/a"
"cds/exposure/granular/eo_ae_architecture_commercial/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_architecture_commercial/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_architecture_commercial/show_row","show_row","bool","output","Architecture Commercial","n/a"
"cds/exposure/granular/eo_ae_architecture_commercial","eo_ae_architecture_commercial","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_architecture_residential/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_architecture_residential/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_architecture_residential/show_row","show_row","bool","output","Architecture Residential","n/a"
"cds/exposure/granular/eo_ae_architecture_residential","eo_ae_architecture_residential","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_ae_chemical_engineering/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_ae_chemical_engineering/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_ae_chemical_engineering/show_row","show_row","bool","output","Chemical Engineering","n/a"
