discipline_label,profession,profession_class,discipline_name,factor
Architecture Commercial,2,Architects and Engineers,eo_ae_architecture_commercial,1.73
Architecture Residential,2,Architects and Engineers,eo_ae_architecture_residential,1.73
Chemical Engineering,2,Architects and Engineers,eo_ae_chemical_engineering,3
Civil Engineering,2,Architects and Engineers,eo_ae_civil_engineering,1.35
Commercial Surveys,2,Architects and Engineers,eo_ae_commercial_surveys,1.75
Eia Studies,2,Architects and Engineers,eo_ae_eia_studies,1.5
Electrical Engineering,2,Architects and Engineers,eo_ae_electrical_engineering,1.05
Environmental,2,Architects and Engineers,eo_ae_environmental,3
Feasibility Studies,2,Architects and Engineers,eo_ae_feasibility_studies,0.5
Geology/Land Surveying,2,Architects and Engineers,eo_ae_geology_land_surveying,2.25
Interior Design,2,Architects and Engineers,eo_ae_interior_design,0.5
Landscape Architecture,2,Architects and Engineers,eo_ae_landscape_architecture,0.5
Mechanical Engineering,2,Architects and Engineers,eo_ae_mechanical_engineering,1.28
Project Coordination,2,Architects and Engineers,eo_ae_project_coordination,1.2
Project Management,2,Architects and Engineers,eo_ae_project_management,1.5
Quantity Surveying,2,Architects and Engineers,eo_ae_quantity_surveying,0.75
Residential Surveys,2,Architects and Engineers,eo_ae_residential_surveys,1.75
Soils Engineering,2,Architects and Engineers,eo_ae_soils_engineering,3
Structural Engineering,2,Architects and Engineers,eo_ae_structural_engineering,2.25
Structural Surveys,2,Architects and Engineers,eo_ae_structural_surveys,1.88
Town Planning,2,Architects and Engineers,eo_ae_town_planning,0.75
Valuations,2,Architects and Engineers,eo_ae_valuations,3
Other (Please Specify),2,Architects and Engineers,eo_ae_other,1.5
Civil Litigation,5,Lawyers,eo_lawyer_civil_litigation,0.7
Consultancy,5,Lawyers,eo_lawyer_consultancy,0.7
Conveyance,5,Lawyers,eo_lawyer_conveyance,0.88
"Corporate Finance (Mergers, Acquisitions etc)",5,Lawyers,eo_lawyer_corporate_finance,1.75
Criminal Litigation,5,Lawyers,eo_lawyer_criminal_litigation,0.7
Employment,5,Lawyers,eo_lawyer_employment,0
Estate Planning/Probate,5,Lawyers,eo_lawyer_estate_planning_probate,0
Family Law,5,Lawyers,eo_lawyer_family_law,0.56
Financial Institutions,5,Lawyers,eo_lawyer_financial_institutions,1.75
Formation/Administration of Companies,5,Lawyers,eo_lawyer_formation_administration_of_companies,1.75
Formation/Administration of Trusts,5,Lawyers,eo_lawyer_formation_administration_of_trusts,1.05
General Commercial,5,Lawyers,eo_lawyer_general_commercial,0.7
Insolvency,5,Lawyers,eo_lawyer_insolvency,1.05
Insurance  Claims Handling/Monitoring,5,Lawyers,eo_lawyer_insurance_claims_handling_monitoring,0.7
Insurance Other,5,Lawyers,eo_lawyer_insurance_other,0.88
Marine Litigation,5,Lawyers,eo_lawyer_marine_litigation,0.7
Patent/Intellectual Property,5,Lawyers,eo_lawyer_patentintellectual_property,1.23
Property Development,5,Lawyers,eo_lawyer_property_development,1.4
Provision Of Directors/Officers,5,Lawyers,eo_lawyer_provision_of_directors_officers,2.1
Trustee Appointments,5,Lawyers,eo_lawyer_trustee_appointments,1.4
Other (Please Specify),5,Lawyers,eo_lawyer_other,1.5
Accident Investigation Consultants,6,Miscellaneous,eo_misc_accident_investigation_consultants,0.7
Advertising Site Consultants,6,Miscellaneous,eo_misc_advertising_site_consultants,0.35
Arboricultural Consultants,6,Miscellaneous,eo_misc_arboricultural_consultants,0.5
Archaeological Consultants,6,Miscellaneous,eo_misc_archaeological_consultants,0.7
Auctioneers (On Behalf of Liquidators/Banks/Police),6,Miscellaneous,eo_misc_auctioneers,0.5
Boat Agents,6,Miscellaneous,eo_misc_boat_agents,0.35
Business Training & Development Consultants,6,Miscellaneous,eo_misc_business_training_development_consultants,0.5
Clerical Administration,6,Miscellaneous,eo_misc_clerical_administration,0.35
Debt Collectors (Office Based Only) General Liability Exclusion,6,Miscellaneous,eo_misc_debt_collectors,0.7
Disability And Access Audit Consultants,6,Miscellaneous,eo_misc_disability_and_access_audit_consultants,0.7
Disaster Recovery Consultants,6,Miscellaneous,eo_misc_disaster_recovery_consultants,0.5
Educational Guardians (Accommodation & Schools Placement For Overseas Students),6,Miscellaneous,eo_misc_educational_guardians,0.5
Energy Consultants (Provide Energy Cost Analysis),6,Miscellaneous,eo_misc_energy_consultants,0.5
Event Organisers,6,Miscellaneous,eo_misc_event_organisers,0.5
Exhibition Organisers,6,Miscellaneous,eo_misc_exhibition_organisers,0.5
Expert Witness Work,6,Miscellaneous,eo_misc_expert_witness_work,0.5
Facilities Management Consultants,6,Miscellaneous,eo_misc_facilities_management_consultants,0.35
Fashion Designers,6,Miscellaneous,eo_misc_fashion_designers,0.35
Fire Trainers,6,Miscellaneous,eo_misc_fire_trainers,0.7
Forestry & Woodland Management Consultants,6,Miscellaneous,eo_misc_forestry_woodland_management_consultants,0.35
Graphic Designers,6,Miscellaneous,eo_misc_graphic_designers,0.35
Health & Safety Consultants (Not Food Hygiene or Mech Equip & Mach Trainers),6,Miscellaneous,eo_misc_health_safety_consultants,0.7
Horticultural Consultants,6,Miscellaneous,eo_misc_horticultural_consultants,0.7
Human Resource Consultants,6,Miscellaneous,eo_misc_human_resource_consultants,0.5
Insurance Fraud Investigators,6,Miscellaneous,eo_misc_insurance_fraud_investigators,0.7
Inventory Consultants,6,Miscellaneous,eo_misc_inventory_consultants,0.35
Landscape Gardeners,6,Miscellaneous,eo_misc_landscape_gardeners,0.5
Law Costs Draughtsman,6,Miscellaneous,eo_misc_law_costs_draughtsman,0.5
Licensed Court Enforcement Officers,6,Miscellaneous,eo_misc_licensed_court_enforcement_officers,0.5
Licensing Consultants,6,Miscellaneous,eo_misc_licensing_consultants,0.35
Local Search Companies,6,Miscellaneous,eo_misc_local_search_companies,0.7
Loss Adjusters,6,Miscellaneous,eo_misc_loss_adjusters,-1
Loss Assessors,6,Miscellaneous,eo_misc_loss_assessors,0.7
Management Consultants,6,Miscellaneous,eo_misc_management_consultants,0.5
Market Research Consultants,6,Miscellaneous,eo_misc_market_research_consultants,0.5
Noise Abatement Consultants,6,Miscellaneous,eo_misc_noise_abatement_consultants,0.5
NVQ Assessors,6,Miscellaneous,eo_misc_nvq_assessors,0.35
Ofsted Inspectors/Education Consultants,6,Miscellaneous,eo_misc_ofsted_inspectors_education_consultants,0.5
Private Investigators,6,Miscellaneous,eo_misc_private_investigators,0.7
Property Insurance Surveyors,6,Miscellaneous,eo_misc_property_insurance_surveyors,0.7
Property Maintenance Consultants,6,Miscellaneous,eo_misc_property_maintenance_consultants,0.7
Purchase & Supply Consultants,6,Miscellaneous,eo_misc_purchase_supply_consultants,0.35
Quality Assessors,6,Miscellaneous,eo_misc_quality_assessors,0.35
Recruitment Consultants/Employment Agencies,6,Miscellaneous,eo_misc_recruitment_consultants_employment_agencies,0.7
Regeneration Consultants,6,Miscellaneous,eo_misc_regeneration_consultants,0.7
Relocation Consultants,6,Miscellaneous,eo_misc_relocation_consultants,0.35
Secretarial & Administration Consultants,6,Miscellaneous,eo_misc_secretarial_administration_consultants,0.35
Sign Language Interpreters,6,Miscellaneous,eo_misc_sign_language_interpreters,0.5
Stock Takers & Valuers,6,Miscellaneous,eo_misc_stock_takers_valuers,0.35
Telecommunications Consultants (Ex Mission Critical Live Trading Environments),6,Miscellaneous,eo_misc_telecommunications_consultants,0.5
Tracing Consultant,6,Miscellaneous,eo_misc_tracing_consultant,0.7
