x_lower,x_uppwer,y_lower,y_upper
0,100000,0,0.32
100000,200000,0.32,0.46
200000,300000,0.46,0.56
300000,400000,0.56,0.65
400000,500000,0.65,0.72
500000,600000,0.72,0.79
600000,700000,0.79,0.85
700000,800000,0.85,0.9
800000,900000,0.9,0.95
900000,1000000,0.95,1
1000000,1200000,1,1.09
1200000,1500000,1.09,1.2
1500000,2000000,1.2,1.37
2000000,2500000,1.37,1.51
2500000,3000000,1.51,1.64
3000000,3500000,1.64,1.75
3500000,4000000,1.75,1.86
4000000,4500000,1.86,1.96
4500000,5000000,1.96,2.05
5000000,5500000,2.05,2.13
5500000,6000000,2.13,2.21
6000000,6500000,2.21,2.29
6500000,7000000,2.29,2.36
7000000,7500000,2.36,2.43
7500000,8000000,2.43,2.5
8000000,8500000,2.5,2.56
8500000,9000000,2.56,2.63
9000000,9500000,2.63,2.69
9500000,10000000,2.69,2.74
