territory,factor,sanctioned
Afghanistan,1.2,Yes
Albania,1,Yes
Algeria,0.8,No
Andorra,0.8,No
Angola,0.8,No
Antigua and Barbuda,0.75,No
Argentina,0.95,No
Armenia,0.8,No
Australia,1,No
Austria,1,No
Azerbaijan,0.8,No
Bahamas,0.85,No
Bahrain,0.8,No
Bangladesh,0.8,No
Barbados,0.75,No
Belarus,1.2,Yes
Belgium,1,No
Belize,0.75,No
Benin,0.8,No
Bermuda,0.8,No
Bhutan,0.8,No
Bolivia,0.75,No
Bosnia and Herzegovina,1.2,Yes
Botswana,0.8,No
Brazil,0.75,No
British Virgin Islands,1,No
Brunei,0.8,No
Bulgaria,0.8,No
Burkina Faso,0.8,No
Burundi,1.2,Yes
Cote dlvoire,0.8,No
Cabo Verde,0.8,No
Cambodia,0.8,No
Cameroon,0.8,No
Canada,1.1,No
Canary Islands,0.8,No
Cayman Islands,0.8,No
Central African Republic,1.2,Yes
Chad,0.8,No
Chile,0.75,No
China,0.8,No
Colombia,1,No
Comoros,0.8,No
Congo,0.8,No
Costa Rica,0.85,No
Croatia,0.8,No
Cyprus,0.8,No
Czech Republic,0.8,No
Democratic Republic of the Congo,1.2,Yes
Denmark,0.8,No
Djibouti,0.8,No
Dominica,0.75,No
Dominican Republic,0.75,No
Ecuador,0.75,No
Egypt,0.8,Yes
El Salvador,0.85,No
Equatorial Guinea,0.8,No
Eritrea,0.8,No
Estonia,0.8,No
Swaziland,0.8,No
Ethiopia,0.8,No
Fiji,0.8,No
Finland,0.8,No
France,1,No
Gabon,0.8,No
Gambia,0.8,No
Georgia,0.8,No
Germany,1,No
Ghana,0.8,No
Gibraltar,1,No
Greece,0.85,No
Grenada,0.75,No
Guatemala,0.85,No
Guinea,1.2,Yes
Guinea-Bissau,1.2,Yes
Guyana,0.75,No
Haiti,0.75,No
Honduras,0.75,No
Hong Kong,0.8,No
Hungary,0.8,No
Iceland,0.8,No
India,0.8,No
Indonesia,0.8,No
Iraq,1.2,Yes
Ireland,1,No
Israel,1,No
Italy,1,No
Jamaica,1,No
Japan,0.8,No
Jordan,0.8,No
Kazakhstan,0.8,No
Kenya,0.8,No
Kiribati,0.8,No
Kuwait,0.8,No
Kyrgyzstan,0.8,No
Laos,0.8,No
Latvia,0.8,No
Lebanon,1.2,Yes
Lesotho,0.8,No
Liberia,0.8,No
Libya,1.2,Yes
Liechtenstein,1,No
Lithuania,0.8,No
Luxembourg,1.1,No
Madagascar,0.8,No
Malawi,0.8,No
Malaysia,0.8,No
Maldives,0.8,No
Mali,1.2,Yes
Malta,0.85,No
Marshall Islands,0.8,No
Mauritania,0.8,No
Mauritius,0.8,No
Mexico,0.75,No
Micronesia,0.8,No
Moldova,0.8,No
Monaco,0.8,No
Mongolia,0.8,No
Montenegro,1.2,Yes
Morocco,0.8,No
Mozambique,0.8,No
Myanmar,1.2,Yes
Namibia,0.8,No
Nauru,0.8,No
Nepal,0.8,No
Netherlands,1,No
New Zealand,1,No
Nicaragua,1.2,Yes
Niger,0.8,No
Nigeria,0.8,No
North Macedonia,1.2,Yes
Norway,0.8,No
Oman,0.8,No
Pakistan,0.8,No
Palau,0.8,No
Palestine State,0.8,No
Panama,0.8,No
Papua New Guinea,0.8,No
Paraguay,0.75,No
Peru,0.75,No
Philippines,0.8,No
Poland,1,No
Portugal,0.8,No
Qatar,0.8,No
Romania,0.8,No
Rwanda,0.8,No
Saint Kitts and Nevis,0.8,No
Saint Lucia,0.8,No
Saint Vincent and the Grenadines,0.8,No
Samoa,0.8,No
San Marino,0.8,No
Sao Tome and Principe,0.8,No
Saudi Arabia,0.8,No
Senegal,0.8,No
Serbia,1.2,Yes
Seychelles,0.8,No
Sierra Leone,0.8,No
Singapore,0.8,No
Slovakia,0.8,No
Slovenia,0.8,No
Solomon Islands,0.8,No
Somalia,1.2,Yes
South Africa,0.8,No
South Korea,0.8,No
South Sudan,1.2,Yes
Spain,0.8,No
Sri Lanka,0.8,No
Sudan,1.2,Yes
Suriname,0.8,No
Sweden,0.8,No
Switzerland,0.85,No
Tajikistan,0.8,No
Tanzania,0.8,No
Thailand,0.8,No
Timor Leste,0.8,No
Togo,0.8,No
Tonga,0.8,No
Trinidad and Tobago,0.75,No
Tunisia,1.2,Yes
Turks and Caicos Islands,0.8,No
Turkmenistan,0.8,No
Tuvalu,0.8,No
Uganda,0.8,No
United Arab Emirates,0.8,No
United Kingdom,1,No
Uruguay,0.75,No
Uzbekistan,0.8,No
Vanuatu,0.8,No
Venezuela,0.75,Yes
Vietnam,0.8,No
Yemen,1.2,Yes
Zambia,0.8,No
Zimbabwe,1.2,Yes
