liability_limit_eec,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6,tier_7,tier_8,tier_9,tier_10,tier_11,tier_12,tier_13
0,1800,1650,1800,2500,1950,1950,2100,2100,3000,2500,2100,3000,3000
250000,2400,2200,2400,2500,2600,2600,2800,2800,4000,2500,2800,4000,4000
500000,3000,2750,3000,2500,3250,3250,3500,3500,5000,2500,3500,5000,5000
1000000,6000,5500,6000,5000,6500,6500,7000,7000,10000,5000,7000,10000,10000
2000000,9000,8250,9000,6000,9750,9750,10500,10500,15000,6000,10500,15000,15000
3000000,12000,11000,12000,10000,13000,13000,14000,14000,20000,12000,14000,20000,20000
4000000,15000,13750,15000,14000,16250,16250,17500,17500,25000,16000,17500,25000,25000
5000000,16200,14850,16200,17500,17550,17550,18900,18900,27000,20000,18900,27000,27000
6000000,16950,15537.5,16950,25000,18362.5,18362.5,19775,19775,28250,25000,19775,28250,28250
7000000,17550,16087.5,17550,25000,19012.5,19012.5,20475,20475,29250,25000,20475,29250,29250
8000000,17850,16362.5,17850,25000,19337.5,19337.5,20825,20825,29750,25000,20825,29750,29750
9000000,18092.19852,16584.51531,18092.19852,25000,19599.88173,19599.88173,21107.56494,21107.56494,30153.6642,25000,21107.56494,30153.6642,30153.6642
10000000,19959.29995,18296.02495,19959.29995,25000,21622.57494,21622.57494,23285.84994,23285.84994,33265.49991,25000,23285.84994,33265.49991,33265.49991
15000000,22311.56955,20452.27209,22311.56955,25000,24170.86702,24170.86702,26030.16448,26030.16448,37185.94926,25000,26030.16448,37185.94926,37185.94926
25000000,25503.40052,23378.11714,25503.40052,25000,27628.6839,27628.6839,29753.96728,29753.96728,42505.66754,25000,29753.96728,42505.66754,42505.66754
50000000,28695.23149,26303.9622,28695.23149,25000,31086.50078,31086.50078,33477.77007,33477.77007,47825.38582,25000,33477.77007,47825.38582,47825.38582
100000000,28695.23149,26303.9622,28695.23149,25000,31086.50078,31086.50078,33477.77007,33477.77007,47825.38582,25000,33477.77007,47825.38582,47825.38582
500000000,28695.23149,26303.9622,28695.23149,25000,31086.50078,31086.50078,33477.77007,33477.77007,47825.38582,25000,33477.77007,47825.38582,47825.38582
