business_plan_class,year,che,var_exp,fixed_exp,cost_of_ri,ri_rec,inv_inc,capital_req,roc,nmp_load
Aviation Liab,2024,0.009559386,0.198548284,662.3567229,0.098919903,0.08111432,0.076644097,0.801872625,0.15,0.032204781
Aviation PD,2024,0.009559386,0.183357855,988.4426734,0.098919903,0.08111432,0.076644097,0.801872625,0.15,0.035437005
Beazley Canada,2024,0.004764006,0.116428392,3578.594195,0.028852459,0.01442623,0.084041614,0.643391845,0.15,0.035048348
BZD Contingency,2024,0.006294526,0.29844639,70.72278017,0.091911765,0,0.077232904,0.491171841,0.15,0.032374601
BZD US Cyber,2024,0.006294526,0.221148896,127.3042796,0.157960438,0.085919812,0.115998716,0.742687228,0.15,0.035460214
Canada,2024,0.006294526,0.264385253,99.77580584,0.040296386,0.0185946,0.131863277,0.846468086,0.15,0.046822588
Cargo,2024,0.009559386,0.117860808,877.9407471,0.06722928,0.047655467,0.079160258,0.504522241,0.15,0.046836768
Cat,2024,0.005308203,0.117498024,5425.310911,0.340380047,0.148056103,0.054742955,0.769731838,0.15,0.053153912
Clash,2024,0.005308203,0.208118506,2483.449532,0,0,0.08299166,0.68914225,0.15,0.117936118
Contingency,2024,0.009500123,0.195103799,1730.326905,0.098369771,0.045648056,0.074263978,0.805634417,0.15,0.045745774
Covers,2024,0.004764006,0.104394599,29655.03717,0.138929604,0.063954238,0.074515707,0.54713899,0.15,0.037440138
DIN US Lawyers,2024,0.020485291,0.148171532,8660.332143,0.045932466,0.029351047,0.131088879,0.989368033,0.15,0.043476942
Downhole,2024,0.009559386,0.136964978,66270.64164,0,0,0.085058028,0.54088559,0.15,0.036826194
DWP,2024,0.009500123,0.210829389,3089.2136,0,0,0.085058028,1.287182879,0.15,0.038700098
E&S Homeowners,2024,0.004764006,0.081800571,172.7616976,0.168644274,0.077171671,0.074177636,0.573449462,0.15,0.037546214
Energy Liab and Cas,2024,0.009559386,0.172899889,307.4462267,0.144092818,0.102686269,0.072801777,0.709736919,0.15,0.030509149
Energy PD,2024,0.009559386,0.163831272,2089.717709,0.183047517,0.135275247,0.068011122,0.677434833,0.15,0.032594663
Environmental,2024,0.020485291,0.139748215,2537.457752,0.278020098,0.175211548,0.070262848,0.929188135,0.15,0.039641107
