ccy,fx_rate
USD,1
EUR,0.845658
GBP,0.724953
CHF,0.919385
AED,3.672611
AFN,79.370451
ALL,102.705597
AMD,477.721763
ANG,1.790054
AOA,637.831666
ARS,96.068146
AUD,1.3437
AWG,1.795346
AZN,1.700014
BAM,1.65398
BBD,2
BDT,83.273597
BGN,1.65398
BHD,0.374656
BIF,1953.777077
BMD,1
BND,1.353705
BOB,6.73474
BRL,5.15137
BSD,1
BTN,74.411701
BWP,10.839423
BZD,1.973104
CAD,1.250544
CLP,748.749456
CNY,6.472597
COP,3808.58279
CRC,608.124619
CUP,1.00754
CVE,93.246266
CZK,21.667537
DJF,177.712629
DKK,6.288459
DOP,56.617225
DZD,134.144628
EGP,15.652458
ETB,43.810497
FJD,2.064956
FKP,0.724953
GEL,3.107656
GHS,5.911701
GIP,0.724953
GMD,50.88408
GNF,9732.186603
GTQ,7.579527
GYD,200.683558
HKD,7.768015
HNL,23.49942
HRK,6.336813
HTG,92.593809
HUF,301.406191
IDR,14498.85929
ILS,3.270625
INR,74.411701
IQD,1447.417935
IRR,42000.61839
ISK,123.95469
JMD,150.620922
JOD,0.709004
JPY,110.390677
KES,107.170581
KGS,84.682398
KHR,4028.704799
KMF,416.03545
KRW,1142.309555
KWD,0.300275
KYD,0.833333
KZT,425.858199
LAK,9359.816224
LBP,1507.522184
LKR,197.742352
LRD,170.644483
LSL,14.453458
LYD,4.485936
MAD,8.858779
MDL,17.870886
MGA,3814.569016
MKD,51.646875
MMK,1627.150645
MNT,2620.038567
MOP,8.001087
MRO,358.443164
MUR,41.795636
MVR,15.23068
MWK,793.548499
MXN,19.941859
MYR,4.191968
MZN,62.934174
NAD,14.453458
NGN,410.678991
NIO,34.765405
NOK,8.752719
NPR,117.810787
NZD,1.430405
OMR,0.383935
PAB,1
PEN,3.900971
PGK,3.430695
PHP,49.942004
PKR,159.059011
PLN,3.84979
PYG,6703.668479
QAR,3.617007
RON,4.161737
RSD,98.924605
RUB,73.962085
RWF,984.546035
SAR,3.745324
SBD,8.014934
SCR,14.133464
SDG,445.920763
SEK,8.619255
SGD,1.353705
SHP,0.724953
SLL,10157.08823
SOS,561.749819
SRD,20.972452
STD,20596.91728
SVC,8.750109
SYP,512.802523
SZL,14.453458
THB,32.522401
TND,2.748876
TOP,2.19407
TRY,8.6136
TTD,6.661954
TWD,27.975424
TZS,2309.762288
UAH,27.015586
UGX,3532.849137
UYU,43.395099
UZS,10557.94954
VEF,4.0002E+11
VND,22982.73416
VUV,112.141656
WST,2.503552
XAF,554.713934
XCD,2.700014
XOF,554.713934
XPF,100.913586
YER,248.728578
ZAR,14.453458
ZMW,22.463752
