SectionReference,ClaimReference,TriFocusName,Division,PolicyYOA,PolicyReference,BeazleyCatCode,BeazleyCat,MarketCatCode,MarketCat,HasBeazleyCatCode,BeazleyShareTotalIncurredInUSD,BeazleyShareTotalOutstandingInUSD,CauseOfLoss,LargeLossIndicator,Index,SignedLineMultiplier,TotalIncurredInUSD
L0115Z91AXFJ,L0115Z91AXFJC0001,Jewellers,Property Risks,1991,L0115Z91,,,,,0,146.8206,0,,0,L0115ZAXFJ,0.0038,38637
L0472H92ANFJ,L0472H92ANFJC0001,Jewellers,Property Risks,1993,L0472H92,B,BLOCK,,,1,9.2946,0,,0,L0472HANFJ,0.0042,2213
L0115Z92ANFJ,L0115Z92ANFJC0029,Jewellers,Property Risks,1993,L0115Z92,,,,,0,123.519,0,,0,L0115ZANFJ,0.019,6501
L0115Z92ANFJ,L0115Z92ANFJC0012,Jewellers,Property Risks,1993,L0115Z92,,,,,0,996.5441,0,,0,L0115ZANFJ,0.019,52449.68947
L0115Z92ANFJ,L0115Z92ANFJC0017,Jewellers,Property Risks,1993,L0115Z92,,,,,0,90.288,0,,0,L0115ZANFJ,0.019,4752
L0115Z92ANFJ,L0115Z92ANFJC0014,Jewellers,Property Risks,1993,L0115Z92,,,,,0,538.403,0,,0,L0115ZANFJ,0.019,28337
L0115Z92ANFJ,L0115Z92ANFJC0031,Jewellers,Property Risks,1993,L0115Z92,,,,,0,133.133,0,,0,L0115ZANFJ,0.019,7007
L0115Z92ANFJ,L0115Z92ANFJC0034,Jewellers,Property Risks,1993,L0115Z92,,,,,0,1113.495,0,,0,L0115ZANFJ,0.019,58605
L0115Z92ANFJ,L0115Z92ANFJC0001,Jewellers,Property Risks,1993,L0115Z92,,,,,0,22.3617,0,,0,L0115ZANFJ,0.019,1176.931579
L0115Z92ANFJ,L0115Z92ANFJC0010,Jewellers,Property Risks,1993,L0115Z92,,,,,0,184.889,0,,0,L0115ZANFJ,0.019,9731
L0115Z92ANFJ,L0115Z92ANFJC0033,Jewellers,Property Risks,1993,L0115Z92,,,,,0,99.465,0,,0,L0115ZANFJ,0.019,5235
L0115Z92ANFJ,L0115Z92ANFJC0030,Jewellers,Property Risks,1993,L0115Z92,,,,,0,2935.9074,0,,0,L0115ZANFJ,0.019,154521.4421
L0115Z92ANFJ,L0115Z92ANFJC0025,Jewellers,Property Risks,1993,L0115Z92,,,,,0,289.636,0,,0,L0115ZANFJ,0.019,15244
L0115Z92ANFJ,L0115Z92ANFJC0020,Jewellers,Property Risks,1993,L0115Z92,,,,,0,618.222,0,,0,L0115ZANFJ,0.019,32538
L0115Z92ANFJ,L0115Z92ANFJC0021,Jewellers,Property Risks,1993,L0115Z92,,,,,0,120.745,0,,0,L0115ZANFJ,0.019,6355
L0115Z92ANFJ,L0115Z92ANFJC0036,Jewellers,Property Risks,1993,L0115Z92,,,,,0,290.491,0,,0,L0115ZANFJ,0.019,15289
L0115Z92ANFJ,L0115Z92ANFJC0019,Jewellers,Property Risks,1993,L0115Z92,,,,,0,269.629,0,,0,L0115ZANFJ,0.019,14191
L0115Z92ANFJ,L0115Z92ANFJC0009,Jewellers,Property Risks,1993,L0115Z92,,,,,0,99.066,0,,0,L0115ZANFJ,0.019,5214
L0115Z92ANFJ,L0115Z92ANFJC0038,Jewellers,Property Risks,1993,L0115Z92,,,,,0,183.578,0,,0,L0115ZANFJ,0.019,9662
L0115Z92ANFJ,L0115Z92ANFJC0003,Jewellers,Property Risks,1993,L0115Z92,,,,,0,44.593,0,,0,L0115ZANFJ,0.019,2347
L0115Z92ANFJ,L0115Z92ANFJC0028,Jewellers,Property Risks,1993,L0115Z92,,,,,0,288.667,0,,0,L0115ZANFJ,0.019,15193
L0115Z92ANFJ,L0115Z92ANFJC0007,Jewellers,Property Risks,1993,L0115Z92,,,,,0,191.159,0,,0,L0115ZANFJ,0.019,10061
