limded,jbpremises,jbtravel,jbadditional,fapremises,fatravel,faadditional,gsmetals,gscash,gssecurities,gsadditional,citpremises,citadditional,cit3
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0,0,0,0.049211284,0.049211284,0.049211284,0.051420236,0.05,0.05,0.05,0.073701378,0.073701367,0.073701367
0.0002,0.049961258,0.049959634,0.049960774,0.086848923,0.086848923,0.086848923,0.075,0.05,0.05,0.05,0.117118264,0.117118253,0.117118253
0.0003,0.087715847,0.087714095,0.087715367,0.117329068,0.117329068,0.117329068,0.1,0.075,0.075,0.075,0.142515515,0.142515503,0.142515503
0.0005,0.135281005,0.13527909,0.135280529,0.165025059,0.165025059,0.165025059,0.15,0.15,0.15,0.15,0.174512266,0.174512255,0.174512255
0.001,0.199822903,0.199820766,0.199822431,0.244677131,0.244677131,0.244677131,0.2,0.2,0.2,0.2,0.217929152,0.217929141,0.217929141
0.0015,0.25,0.25,0.25,0.297609842,0.297609842,0.297609842,0.225,0.225,0.225,0.225,0.243326402,0.243326392,0.243326392
0.0025,0.3,0.3,0.3,0.368989889,0.368989889,0.368989889,0.242329554,0.242319729,0.242319729,0.242319729,0.275323153,0.275323143,0.275323143
0.005,0.349684549,0.349681897,0.349684088,0.471076631,0.471076631,0.471076631,0.268323885,0.268299323,0.268299323,0.268299323,0.318740039,0.31874003,0.31874003
0.0075,0.387439138,0.387436358,0.38743868,0.532192389,0.532192389,0.532192389,0.290805057,0.292186034,0.292186034,0.292186034,0.344137289,0.34413728,0.34413728
0.01,0.414226446,0.414223574,0.41422599,0.575719599,0.575719599,0.575719599,0.306755703,0.309133925,0.309133925,0.309133925,0.362156925,0.362156916,0.362156916
0.02,0.478768344,0.47876525,0.478767893,0.679629622,0.679629622,0.679629622,0.34518752,0.349968528,0.349968528,0.349968528,0.405573811,0.405573803,0.405573803
0.03,0.516522934,0.51651971,0.516522485,0.738639698,0.738639698,0.738639698,0.367668692,0.373855239,0.373855239,0.373855239,0.430971061,0.430971053,0.430971053
0.04,0.543310242,0.543306926,0.543309795,0.779078301,0.779078301,0.779078301,0.383619337,0.390803131,0.390803131,0.390803131,0.448990697,0.448990689,0.448990689
0.05,0.564088092,0.564084705,0.564087647,0.809318527,0.809318527,0.809318527,0.395991619,0.403948936,0.403948936,0.403948936,0.462967812,0.462967805,0.462967805
0.06,0.581064832,0.581061386,0.581064388,0.833114426,0.833114426,0.833114426,0.406100509,0.414689842,0.414689842,0.414689842,0.474387947,0.47438794,0.47438794
0.07,0.59541846,0.595414966,0.595418018,0.852476121,0.852476121,0.852476121,0.414647454,0.423771148,0.423771148,0.423771148,0.484043533,0.484043526,0.484043526
0.08,0.607852139,0.607848602,0.607851698,0.868606428,0.868606428,0.868606428,0.422051154,0.431637733,0.431637733,0.431637733,0.492407583,0.492407576,0.492407576
0.09,0.618819421,0.618815847,0.618818981,0.882282487,0.882282487,0.882282487,0.428581681,0.438576553,0.438576553,0.438576553,0.499785197,0.49978519,0.49978519
0.1,0.628629989,0.628626381,0.628629549,0.894035533,0.894035533,0.894035533,0.434423436,0.444783539,0.444783539,0.444783539,0.506384698,0.506384691,0.506384691
0.11,0.637504728,0.637501089,0.637504288,0.90424476,0.90424476,0.90424476,0.439707946,0.450398441,0.450398441,0.450398441,0.512354673,0.512354666,0.512354666
0.12,0.645606729,0.645603063,0.64560629,0.913190268,0.913190268,0.913190268,0.444532326,0.455524444,0.455524444,0.455524444,0.517804833,0.517804826,0.517804826
0.13,0.653059848,0.653056156,0.65305941,0.921084797,0.921084797,0.921084797,0.448970325,0.460239911,0.460239911,0.460239911,0.522818494,0.522818487,0.522818487
0.14,0.659960358,0.659956642,0.65995992,0.928093689,0.928093689,0.928093689,0.453079271,0.464605751,0.464605751,0.464605751,0.527460419,0.527460413,0.527460413
0.15,0.666384579,0.666380842,0.666384142,0.934347959,0.934347959,0.934347959,0.456904608,0.46867025,0.46867025,0.46867025,0.531781948,0.531781942,0.531781942
0.16,0.672394037,0.672390279,0.6723936,0.93995315,0.93995315,0.93995315,0.460482971,0.472472336,0.472472336,0.472472336,0.535824469,0.535824462,0.535824462
0.17,0.678039055,0.678035277,0.678038618,0.944995502,0.944995502,0.944995502,0.463844327,0.476043846,0.476043846,0.476043846,0.539621833,0.539621826,0.539621826
0.18,0.683361319,0.683357523,0.683360883,0.949546361,0.949546361,0.949546361,0.467013498,0.479411156,0.479411156,0.479411156,0.543202083,0.543202077,0.543202077
0.19,0.688395749,0.688391936,0.688395314,0.953665389,0.953665389,0.953665389,0.470011276,0.482596357,0.482596357,0.482596357,0.546588709,0.546588703,0.546588703
0.2,0.693171887,0.693168058,0.693171452,0.957402962,0.957402962,0.957402962,0.472855253,0.485618142,0.485618142,0.485618142,0.549801584,0.549801578,0.549801578
0.21,0.697714948,0.697711103,0.697714513,0.960801974,0.960801974,0.960801974,0.475560443,0.488492462,0.488492462,0.488492462,0.55285767,0.552857663,0.552857663
0.22,0.702046626,0.702042765,0.702046191,0.963899227,0.963899227,0.963899227,0.478139763,0.491233043,0.491233043,0.491233043,0.555771559,0.555771552,0.555771552
0.23,0.706185719,0.706181845,0.706185285,0.966726512,0.966726512,0.966726512,0.480604409,0.49385178,0.49385178,0.49385178,0.558555899,0.558555892,0.558555892
0.24,0.710148627,0.710144739,0.710148193,0.969311456,0.969311456,0.969311456,0.482964143,0.496359047,0.496359047,0.496359047,0.561221719,0.561221713,0.561221713
0.25,0.713949737,0.713945836,0.713949304,0.971678206,0.971678206,0.971678206,0.485227535,0.498763947,0.498763947,0.498763947,0.5637787,0.563778693,0.563778693
0.26,0.717601746,0.717597832,0.717601312,0.973847966,0.973847966,0.973847966,0.487402143,0.501074513,0.501074513,0.501074513,0.56623538,0.566235374,0.566235374
0.27,0.721115909,0.721111983,0.721115476,0.975839445,0.975839445,0.975839445,0.48949467,0.503297867,0.503297867,0.503297867,0.568599333,0.568599327,0.568599327
0.28,0.724502256,0.724498319,0.724501823,0.977669217,0.977669217,0.977669217,0.491511088,0.505440353,0.505440353,0.505440353,0.570877305,0.570877299,0.570877299
0.29,0.727769759,0.72776581,0.727769326,0.979352021,0.979352021,0.979352021,0.49345674,0.507507649,0.507507649,0.507507649,0.573075332,0.573075325,0.573075325
0.3,0.730926477,0.730922518,0.730926045,0.980901008,0.980901008,0.980901008,0.495336425,0.509504853,0.509504853,0.509504853,0.575198834,0.575198828,0.575198828
0.31,0.733979678,0.733975708,0.733979245,0.982327948,0.982327948,0.982327948,0.49715447,0.511436563,0.511436563,0.511436563,0.577252701,0.577252695,0.577252695
0.32,0.736935935,0.736931955,0.736935503,0.98364341,0.98364341,0.98364341,0.498914789,0.513306938,0.513306938,0.513306938,0.579241355,0.579241349,0.579241349
0.33,0.739801215,0.739797226,0.739800784,0.984856903,0.984856903,0.984856903,0.500620935,0.515119754,0.515119754,0.515119754,0.581168809,0.581168803,0.581168803
0.34,0.742580952,0.742576953,0.742580521,0.985977011,0.985977011,0.985977011,0.502276145,0.516878449,0.516878449,0.516878449,0.583038719,0.583038713,0.583038713
0.35,0.745280106,0.745276098,0.745279675,0.987011492,0.987011492,0.987011492,0.50388337,0.518586159,0.518586159,0.518586159,0.584854421,0.584854415,0.584854415
0.36,0.747903217,0.747899199,0.747902786,0.987967378,0.987967378,0.987967378,0.505445315,0.520245758,0.520245758,0.520245758,0.586618969,0.586618963,0.586618963
0.37,0.750454452,0.750450426,0.750454021,0.988851054,0.988851054,0.988851054,0.506964462,0.521859883,0.521859883,0.521859883,0.588335168,0.588335161,0.588335161
0.38,0.752937647,0.752933612,0.752937216,0.989668324,0.989668324,0.989668324,0.508443094,0.52343096,0.52343096,0.52343096,0.590005595,0.590005589,0.590005589
0.39,0.755356335,0.755352293,0.755355905,0.990424479,0.990424479,0.990424479,0.509883315,0.524961224,0.524961224,0.524961224,0.59163263,0.591632624,0.591632624
0.4,0.757713785,0.757709734,0.757713354,0.991124342,0.991124342,0.991124342,0.51128707,0.526452744,0.526452744,0.526452744,0.59321847,0.593218464,0.593218464
0.41,0.76001302,0.760008961,0.760012589,0.991772321,0.991772321,0.991772321,0.512656162,0.527907432,0.527907432,0.527907432,0.594765149,0.594765143,0.594765143
0.42,0.762256846,0.762252779,0.762256416,0.992372448,0.992372448,0.992372448,0.51399226,0.529327064,0.529327064,0.529327064,0.596274556,0.596274549,0.596274549
0.43,0.764447871,0.764443797,0.764447441,0.992928415,0.992928415,0.992928415,0.515296918,0.53071329,0.53071329,0.53071329,0.597748443,0.597748437,0.597748437
0.44,0.766588523,0.766584442,0.766588094,0.993443607,0.993443607,0.993443607,0.516571581,0.532067646,0.532067646,0.532067646,0.599188445,0.599188439,0.599188439
0.45,0.768681067,0.768676978,0.768680637,0.993921131,0.993921131,0.993921131,0.517817597,0.533391564,0.533391564,0.533391564,0.600596085,0.600596079,0.600596079
0.46,0.770727617,0.770723521,0.770727187,0.99436384,0.99436384,0.99436384,0.519036226,0.534686383,0.534686383,0.534686383,0.601972785,0.601972778,0.601972778
0.47,0.772730152,0.772726049,0.772729722,0.994774357,0.994774357,0.994774357,0.520228646,0.535953354,0.535953354,0.535953354,0.603319876,0.60331987,0.60331987
0.48,0.774690525,0.774686415,0.774690095,0.995155096,0.995155096,0.995155096,0.521395961,0.53719365,0.53719365,0.53719365,0.604638605,0.604638599,0.604638599
0.49,0.776610475,0.776606359,0.776610046,0.995508281,0.995508281,0.995508281,0.522539205,0.53840837,0.53840837,0.53840837,0.605930142,0.605930136,0.605930136
0.5,0.778491635,0.778487513,0.778491206,0.995835958,0.995835958,0.995835958,0.523659352,0.53959855,0.53959855,0.53959855,0.607195586,0.60719558,0.60719558
0.51,0.780335542,0.780331414,0.780335114,0.996140018,0.996140018,0.996140018,0.524757317,0.54076516,0.54076516,0.54076516,0.608435969,0.608435963,0.608435963
0.52,0.782143643,0.782139508,0.782143215,0.9964222,0.9964222,0.9964222,0.52583396,0.541909116,0.541909116,0.541909116,0.609652266,0.60965226,0.60965226
0.53,0.783917302,0.783913161,0.783916874,0.996684115,0.996684115,0.996684115,0.526890095,0.543031281,0.543031281,0.543031281,0.610845394,0.610845388,0.610845388
0.54,0.785657807,0.78565366,0.785657378,0.996927246,0.996927246,0.996927246,0.527926487,0.544132469,0.544132469,0.544132469,0.612016219,0.612016213,0.612016213
0.55,0.787366373,0.787362221,0.787365945,0.997152967,0.997152967,0.997152967,0.528943862,0.545213452,0.545213452,0.545213452,0.61316556,0.613165554,0.613165554
0.56,0.789044153,0.789039995,0.789043725,0.997362546,0.997362546,0.997362546,0.529942906,0.546274956,0.546274956,0.546274956,0.614294191,0.614294185,0.614294185
0.57,0.790692237,0.790688073,0.790691809,0.997557155,0.997557155,0.997557155,0.530924265,0.547317671,0.547317671,0.547317671,0.615402846,0.61540284,0.61540284
0.58,0.792311656,0.792307487,0.792311228,0.997737881,0.997737881,0.997737881,0.531888557,0.548342251,0.548342251,0.548342251,0.616492218,0.616492212,0.616492212
0.59,0.793903392,0.793899217,0.793902964,0.997905728,0.997905728,0.997905728,0.532836365,0.549349316,0.549349316,0.549349316,0.617562967,0.617562962,0.617562962
0.6,0.795468375,0.795464194,0.795467947,0.998061625,0.998061625,0.998061625,0.533768242,0.550339455,0.550339455,0.550339455,0.61861572,0.618615715,0.618615715
0.61,0.797007489,0.797003303,0.797007061,0.998206433,0.998206433,0.998206433,0.534684716,0.551313228,0.551313228,0.551313228,0.619651072,0.619651066,0.619651066
0.62,0.798521575,0.798517384,0.798521148,0.998340951,0.998340951,0.998340951,0.535586287,0.552271165,0.552271165,0.552271165,0.620669587,0.620669581,0.620669581
0.63,0.800011436,0.800007239,0.800011008,0.998465917,0.998465917,0.998465917,0.536473432,0.553213776,0.553213776,0.553213776,0.621671806,0.6216718,0.6216718
0.64,0.801477832,0.801473631,0.801477405,0.998582016,0.998582016,0.998582016,0.537346606,0.554141541,0.554141541,0.554141541,0.622658241,0.622658235,0.622658235
0.65,0.802921493,0.802917287,0.802921066,0.998689883,0.998689883,0.998689883,0.538206242,0.555054922,0.555054922,0.555054922,0.623629382,0.623629376,0.623629376
0.66,0.804343113,0.804338902,0.804342686,0.998790106,0.998790106,0.998790106,0.539052753,0.555954357,0.555954357,0.555954357,0.624585695,0.624585689,0.624585689
