type,region,country,relativity,param_a,param_b
Metals,Europe,Åland Islands,1,0.1471,-0.276
Metals,Asia,Afghanistan,0.75,0.1471,-0.276
Metals,Europe,Albania,1,0.1471,-0.276
Metals,Africa,Algeria,1.5,0.1471,-0.276
Metals,Oceania,American Samoa,0.75,0.1471,-0.276
Metals,Europe,Andorra,1,0.1471,-0.276
Metals,Africa,Angola,1.5,0.1471,-0.276
Metals,North America,Anguilla,1,0.1471,-0.276
Metals,North America,Antigua and Barbuda,1,0.1471,-0.276
Metals,South America,Argentina,2,0.1471,-0.276
Metals,Europe,Armenia,1,0.1471,-0.276
Metals,North America,Aruba,1,0.1471,-0.276
Metals,Oceania,Australia,0.75,0.1471,-0.276
Metals,Europe,Austria,1,0.1471,-0.276
Metals,Europe,Azerbaijan,1,0.1471,-0.276
Metals,North America,Bahamas,1,0.1471,-0.276
Metals,Asia,Bahrain,0.75,0.1471,-0.276
Metals,Asia,Bangladesh,0.75,0.1471,-0.276
Metals,North America,Barbados,1,0.1471,-0.276
Metals,Europe,Belarus,1,0.1471,-0.276
Metals,Europe,Belgium,1,0.1471,-0.276
Metals,North America,Belize,1,0.1471,-0.276
Metals,Africa,Benin,1.5,0.1471,-0.276
Metals,North America,Bermuda,1,0.1471,-0.276
Metals,Asia,Bhutan,0.75,0.1471,-0.276
Metals,South America,Bolivia,2,0.1471,-0.276
Metals,North America,"Bonaire, Sint Eustatius and Saba",1,0.1471,-0.276
Metals,Europe,Bosnia and Herzegovina,1,0.1471,-0.276
Metals,Africa,Botswana,1.5,0.1471,-0.276
Metals,Antarctica,Bouvet Island (Bouvetoya),1,0.1471,-0.276
Metals,South America,Brazil,2,0.1471,-0.276
Metals,Asia,British Indian Ocean Territory (Chagos Archipelago),0.75,0.1471,-0.276
Metals,North America,British Virgin Islands,1,0.1471,-0.276
Metals,Asia,Brunei,0.75,0.1471,-0.276
Metals,Europe,Bulgaria,1,0.1471,-0.276
Metals,Africa,Burkina Faso,1.5,0.1471,-0.276
Metals,Africa,Burundi,1.5,0.1471,-0.276
Metals,Asia,Cambodia,0.75,0.1471,-0.276
Metals,Africa,Cameroon,1.5,0.1471,-0.276
Metals,North America,Canada,1,0.1471,-0.276
Metals,Africa,Cape Verde,1.5,0.1471,-0.276
Metals,North America,Cayman Islands,1,0.1471,-0.276
Metals,Africa,Central African Republic,1.5,0.1471,-0.276
Metals,Africa,Chad,1.5,0.1471,-0.276
Metals,South America,Chile,2,0.1471,-0.276
Metals,Asia,China,0.75,0.1471,-0.276
Metals,Asia,Christmas Island,0.75,0.1471,-0.276
Metals,Asia,Cocos (Keeling) Islands,0.75,0.1471,-0.276
Metals,South America,Colombia,2,0.1471,-0.276
Metals,Africa,Comoros,1.5,0.1471,-0.276
Metals,Africa,Congo,1.5,0.1471,-0.276
Metals,Africa,Congo the,1.5,0.1471,-0.276
Metals,Oceania,Cook Islands,0.75,0.1471,-0.276
Metals,North America,Costa Rica,1,0.1471,-0.276
Metals,Africa,Cote d'Ivoire,1.5,0.1471,-0.276
Metals,Europe,Croatia,1,0.1471,-0.276
Metals,North America,Cuba,1,0.1471,-0.276
Metals,North America,Curacao,1,0.1471,-0.276
Metals,Europe,Cyprus,1,0.1471,-0.276
Metals,Europe,Czech Republic,1,0.1471,-0.276
Metals,Europe,Denmark,1,0.1471,-0.276
Metals,Oceania,Disputed Territory,0.75,0.1471,-0.276
Metals,Africa,Djibouti,1.5,0.1471,-0.276
Metals,North America,Dominica,1,0.1471,-0.276
Metals,North America,Dominican Republic,1,0.1471,-0.276
Metals,South America,Ecuador,2,0.1471,-0.276
Metals,Africa,Egypt,1.5,0.1471,-0.276
Metals,North America,El Salvador,1,0.1471,-0.276
Metals,Africa,Equatorial Guinea,1.5,0.1471,-0.276
Metals,Africa,Eritrea,1.5,0.1471,-0.276
Metals,Europe,Estonia,1,0.1471,-0.276
Metals,Africa,Ethiopia,1.5,0.1471,-0.276
Metals,South America,Falkland Islands,2,0.1471,-0.276
