specific,coverage,rate
additional,3rd Party infidelity,0.02
additional,Consignments / 3rd pty,0.015
additional,Defective title,0.01
additional,Employee infidelity,0.01
additional,FFF/ Contents,0.0075
additional,PDH,0.005
additional,Peak Season Increase,0.01
additional,Processing,0.01
additional,Show windows ,0.005
additional,Wearing Limit,0.01
ancillary,Public Liability,0.0015
ancillary,Employers Liability,0.0015
ancillary,Buildings,0.0015
ancillary,Terrorism,0.0005
shipping,Fed-Ex / UPS,0.001
shipping,Reg Mail,0.0015
shipping,Armored Car,0.0005
shipping,Stay risk whilst in transit,0.00025
shipping,Confiscation and Exp,0.00025
shipping,Exhibitions with A/C,0.0005
shipping,Exhibitions without A/C,0.001
shipping,Personal Conveyance,0.00005
