key,rate
AfricaIn Town,0.01
AfricaOut of Town,0.01
AfricaElsewhere,0.01
AsiaIn Town,0.01
AsiaOut of Town,0.01
AsiaElsewhere,0.01
EuropeIn Town,0.02
EuropeOut of Town,0.02
EuropeElsewhere,0.02
North AmericaIn Town,0.02
North AmericaOut of Town,0.02
North AmericaElsewhere,0.02
OceaniaIn Town,0.02
OceaniaOut of Town,0.02
OceaniaElsewhere,0.02
South AmericaIn Town,0.02
South AmericaOut of Town,0.02
South AmericaElsewhere,0.02
UKIn Town,0.02
UKOut of Town,0.02
UKElsewhere,0.02
USAIn Town,0.05
USAOut of Town,0.08
USAElsewhere,0.1
