revenue,loss_cost_aec,loss_cost_lpl
100000000,921580.0178,199891.9206
200000000,1347946.065,423870.2054
300000000,1739385.959,617106.4938
400000000,2038082.601,806254.3
500000000,2340550.488,1018229.73
600000000,2588860.886,1198936.808
700000000,2854040.053,1424097.316
800000000,3097700.089,1611662.478
900000000,3379780.985,1782632.795
1000000000,3582583.303,2001346.32
1100000000,3803331.883,2154575.833
1200000000,3947169.808,2337909.442
1300000000,4185569.957,2528423.154
1400000000,4384188.154,2737361.872
1500000000,4521084.933,2952254.439
3000000000,6915839.589,5759384.739
4500000000,8784388.179,8675284.748
6000000000,10491805.43,11742368.52
7500000000,11919034.4,14572707.75
9000000000,13260596.83,17552684.69
10500000000,14603310.73,20490462.28
12000000000,15778986.05,23384015.57
13500000000,16965876.49,26017306.76
15000000000,18062994.41,28988808.27
16500000000,19128334.65,31895169.29
18000000000,20145431.23,34778764.51
19500000000,21052403.29,37804443.05
21000000000,22022229.24,40506141.17
22500000000,23035878.36,43359144.84
24000000000,23979536.61,46281746.74
25500000000,24759259.3,49179477.99
27000000000,25707076.8,52216816.56
28500000000,26453270.87,55118984.87
30000000000,27381026.48,57929343.72
