revenue,loss_cost_aec,loss_cost_lpl
100000000.00,1166344.54,509076.06
200000000.00,1733011.93,778833.38
300000000.00,2206586.03,991961.58
400000000.00,2612864.71,1183888.74
500000000.00,2981133.57,1328706.98
600000000.00,3387642.72,1487114.08
700000000.00,3684582.23,1730316.93
800000000.00,3985654.89,1928684.52
900000000.00,4313037.44,2195735.52
1000000000.00,4583247.04,2475336.40
1100000000.00,4899124.88,2709521.37
1200000000.00,5084217.01,2942921.91
1300000000.00,5404354.55,3154201.09
1400000000.00,5644728.81,3439514.06
1500000000.00,5859201.21,3673312.57
3000000000.00,8924633.27,7300291.75
4500000000.00,11325721.09,10929549.55
6000000000.00,13372905.12,14541166.45
7500000000.00,15337544.69,18114218.43
9000000000.00,17144044.49,21738729.74
10500000000.00,18696929.10,25547292.07
12000000000.00,20246144.87,29166702.32
13500000000.00,21819516.44,32650018.93
15000000000.00,23131352.37,36440702.72
16500000000.00,24625008.09,40106718.15
18000000000.00,25828101.67,43741623.56
19500000000.00,27125670.00,47350084.18
21000000000.00,28436346.60,50975971.68
22500000000.00,29628708.44,54456664.39
24000000000.00,30747479.35,58087803.14
25500000000.00,31978543.23,61931889.96
27000000000.00,32979510.88,65585289.87
28500000000.00,34039014.24,69188456.83
30000000000.00,35219505.45,72627848.61
