Year,A&E Claims,Revenue,Lawyers Indemnity,Lawyers Defence
1992,0.05,0.03,0,0
1993,0.05,0.03,0.0292304956070413,0.0325
1994,0.05,0.03,0.0459223207460568,0.0325
1995,0.05,0.03,0.0293446800541191,0.0325
1996,0.05,0.03,0.0545252692966673,0.0325
1997,0.05,0.03,0.060227338251859,0.0325
1998,0.05,0.03,0.046867162584024,0.0325
1999,0.05,0.03,0.0517957398559137,0.0325
2000,0.05,0.03,0.0646592160341166,0.0325
2001,0.05,0.03,0.0155000361446587,0.0325
2002,0.05,0.03,0.0411421498608613,0.0325
2003,0.05,0.03,0.0583598843786992,0.0325
2004,0.05,0.03,0.05,0.0325
2005,0.05,0.03,0.05,0.0325
2006,0.05,0.03,0.05,0.0325
2007,0.05,0.03,0.05,0.0325
2008,0.05,0.03,0.05,0.0325
2009,0.05,0.03,0.05,0.0325
2010,0.05,0.03,0.05,0.0325
2011,0.05,0.03,0.05,0.0325
2012,0.05,0.03,0.05,0.0325
2013,0.05,0.03,0.05,0.0325
2014,0.05,0.03,0.05,0.0325
2015,0.05,0.03,0.05,0.0325
2016,0.05,0.03,0.05,0.0325
2017,0.05,0.03,0.05,0.0325
2018,0.05,0.03,0.05,0.0325
2019,0.05,0.03,0.05,0.0325
2020,0.05,0.03,0.05,0.0325
2021,0.05,0.03,0.05,0.0325
2022,0.05,0.03,0.05,0.0325
Future,0.05,0.03,0.05,0.0325
