Area of Practice,Frequency,Severity
Banking/Financial Institutions,0.0,0.0
Bankruptcy/Insolvency/Restructuring,0.0,0.0
Class Actions,-0.25,1.0
Construction,0.0,0.0
Corporate/Commercial (excl. M&A/securities),0.0,0.0
Criminal,-0.25,-0.25
Debt collection,0.0,-0.25
Dispute resolution (Litigation/arbitration),0.0,0.0
Employment/Labour,0.25,-0.25
Entertainment,0.25,0.0
Environmental,-0.25,0.0
Family/Matrimonial/children,0.0,-0.25
Government,-0.25,0.0
Immigration,0.25,-0.25
Insurance,-0.25,0.0
Intellectual Property/Copyright/Patent Litigation,0.0,0.0
Intellectual Property/Copyright/Patent Prosecution (filing),0.25,0.5
M&A,-0.25,1.0
Management and Risk Consultancy,-0.25,-0.25
Natural resources/energy,0.0,0.0
Pensions,0.25,0.0
Personal Injury/Worker's Comp/Product Liability,0.25,-0.25
Real Estate/Conveyancing - Commercial,0.0,0.0
Real Estate/Conveyancing - Residential,0.25,-0.25
Regulatory & competition/Antitrust law/Lobbying,-0.25,0.0
Securities,-0.25,0.5
Taxation,0.0,0.0
Trust/Probate/Wills,0.25,0.0
