Parameter Name,Weighting,Description
Base_ID,15,Iteration number of base parameters
Ver_No,2024.01.001,Version Number
Ver_Date,2024-01-01 00:00:00,Version Date
MC_Date,2024-01-08 00:00:00,Model Claims Date: Date of claims used to derive parameters (i.e. claims inflation applied from this date)
mu_base,13.48,Severity: Lognormal mu
sigma,2.1,Severity: Lognormal sigma
mu_base_uk,9.62428230056861,Severity: Lognormal mu for UK
sigma_uk,2.34,Severity: Lognormal sigma for UK
CAP,500000000,Severity:
ODF,5,Frequency: Negative Binomial overdispersion factor
FREQ,0.00921569,Expected Frequency per $1m Revenue
PowerValue,1,Frequency: power value used to scale exposure curve
NCP,0.83,Frequency: Nil claims probability
BenchmarkLR,0.7,Lloyds Benchmark Loss Ratio
DefenseCostAvFactor,0.4,Factor of defense only  to (indemnity plus defense) cases
DefenseCostOnlyProportion,0.17,Proportion of Claims At Cost
DC_p1,0.16,defense costs as function of total claim cost (DC_p1*Inc)
PFLR,0.7,
