Code,ToUSD
AED,3.673
AFN,79.37
ALL,102.706
AMD,477.722
ANG,1.79
AOA,637.832
ARS,96.068
AUD,1.344
AWG,1.795
AZN,1.7
BAM,1.654
BBD,2
BDT,83.274
BGN,1.654
BHD,0.375
BIF,1953.777
BMD,1
BND,1.354
BOB,6.735
BRL,5.151
BSD,1
BTN,74.412
BWP,10.839
BYR,25377.421
BZD,1.973
CAD,1.251
CHF,0.919
CLF,0.028
CLP,748.749
CNY,6.473
COP,3808.583
CRC,608.125
CUP,1.008
CVE,93.246
CZK,21.668
DJF,177.713
DKK,6.288
DOP,56.617
DZD,134.145
EGP,15.652
ETB,43.81
EUR,0.846
FJD,2.065
FKP,0.725
GBP,0.725
GEL,3.108
GHS,5.912
GIP,0.725
GMD,50.884
GNF,9732.187
GTQ,7.58
GYD,200.684
HKD,7.768
HNL,23.499
HRK,6.337
HTG,92.594
HUF,301.406
IDG,144.989
IDR,14498.859
ILS,3.271
INR,74.412
IQD,1447.418
IRR,42000.618
ISK,123.955
JMD,150.621
JOD,0.709
JPY,110.391
KES,107.171
KGS,84.682
KHR,4028.705
KMF,416.035
KRW,1142.31
KWD,0.3
KYD,0.833
KZT,425.858
LAK,9359.816
LBP,1507.522
LKR,197.742
LRD,170.644
LSL,14.453
LTL,2.92
LVL,0.594
LYD,4.486
MAD,8.859
MDL,17.871
MGA,3814.569
MKD,51.647
MMK,1627.151
MNT,2620.039
MOP,8.001
MRO,358.443
MUR,41.796
MVR,15.231
MWK,793.548
MXN,19.942
MYR,4.192
MZN,62.934
NAD,14.453
NGN,410.679
NIO,34.765
NOK,8.753
NPR,117.811
NZD,1.43
OMR,0.384
PAB,1
PEN,3.901
PES,38.086
PGK,3.431
PHP,49.942
PKR,159.059
PLN,3.85
PYG,6703.668
QAR,3.617
RON,4.162
RSD,98.925
RUB,73.962
RWF,984.546
SAR,3.745
SBD,8.015
SCR,14.133
SDG,445.921
SEK,8.619
SGD,1.354
SHP,0.725
SLL,10157.088
SOS,561.75
SRD,20.972
STD,20596.917
SVC,8.75
SYP,512.803
SZL,14.453
THB,32.522
TND,2.749
TOP,2.194
TRL,8613580.905
TRY,8.614
TTD,6.662
TWD,27.975
TZS,2309.762
UAH,27.016
UGX,3532.849
USD,1
UYU,43.395
UZS,10557.95
VEF,4.0002E+11
VND,22982.734
VUV,112.142
WST,2.504
XAF,554.714
XCD,2.7
XOF,554.714
XPF,100.914
YER,248.729
ZAR,14.453
ZMK,5176.276
ZMW,22.464
