"Path","Name","Type","Mode","Optionality","Label","Default Value"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2018-01-01"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2018-12-31"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","optional","Industry Code Type","None"
"cds/key_industry/code","code","str","input","optional","Industry Code","None"
"cds/key_industry/code_name","code_name","str","input","optional","Industry Code Name","None"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/brokerage","brokerage","float","input","required","Brokerage","0"
"cds/exposure/aggregate/years_in_business","years_in_business","str","input","optional","Years in Business","None"
"cds/exposure/aggregate/location","location","str","input","optional","Country","None"
"cds/exposure/aggregate/territory_factor","territory_factor","float","output","n/a","Territory Factor","n/a"
"cds/exposure/aggregate/total_revenue","total_revenue","float","input","required","Total Revenue","0"
"cds/exposure/aggregate/rateable_revenue","rateable_revenue","float","input","required","Rateable Revenue","0"
"cds/exposure/aggregate/rateable_base_rate","rateable_base_rate","float","output","n/a","Base Rate","n/a"
"cds/exposure/aggregate/nonrateable_revenue","nonrateable_revenue","float","output","n/a","Non-Rateable Revenue","n/a"
"cds/exposure/aggregate/nonrateable_base_rate","nonrateable_base_rate","float","output","n/a","Base Rate","n/a"
"cds/exposure/aggregate/hazard_group","hazard_group","str","output","n/a","Hazard Class","n/a"
"cds/exposure/aggregate/turnover","turnover","float","input","required","Turnover","0"
"cds/exposure/aggregate/annual_budget","annual_budget","float","input","optional","Average Production Budget","None"
"cds/exposure/aggregate/number_of_productions","number_of_productions","float","input","optional","Estimated Number of Productions","None"
