exhibition_type,average_budget,average_premium,rate,type_name
Entertainment/Sitcom/Daytime,5.00E+05,2358.90411,0.004717808,entertainment_sitcom
Drama/Chat Show,5.00E+05,2830.136986,0.005660274,drama_chat
Reality,5.00E+05,4245.6621,0.008491324,reality
Factual (Non Investigative/Contentious),5.00E+05,2594.520548,0.005189041,factual_contentious
Factual (Non Investigative),5.00E+05,2830.136986,0.005660274,factual_non_investigative
Game Show,5.00E+05,2830.136986,0.005660274,game_show
Live,5.00E+05,2830.136986,0.005660274,live
Factual (Investigative),5.00E+05,4245.6621,0.008491324,factual_investigative
Children/Religious,5.00E+05,2358.90411,0.004717808,children_religious
Sport/Ancient History/Nature,5.00E+05,2358.90411,0.004717808,sport_history_nature
Films for TV Release,1.00E+06,4481.278539,0.004481279,films_for_tv
