country,rate
AFGHANISTAN,1.4
ALBANIA,1.25
ALBERTA,1.25
ALGERIA,1.25
AMERICAN SAMOA,1.4
ANDORRA,1.25
ANGOLA,1.25
ANTIGUA & BARBUDA,1.25
ARGENTINA,1.2
ARMENIA,1.4
ARUBA,1.25
AUSTRALIA,0.8
AUSTRIA,0.8
AZERBAIJAN,1.4
BAHAMAS,1.25
BAHRAIN,1.25
BANGLADESH,1.4
BARBADOS,1.25
BELARUS,1.25
BELGIUM,0.8
BELIZE,1.25
BENIN,1.25
BERMUDA,1.25
BHUTAN,1.4
BOLIVIA,1.2
BOSNIA-HERCEGOVINA,1.25
BOTSWANA,1.25
BRAZIL,1.2
BRITISH COLUMBIA,1.25
BRUNEI,1.25
BULGARIA,0.8
BURKINA FASO,1.25
BURMA,1.25
BURUNDI,1.25
CAMBODIA,1.4
CAMEROON,1.25
CANADA,0.8
CANARY ISLANDS,1.25
CAPE VERDE,1.25
CAYMAN ISLANDS,1.25
CENTRAL AFRICAN REPUBLIC,1.25
CHAD,1.25
CHANNEL ISLANDS,1.25
CHILE,1.2
CHINA,1.4
COLOMBIA,1.25
COMOROS,1.25
CONGO BRAZZIVILLE,1.25
CONGO REPUBLIC,1.25
COOK ISLANDS,1.4
COSTA RICA,1.25
CROATIA,0.8
CUBA,1.2
CURACAO & ARUBA,1.25
CYPRUS,0.8
CZECH REPUBLIC,0.8
DENMARK,0.8
DJIBOUTI,1.25
DOMINICAN REPUBLIC,1.2
EAST TIMOR,1.25
ECUADOR,1.2
EEA,0.8
EGYPT,1.25
EL SALVADOR,1.2
EQUITORIAL GUINEA,1.25
ERITREA,1.25
ESTONIA,0.8
ETHIOPIA,1.25
FIJI,1.4
FINLAND,0.8
FLORIDA,1.25
FRANCE,0.8
FRENCH GUIANA,1.25
FRENCH POLYNESIANS,1.25
GABON,1.25
GEORGIA,1.4
GERMANY,0.8
GHANA,1.25
GIBRALTAR,1.25
GRAND CAYMAN,1.25
GREATER ANTILLES,1.25
GREECE,0.8
GREENLAND,1.25
GRENADA,1.25
GUAM,1.4
GUATEMALA,1.2
GUINEA,1.25
GUINEA BISSAU,1.25
GUINIA,1.25
GUYANA,1.25
HAITI,1.2
HOLLAND,1.25
HONDURAS,1.2
HONG KONG,1.25
HUNGARY,0.8
ICELAND,1.25
ILLONIS,1.25
INDIA,1.4
INDONESIA,1.4
IRAN,1.25
IRAQ,1.25
IRELAND,0.8
ISLE OF MANN,1.25
ISRAEL,1.4
ITALY,0.8
IVORY COAST,1.25
JAMAICA,1.25
JAPAN,1.4
JAVA,1.25
JEBEL ALI (DUBAI),1.25
JORDAN,1.25
KANSAS,1.25
KAZAKHSTAN,1.4
KENYA,1.25
KOSOVO,1.25
KUWAIT,1.25
KYRGYZ REPUBLIC,1.25
LAOS,1.25
LATVIA,0.8
LEBANON,1.25
LEEWARD ISLANDS,1.25
LEICHTENSTEIN,1.25
LESOTHO,1.25
LESSER ANTILLES,1.25
LIBERIA,1.25
LIBYA,1.25
LITHUANIA,0.8
LUXEMBOURG,0.8
MACAU,1.25
MACEDONIA,1.25
MADAGASCAR,1.25
MALAWI,1.25
MALAYA,1.25
MALAYSIA,1.4
MALDIVES,1.4
MALI,1.25
MALTA,0.8
MANITOBA,1.25
MARSHALL ISLANDS,1.4
MARTINQUE,1.25
MAURITANIA,1.25
MAURITIUS,1.25
MEXICO,1.25
MOLDOVA,1.25
MONACO,1.25
MONGOLIA,1.4
MONTENEGRO,1.25
MOROCCO,1.25
MOZAMBIQUE,1.25
MULTIZONE,1.25
N MARIANA ISLANDS,1.25
NAMIBIA,1.25
NEPAL,1.4
NETHERLAND ANTILLES,0.8
