risk_code,yoa,gn_written_premium,acquisition_costs,paid_cat,paid_total_ex_cat,paid_total,incurred_cat,incurred_total_ex_cat,incurred_total,rate_change
1E,2000,0,0,0,0,0,0,0,0,1
1E,2001,0,0,0,0,0,0,0,0,1
1E,2002,722.6964,209.8150839,0,0,0,0,0,0,1
1E,2003,41354.1272,9037.445779,0,0,0,0,0,0,1
1E,2004,56916.91502,12146.0943,0,0,0,0,0,0,0.951518146
1E,2005,88460.67002,15569.54866,0,0,0,0,0,0,1.074364237
1E,2006,181093.5207,26646.1518,0,0,0,0,0,0,1.451063109
1E,2007,144947.5997,30355.60355,0,0,0,0,0,0,0.95467187
1E,2008,131820.1631,15590.21514,0,0,0,0,0,0,0.928084767
1E,2009,217757.7906,40420.93254,0,11649.24287,11649.24287,0,11649.24287,11649.24287,1.330096366
1E,2010,169297.6231,21275.01786,0,0,0,0,0,0,0.791129594
1E,2011,13959.1546,2383.574751,0,0,0,0,0,0,1.044340836
1E,2012,160170.6177,10504.54535,0,0,0,0,0,0,0.999766679
1E,2013,77446.23265,2293.7618,0,0,0,0,0,0,0.997283928
1E,2014,112352.9855,1032.508885,0,0,0,0,0,0,0.884906834
1E,2015,34600.66767,2217.423931,0,0,0,0,0,0,0.935439652
1E,2016,10420.38523,1255.927336,0,0,0,0,0,0,0.983362233
1E,2017,25138.59794,2023.202088,0,0,0,0,0,0,0.982647573
1E,2018,112942.8815,13778.63605,0,0,0,0,0,0,1.026870715
1E,2019,1398518.474,498718.2594,0,358300.3238,358300.3238,0,402119.1095,402119.1095,0.986855274
1E,2020,1072231.252,411585.1947,0,132656.3373,132656.3373,0,132656.3373,132656.3373,0.985809584
1E,2021,39079.8634,1866.997919,0,319.665187,319.665187,0,319.665187,319.665187,1.063633225
1E,2022,58534.57814,2273.19955,0,0,0,0,0,0,1.027586015
1E,2023,38629.89553,322.785543,0,239632.5226,239632.5226,0,244955.0298,244955.0298,1.034158763
1E,2024,74633.45794,13897.56754,0,-76060.18916,-76060.18916,0,-65977.36083,-65977.36083,0.994609587
1E,2025,138355.3902,45240.47559,0,4115.557309,4115.557309,0,18169.15438,18169.15438,0.99173712
1E,2026,149711.5996,53613.74424,0,0,0,0,0,0,0.964437
1E,2027,0,0,0,0,0,0,0,0,1
