lloyds_risk_code,yoa,gpi,gnpi,acquisition_cost,latest_paid_position,latest_incurred_position,gn_ulr,incurred_development,paid_development,premium_development
1E,2005,0,0,0,0,0,0,1,0,1
1E,2006,2386151.428,2024381.335,0.151612378,535856.5143,535856.5143,0,1,0,1
1E,2007,1981225.393,1693366.112,0.145293555,0,0,0,1,0,1
1E,2008,2442521.158,2094788.844,0.142366142,0,0,0,1,0,1
1E,2009,2150740.96,1899061.237,0.117020008,0,0,0,1,0,1
1E,2010,2046829.86,1785519.884,0.127665704,0,0,0,0.999666864,0,1
1E,2011,1441615.505,1247342.448,0.13476066,0,0,0,1,0,1
1E,2012,1678240.598,1522106.452,0.093034423,0,0,0,1,0,1
1E,2013,1712823.262,1440199.638,0.159166232,0,0,0,1,0,1
1E,2014,1270365.26,1142701.037,0.100494108,0,0,0,1,0,1
1E,2015,830973.5482,744772.7655,0.103734689,3704,3704,0,1,0,1
1E,2016,0,0,0,0,0,0,1,0,1
1E,2017,0,0,0,0,0,0,1,0,1
1E,2018,0,0,0,0,0,0,1,0,1
1E,2019,0,0,0,0,0,0,0.991294762,0,1
1E,2020,0,0,0,0,0,0,1,0,1
1E,2021,746710.5758,668554.1168,0.104667674,80983.63,81783.39,0,1,0,1
1E,2022,544599.1253,474482.1747,0.128749657,938687.18,945635.13,0,0.989885015,0,1
1E,2023,0,0,0,0,0,0,0.889985522,0,1
1E,2024,646421.0136,606575.7777,0.06163976,284734.17,567345.4,0,0.694802591,0,1
1E,2025,258249.5649,231319.2938,0.104280025,2304.69,8843.99,0,0.232572997,0,0.888184393
1T,2005,0,0,0,0,0,0,1,0,1
1T,2006,0,0,0,0,0,0,1,0,1
1T,2007,10581.4824,8689.9619,0.17875761,0,0,0,1,0,1
1T,2008,0,0,0,0,0,0,1,0,1
1T,2009,0,0,0,0,0,0,1,0,0.99992346
1T,2010,0,0,0,0,0,0,0.999666864,0,0.999973804
1T,2011,0,0,0,0,0,0,1,0,0.99997037
1T,2012,0,0,0,0,0,0,1,0,0.999985874
1T,2013,0,0,0,0,0,0,1,0,1
1T,2014,0,0,0,0,0,0,1,0,0.99999635
1T,2015,0,0,0,0,0,0,1,0,0.999959759
1T,2016,0,0,0,0,0,0,1,0,0.999758968
1T,2017,0,0,0,0,0,0,1,0,0.99967558
1T,2018,0,0,0,0,0,0,1,0,0.999086415
1T,2019,0,0,0,0,0,0,0.991294762,0,0.998273704
1T,2020,0,0,0,0,0,0,1,0,0.997562309
1T,2021,0,0,0,0,0,0,1,0,0.996027271
1T,2022,0,0,0,0,0,0,0.989885015,0,0.994037894
1T,2023,0,0,0,0,0,0,0.889985522,0,0.985840816
1T,2024,0,0,0,0,0,0,0.694802591,0,0.938971476
1T,2025,0,0,0,0,0,0,0.232572997,0,0.587148455
2E,2005,0,0,0,0,0,0,1,0,1
2E,2006,1081209.04,987412.8904,0.086751171,0,0,0,1,0,1
2E,2007,614890.7288,553033.9275,0.100598039,52262.36,52262.36,0,1,0,1
2E,2008,746792.5143,671027.8693,0.101453407,3765.65,3765.65,0,1,0,1
2E,2009,885942.0832,808483.8669,0.087430339,7056.2,7056.2,0,1,0,1
2E,2010,1118060.92,1041279.335,0.068673883,0,0,0,0.999666864,0,1
2E,2011,1846690.901,1605359.446,0.130683188,0,0,0,1,0,0.999999641
2E,2012,919149.593,880437.3641,0.042117441,0,0,0,1,0,0.999999641
2E,2013,941195.4669,911121.8803,0.031952541,0,0,0,1,0,0.999999641
2E,2014,883362.4762,853584.7677,0.033709501,0,0,0,1,0,1
2E,2015,852138.8505,802383.1204,0.058389229,38019.09,38019.09,0,1,0,1
2E,2016,806526.6131,771330.935,0.043638582,12871.94,12871.94,0,1,0,1
2E,2017,2710814.391,2420981.149,0.106917405,17950.14,17928.38,0,1,0,1
2E,2018,650030.9988,628078.1276,0.033772037,0,0,0,1,0,1
2E,2019,1380577.094,1259107.491,0.087984658,0,0,0,0.991294762,0,1
2E,2020,851197.6049,781833.4537,0.081490069,0,0,0,1,0,1
2E,2021,766616.5095,706883.08,0.077918267,291.11,1026.16,0,1,0,0.998917511
2E,2022,435932.5448,427291.3566,0.019822306,61.95,61.95,0,0.989885015,0,0.996267898
2E,2023,431372.5218,413646.6728,0.041091743,14.86,43.96,0,0.889985522,0,0.996251939
2E,2024,591843.9358,577390.2699,0.024421414,3.21,3.21,0,0.694802591,0,0.993056171
2E,2025,358271.2401,345687.5687,0.035123309,0,0,0,0.232572997,0,0.793547522
2T,2005,0,0,0,0,0,0,1,0,1
2T,2006,7933543.578,6779180.948,0.145504038,0,0,0,1,0,1
2T,2007,6650913.672,5543887.059,0.166447298,0,0,0,1,0,1
2T,2008,5812944.172,4859567.018,0.164009343,0,0,0,1,0,1
2T,2009,7086267.655,6063604.597,0.144316177,0,0,0,1,0,0.999999917
2T,2010,5042331.741,4222626.139,0.16256479,0,0,0,0.999666864,0,0.999999739
2T,2011,4081133.724,3382937.142,0.171079075,0,0,0,1,0,0.999999739
2T,2012,3233904.819,2621063.878,0.189504941,0,0,0,1,0,0.998384522
2T,2013,2666857.839,2072302.092,0.222942422,0,0,0,1,0,0.999800897
2T,2014,3431676.214,2626649.687,0.234586971,0,0,0,1,0,0.999786289
2T,2015,2770772.099,2177711.754,0.214041547,0,0,0,1,0,0.999672132
