RiskCode,High Level Class of Business,Generic Class of Business,Type of Placement,Risk Code Description,Risk Code Description - Expanded,OECD Class Mapping,Assigned Tracker,Assigned BP Class
1E,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM ENERGY OFFSHORE PROPERTY,Terrorism subject to overseas legislation - offshore energy - property,SHIPS DMGE & LIABILITY,Tracker Marine,Terrorism
1T,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM ACCIDENT AND HEALTH,Terrorism subject to overseas legislation - accident and health,ACCIDENT AND HEALTH,Tracker PAC,Terrorism
2E,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM ENERGY OFFSHORE LIABILITY,Terrorism subject to overseas legislation - offshore energy - liability,SHIPS DMGE & LIABILITY,Tracker Marine,Terrorism
2T,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM AVIATION,Terrorism subject to overseas legislation - aviation,AIRCRAFT DMGE & LIAB,Tracker Marine,Terrorism
3E,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM ENERGY ONSHORE PROPERTY,Terrorism subject to overseas legislation - onshore energy - property, ,Tracker Marine,Terrorism
3T,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM MARINE,Terrorism subject to overseas legislation - marine,SHIPS DMGE & LIABILITY,Tracker Marine,Terrorism
4E,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM ENERGY ONSHORE LIABILITY,Terrorism subject to overseas legislation - onshore energy - liability, ,Tracker PAC,Terrorism
4T,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM MISC AND PECUNIARY LOSS,Terrorism subject to overseas legislation - pecuniary loss and other miscellaneous classes,PECUNIARY LOSS,Tracker PAC,Terrorism
5T,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM MOTOR,Terrorism subject to overseas legislation - motor,MTR VHCLE DMGE & LIAB,Tracker PAC,Terrorism
6T,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM PROPERTY,Terrorism subject to overseas legislation - property,PROPERTY DAMAGE,Tracker Property,Terrorism
7T,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM THIRD PARTY LIABILITY,Terrorism subject to overseas legislation - third party liability,MTR VHCLE DMGE & LIAB,Tracker SR,Terrorism
8T,Specialty Other,Terrorism,Direct,OVERSEAS LEG TERRORISM TRANSPORT,Terrorism subject to overseas legislation - transport,MTR VHCLE DMGE & LIAB,Tracker PAC,Terrorism
AG,Property Treaty,Agriculture & Hail,"Excess of Loss Treaty, including stop-loss",AGRICULTURAL CROP AND FORESTRY XOL TREATY INCL STOP LOSS,Agriculture crop and forestry excess of loss treaty including stop loss ,PROPERTY DAMAGE,Tracker Property,Open Market
AO,Aviation,Aviation Products/ Airport Liabilities,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",AVIATION PREMISES LEGAL LIABILITY NO PRODUCTS,Aviation premises and other airport legal liabiliities excluding products liability,AIRCRAFT DMGE & LIAB,Tracker Marine,Aviation Liab
AP,Aviation,Aviation Products/ Airport Liabilities,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",AVIATION OR AEROSPACE PRODUCTS LEGAL LIABILITY,Aviation and aerospace products manufacturers' liability ,AIRCRAFT DMGE & LIAB,Tracker Marine,Aviation Liab
AW,Aviation,Aviation War,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",HULLS OF AIRCRAFT WAR OR CONFISCATION NO ACV,Aircraft hull war and confiscation excluding air cushioned vehicles,AIRCRAFT DMGE & LIAB,Tracker Marine,War
B,Marine,Marine Hull,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",Vessels TLO IV LOH and Containers Excl. WRO,"Total loss only in respect of vessels, shipbuilding, air cushioned vehicles, loss of hire and containers excluding war risks only",SHIPS DMGE & LIABILITY,Tracker Marine,Hull
B2,Property (D&F),Property D&F (US binder),"Direct, Facultative Proportional, Facultative Excess Loss",PHYS DAMAGE BINDER FOR PRIVATE PPTY IN USA,Physical damage binders for private property in USA,PROPERTY DAMAGE,Tracker Property,Covers
