"Path","Name","Type","Mode","Optionality","Label","Default Value"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2024-01-01"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2024-12-31"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","output","n/a","SIC","n/a"
"cds/key_industry/code","code","str","output","n/a","SIC Code","n/a"
"cds/key_industry/code_name","code_name","str","input","optional","SIC Description","None"
"cds/key_industry/sic_dropdown/SICCombined","SICCombined","str","output","n/a","SIC Description","n/a"
"cds/key_industry/sic_dropdown","sic_dropdown","list","n/a","n/a","n/a","n/a"
"cds/key_industry/sic_dropdown_2/SICCombined","SICCombined","str","output","n/a","SIC Description","n/a"
"cds/key_industry/sic_dropdown_2","sic_dropdown_2","list","n/a","n/a","n/a","n/a"
"cds/key_industry/sic_dropdown_3/SICCombined","SICCombined","str","output","n/a","SIC Description","n/a"
"cds/key_industry/sic_dropdown_3","sic_dropdown_3","list","n/a","n/a","n/a","n/a"
"cds/key_industry/blended_sic","blended_sic","bool","input","required","Blended SIC","False"
"cds/key_industry/show_override_comment","show_override_comment","bool","input","required","Expand Override Comment","False"
"cds/key_industry/show_override_comment_2","show_override_comment_2","bool","input","required","Expand Override Comment 2","False"
"cds/key_industry/show_override_comment_3","show_override_comment_3","bool","input","required","Expand Override Comment 3","False"
"cds/key_industry/sector_name","sector_name","str","input","optional","Sector","None"
"cds/key_industry/sic_percentage","sic_percentage","float","input","required","SIC Percentage","1.0"
"cds/key_industry/sector_id","sector_id","float","output","n/a","None","n/a"
"cds/key_industry/sector_message","sector_message","str","output","n/a","Sector Message","n/a"
"cds/key_industry/sector_base_frequency","sector_base_frequency","float","output","n/a","None","n/a"
"cds/key_industry/sector_uw_override","sector_uw_override","float","input","optional","Underwriter Override","None"
"cds/key_industry/sector_uw_override_comment","sector_uw_override_comment","str","input","optional","Underwriter Override Comment","None"
"cds/key_industry/sector_unity_frequency","sector_unity_frequency","float","output","n/a","Sector Base Frequency","n/a"
"cds/key_industry/sic_code_2","sic_code_2","str","output","n/a","SIC Code 2","n/a"
"cds/key_industry/sic_description_2","sic_description_2","str","input","optional","SIC Description 2","None"
"cds/key_industry/sector_2","sector_2","str","input","optional","Sector 2","None"
"cds/key_industry/sic_percentage_2","sic_percentage_2","float","input","optional","SIC Percentage 2","None"
"cds/key_industry/sector_id_2","sector_id_2","float","output","n/a","None","n/a"
"cds/key_industry/sector_message_2","sector_message_2","str","output","n/a","Sector Message","n/a"
"cds/key_industry/sector_base_frequency_2","sector_base_frequency_2","float","output","n/a","None","n/a"
"cds/key_industry/sector_uw_override_2","sector_uw_override_2","float","input","optional","Underwriter Override 2","None"
"cds/key_industry/sector_uw_override_comment_2","sector_uw_override_comment_2","str","input","optional","Underwriter Override Comment 2","None"
"cds/key_industry/sector_unity_frequency_2","sector_unity_frequency_2","float","output","n/a","Sector Base Frequency 2","n/a"
"cds/key_industry/sic_code_3","sic_code_3","str","output","n/a","SIC Code 3","n/a"
"cds/key_industry/sic_description_3","sic_description_3","str","input","optional","SIC Description 3","None"
"cds/key_industry/sector_3","sector_3","str","input","optional","Sector 3","None"
"cds/key_industry/sic_percentage_3","sic_percentage_3","float","input","optional","SIC Percentage 3","None"
"cds/key_industry/sector_id_3","sector_id_3","float","output","n/a","None","n/a"
"cds/key_industry/sector_message_3","sector_message_3","str","output","n/a","Sector Message","n/a"
"cds/key_industry/sector_base_frequency_3","sector_base_frequency_3","float","output","n/a","None","n/a"
"cds/key_industry/sector_uw_override_3","sector_uw_override_3","float","input","optional","Underwriter Override 3","None"
"cds/key_industry/sector_uw_override_comment_3","sector_uw_override_comment_3","str","input","optional","Underwriter Override Comment 3","None"
"cds/key_industry/sector_unity_frequency_3","sector_unity_frequency_3","float","output","n/a","Sector Base Frequency 3","n/a"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/ignore_ipo","ignore_ipo","bool","input","required","Ignore IPO","False"
"cds/exposure/aggregate/show_mcap_comment","show_mcap_comment","bool","input","required","Expand Market Cap Comment","False"
"cds/exposure/aggregate/show_ipo_comment","show_ipo_comment","bool","input","required","Expand IPO Comment","False"
"cds/exposure/aggregate/market_cap","market_cap","float","input","optional","Market Cap","None"
"cds/exposure/aggregate/market_cap_info","market_cap_info","str","output","n/a","None","n/a"
"cds/exposure/aggregate/insider_share","insider_share","float","input","required","Insider Share %","0.0"
"cds/exposure/aggregate/insider_share_info","insider_share_info","str","output","n/a","None","n/a"
"cds/exposure/aggregate/revised_market_cap","revised_market_cap","float","output","n/a","Revised Market Cap","n/a"
"cds/exposure/aggregate/revised_market_cap_comment","revised_market_cap_comment","str","input","optional","Market Cap Comment","None"
"cds/exposure/aggregate/total_assets","total_assets","float","input","optional","Total Assets","None"
"cds/exposure/aggregate/ipo_date","ipo_date","date","input","optional","IPO Date","None"
"cds/exposure/aggregate/ipo_date_comment","ipo_date_comment","str","input","optional","IPO Date Comment","None"
"cds/exposure/aggregate/credit_rating","credit_rating","str","input","optional","Credit Rating","None"
"cds/exposure/aggregate/credit_rating_estimated","credit_rating_estimated","str","input","optional","Credit Rating Estimated?","None"
"cds/exposure/aggregate/credit_rating_override","credit_rating_override","str","input","optional","Credit Rating Override?","None"
"cds/exposure/aggregate/minimum_trading_volume","minimum_trading_volume","float","input","optional","Minimum Trading Volume","None"
"cds/exposure/aggregate/volatility_of_trading","volatility_of_trading","float","input","optional","Volatility of Trading During Downturn","None"
"cds/exposure/aggregate/execs_under_age_50","execs_under_age_50","float","input","optional","Percentage of Execturives under age 50","None"
"cds/exposure/aggregate/year_founded","year_founded","float","input","optional","Year Founded","None"
"cds/exposure/aggregate/ebit","ebit","float","input","optional","EBIT","None"
"cds/exposure/aggregate/total_assets_output","total_assets_output","float","output","n/a","Total Assets","n/a"
"cds/exposure/aggregate/period","period","float","input","optional","Period","12"
"cds/exposure/aggregate/source","source","date","input","optional","Source","None"
"cds/exposure/aggregate/net_sales","net_sales","float","input","optional","Net Sales","None"
"cds/exposure/aggregate/dic_loading_factor","dic_loading_factor","float","input","optional","DIC Loading Factor","None"
"cds/exposure/aggregate/market_value_of_equity","market_value_of_equity","float","input","optional","Market Capitalization","None"
"cds/exposure/aggregate/z_score","z_score","float","output","n/a","Z-Score","n/a"
"cds/exposure/aggregate/total_liabilities","total_liabilities","float","input","optional","Total Liabilities","None"
"cds/exposure/aggregate/bankruptcy_score","bankruptcy_score","float","output","n/a","Bankruptcy Score","n/a"
"cds/exposure/aggregate/current_assets","current_assets","float","input","optional","Current Assets","None"
"cds/exposure/aggregate/average_bankruptcy_score","average_bankruptcy_score","float","output","n/a","Average Bankruptcy Score","n/a"
"cds/exposure/aggregate/current_liabilities","current_liabilities","float","input","optional","Current Liabilities","None"
"cds/exposure/aggregate/retained_earnings","retained_earnings","float","input","optional","Retained Earnings","None"
"cds/exposure/aggregate","aggregate","structure","n/a","n/a","n/a","n/a"
"cds/exposure","exposure","structure","n/a","n/a","n/a","n/a"
"cds/standard_fields/insured_name","insured_name","str","input","optional","Insured Name","None"
"cds/standard_fields/broker","broker","str","input","optional","Broker Name","None"
"cds/standard_fields/expiry_date","expiry_date","date","output","n/a","Expiry Date","n/a"
"cds/standard_fields/inception_date","inception_date","date","output","n/a","Inception Date","n/a"
"cds/standard_fields/insured_country","insured_country","str","input","optional","Insured Country","None"
"cds/standard_fields/insured_postal_code","insured_postal_code","str","input","optional","Insured Postal Code","None"
"cds/standard_fields/insured_state_or_province","insured_state_or_province","str","input","optional","Insured State or Province","None"
"cds/standard_fields/is_admitted_or_surplus","is_admitted_or_surplus","str","override","n/a","Is Admitted Or Surplus","n/a"
"cds/standard_fields/is_free_trade_zone","is_free_trade_zone","bool","output","n/a","Is Free-Trade Zone","n/a"
"cds/standard_fields/is_renewal","is_renewal","bool","input","required","Is Renewal","False"
"cds/standard_fields/underwriter","underwriter","str","input","optional","Underwriter","None"
"cds/standard_fields/policy_reference","policy_reference","str","input","optional","Policy Reference","None"
"cds/standard_fields/facility_reference","facility_reference","str","input","optional","Facility Reference","None"
"cds/standard_fields/benchmark_class","benchmark_class","str","output","n/a","Benchmark Class","n/a"
"cds/standard_fields/uw_rationale","uw_rationale","str","input","optional","Underwriter Rationale","None"
