Limit,0,10000,25000,75000,100000,150000,200000,250000,500000,750000,1000000,2000000,3000000,4000000,5000000,6000000,7000000,8000000,9000000,10000000,15000000,20000000,25000000,30000000,35000000,40000000,45000000,50000000,100000000,100000000000
0,0.653,0.653,0.6339,0.6006,0.5913,0.5738,0.5564,0.5389,0.4391,0.363,0.3382,0.2706,0.2227,0.2114,0.1984,0.1917,0.1862,0.184,0.1821,0.1773,0.1674,0.1578,0.1466,0.128,0.1054,0.0913,0.0733,0.0324,0.0155,0.0155
500000,0.653,0.653,0.6339,0.6006,0.5913,0.5738,0.5564,0.5389,0.4391,0.363,0.3382,0.2706,0.2227,0.2114,0.1984,0.1917,0.1862,0.184,0.1821,0.1773,0.1674,0.1578,0.1466,0.128,0.1054,0.0913,0.0733,0.0324,0.0155,0.0155
750000,0.8961,0.8961,0.874,0.8304,0.816,0.7883,0.7605,0.7328,0.6082,0.5321,0.5073,0.4059,0.334,0.3171,0.2976,0.2875,0.2794,0.2761,0.2732,0.266,0.2511,0.2368,0.2198,0.1919,0.1581,0.137,0.1099,0.0485,0.0233,0.0233
1000000,1.0891,1.0891,1.0654,1.0169,1.0,0.9673,0.9346,0.9019,0.7773,0.7012,0.6764,0.5411,0.4453,0.4228,0.3968,0.3833,0.3725,0.3681,0.3643,0.3547,0.3348,0.3157,0.2931,0.2559,0.2108,0.1826,0.1466,0.0647,0.031,0.031
2000000,1.7641,1.7641,1.7384,1.6832,1.6629,1.6234,1.5839,1.5445,1.3861,1.2762,1.2176,0.9865,0.8681,0.8196,0.7802,0.7558,0.7406,0.7324,0.7189,0.7094,0.6697,0.6313,0.5862,0.5118,0.4216,0.3653,0.2931,0.1294,0.062,0.062
3000000,2.3043,2.3043,2.2772,2.2172,2.1945,2.1502,2.106,2.0617,1.8794,1.7455,1.6629,1.4092,1.2649,1.2029,1.1526,1.1239,1.1048,1.087,1.0736,1.064,1.0045,0.947,0.8794,0.7678,0.6325,0.5479,0.4397,0.1941,0.093,0.093
4000000,2.7494,2.7494,2.722,2.6608,2.6375,2.5921,2.5478,2.5014,2.3134,2.1739,2.0857,1.8061,1.6483,1.5754,1.5207,1.4882,1.4595,1.4417,1.4283,1.4187,1.3393,1.2627,1.1725,1.0237,0.8433,0.7306,0.5862,0.2589,0.124,0.124
5000000,3.172,3.172,3.1441,3.0816,3.0577,3.011,2.9644,2.9177,2.7232,2.5772,2.4825,2.1894,2.0207,1.9435,1.885,1.8428,1.8142,1.7964,1.783,1.7734,1.6742,1.5784,1.4656,1.2796,1.0541,0.9132,0.7328,0.3236,0.155,0.155
6000000,3.5687,3.5687,3.5406,3.4775,3.4532,3.4059,3.3585,3.3112,3.1133,2.9639,2.8658,2.5619,2.3888,2.3078,2.2397,2.1975,2.1689,2.1511,2.1377,2.1082,1.9899,1.8715,1.7215,1.4904,1.2368,1.0598,0.7975,0.3883,0.186,0.186
