Total Assets,Asset Range 1,Asset Range 2,Annual Premium,Marginal Rate,Marginal Rate Per $
2500000,0,2500000,28178.14,134.75,100000
5000000,2500000,5000000,31546.98,752.48,1000000
10000000,5000000,10000000,35309.4,481.64,1000000
15000000,10000000,15000000,37717.61,361.57,1000000
20000000,15000000,20000000,39525.44,292.19,1000000
25000000,20000000,25000000,40986.39,977.96,5000000
50000000,25000000,50000000,45876.2,625.74,5000000
75000000,50000000,75000000,49004.88,469.64,5000000
100000000,75000000,100000000,51353.06,549.69,10000000
250000000,100000000,250000000,59598.37,284.18,10000000
500000000,250000000,500000000,66702.94,158.77,10000000
1000000000,500000000,1000000000,74641.38,559.03,100000000
5000000000,1000000000,5000000000,97002.45,232.15,100000000
10000000000,5000000000,10000000000,108609.92,116.07,100000000
25000000000,10000000000,25000000000,126021.13,601.72,1000000000
50000000000,25000000000,50000000000,141064.14,336.22,1000000000
100000000000,50000000000,100000000000,157874.97,118.74,1000000000
500000000000,100000000000,500000000000,205370.97,489.65,10000000000
