SICCode,Admitted
100,Food and Dairy Products
111,Food and Dairy Products
112,Food and Dairy Products
115,Food and Dairy Products
116,Food and Dairy Products
119,Food and Dairy Products
131,All other 
132,All other 
133,Food and Dairy Products
134,Food and Dairy Products
139,Food and Dairy Products
161,Food and Dairy Products
171,Food and Dairy Products
172,Food and Dairy Products
173,Food and Dairy Products
174,Food and Dairy Products
175,Food and Dairy Products
179,Food and Dairy Products
181,All other 
182,Food and Dairy Products
191,Food and Dairy Products
200,Food and Dairy Products
211,Food and Dairy Products
212,Food and Dairy Products
213,Food and Dairy Products
214,Food and Dairy Products
219,Food and Dairy Products
241,Food and Dairy Products
251,Food and Dairy Products
252,Food and Dairy Products
253,Food and Dairy Products
254,Food and Dairy Products
259,Food and Dairy Products
271,Food and Dairy Products
272,Food and Dairy Products
273,Food and Dairy Products
279,Food and Dairy Products
291,Food and Dairy Products
700,All other 
711,All other 
721,All other 
722,All other 
723,All other 
724,All other 
741,Professional Services
742,Professional Services
751,All other 
752,All other 
761,All other 
762,All other 
781,All other 
782,All other 
783,All other 
800,All other 
811,All other 
831,All other 
851,All other 
912,Food and Dairy Products
913,Food and Dairy Products
919,Food and Dairy Products
921,Food and Dairy Products
971,All other 
1000,All other 
1011,All other 
1021,All other 
1031,All other 
1040,All other 
1041,All other 
1044,All other 
1061,All other 
1081,Building Materials
1090,All other 
1094,All other 
1099,All other 
1220,All other 
1221,All other 
1222,All other 
1231,All other 
1241,All other 
1311,Oil and Gas
1321,Oil and Gas
1381,Oil and Gas
1382,Oil and Gas
1389,Oil and Gas
1400,Oil and Gas
1411,Building Materials
1422,Building Materials
1423,Building Materials
1429,Building Materials
1442,Building Materials
1446,Building Materials
1455,Building Materials
1459,Building Materials
1474,Building Materials
1475,Building Materials
1479,All other 
1481,All other 
1499,Building Materials
1520,All other 
1521,All other 
1522,All other 
1531,All other 
1540,All other 
1541,All other 
1542,All other 
1600,All other 
1611,All other 
1622,All other 
1623,All other 
1629,All other 
1700,All other 
1711,All other 
1721,All other 
1731,All other 
1741,All other 
1742,Building Materials
1743,All other 
1751,All other 
1752,All other 
1761,All other 
1771,All other 
1781,All other 
1791,All other 
1793,All other 
1794,All other 
1795,All other 
1796,All other 
1799,All other 
2000,All other 
2011,All other 
2013,Food and Dairy Products
2015,All other 
2020,Food and Dairy Products
2021,Food and Dairy Products
2022,Food and Dairy Products
2023,Food and Dairy Products
2024,Food and Dairy Products
2026,Food and Dairy Products
2030,Food and Dairy Products
2032,Food and Dairy Products
2033,Food and Dairy Products
2034,Food and Dairy Products
2035,Food and Dairy Products
2037,Food and Dairy Products
2038,Food and Dairy Products
2040,Food and Dairy Products
2041,Food and Dairy Products
2043,Food and Dairy Products
2044,All other 
