Industry Modifier,Modifier Range,min,max,No Range
Advertising Agencies,1.0-1.5,1.0,1.5,1.25
All other ,0.8-1.5,0.8,1.5,1.0
All other Retail Stores,0.8-1.2,0.8,1.2,1.0
Amusement and Recreation,0.8-1.2,0.8,1.2,1.0
Beverages,1.0-1.3,1.0,1.3,1.15
Broadcasting/Media Companies,0.9-1.3,0.9,1.3,1.1
Building Materials,0.8-1.2,0.8,1.2,1.0
Department Stores,1.0-1.5,1.0,1.5,1.25
Food and Dairy Products,0.8-1.2,0.8,1.2,1.0
Hotels/Motels,1.0-1.5,1.0,1.5,1.25
Internet Companies,1.5-4.0,1.5,4.0,2.75
Manufacturing - All other ,0.8-1.2,0.8,1.2,1.0
Manufacturing - Apparel,0.8-1.2,0.8,1.2,1.0
Manufacturing - Appliances,1.0-1.5,1.0,1.5,1.25
Manufacturing - Chemicals,1.0-1.5,1.0,1.5,1.25
Manufacturing - Computers,2.0-4.0,2.0,4.0,3.0
Manufacturing - Electronics,1.5-3.0,1.5,3.0,2.25
Manufacturing - Furniture,0.8-1.2,0.8,1.2,1.0
Manufacturing - Machinery,1.0-1.5,1.0,1.5,1.25
Oil and Gas,1.2-1.8,1.2,1.8,1.5
Paper,0.8-1.2,0.8,1.2,1.0
Pharmaceuticals,0.8-1.2,0.8,1.2,1.0
Printing and Publishing,0.8-1.2,0.8,1.2,1.0
Professional Services,1.0-1.4,1.0,1.4,1.2
Real Estate,1.2-1.8,1.2,1.8,1.5
Software Companies,2.5-4.0,2.5,4.0,3.25
Supermarkets,0.8-1.2,0.8,1.2,1.0
Telecommunications,1.2-2.0,1.2,2.0,1.4
Textiles,0.9-1.4,0.9,1.4,1.15
Tobacco,1.5-3.0,1.5,3.0,2.25
Transportation  - Airlines,1.5-2.0,1.5,2.0,1.75
Transportation  - All Other,1.0-1.5,1.0,1.5,1.25
Transportation  - Trucking,1.0-1.5,1.0,1.5,1.25
Utilities- - no nuclear,0.7-1.7,0.7,1.7,1.1
Utilities- - With  nuclear,1.2-1.8,1.2,1.8,1.0
