State_Cd,State,Approved?
AL,Alabama,Approved
AK,Alaska,Not Approved
AZ,Arizona,Approved
AR,Arkansas,Approved
CA,California,Approved
CO,Colorado,Approved
CT,Connecticut,Approved
DE,Delaware,Approved
DC,District of Columbia,Approved
FL,Florida,Approved
GA,Georgia,Approved
HI,Hawaii,Not Approved
ID,Idaho,Not Approved
IL,Illinois,Approved
IN,Indiana,Approved
IA,Iowa,Approved
KS,Kansas,Approved
KY,Kentucky,Approved
LA,Louisiana,Approved
ME,Maine,Approved
MD,Maryland,Not Approved
MA,Massachusetts,Approved
MI,Michigan,Approved
MN,Minnesota,Approved
MS,Mississippi,Approved
MO,Missouri,Approved
MT,Montana,Approved
NE,Nebraska,Approved
NV,Nevada,Approved
NH,New Hampshire,Approved
NJ,New Jersey,Approved
NM,New Mexico,Approved
NY,New York,Not Approved
NYFTZ,New York (FTZ),Not Approved
NC,North Carolina,Approved
ND,North Dakota,Approved
OH,Ohio,Approved
OK,Oklahoma,Approved
OR,Oregon,Approved
PA,Pennsylvania,Approved
RI,Rhode Island,Approved
SC,South Carolina,Approved
SD,South Dakota,Approved
TN,Tennessee,Approved
TX,Texas,Approved
UT,Utah,Approved
VT,Vermont,Not Approved
VA,Virginia,Approved
WA,Washington,Approved
WV,West Virginia,Approved
WI,Wisconsin,Approved
WY,Wyoming,Not Approved
